SampleID,Auto PIT 30 10 1,Auto PIT 30 10 2,Auto PIT 30 10 3,Auto PIT 30 10 4,Auto PIT 30 10 5,Auto PIT 30 10 6,Auto PIT 30 10 7,Auto PIT 30 10 8,Auto PIT 30 10 9,Auto PIT 30 10 10
train90,-1.289,1.2225,-0.32117,-0.29042,1.3857,0.38004,-2.0466,-0.016805,-1.0546,0.38291
train91,-1.0034,1.0585,-0.066615,0.063412,1.1381,0.4842,-1.832,-0.074117,-0.6835,0.11778
train92,-1.0848,1.1846,-0.10413,-0.22208,1.4385,0.59592,-1.3773,0.34505,-0.48163,0.14741
train93,-1.6689,0.25472,-0.6763,0.35007,1.3889,0.30704,-1.5729,0.11799,-0.7421,-0.45735
train94,-0.77494,0.96608,0.065932,-0.1143,0.72202,0.16096,-1.5107,-0.26134,-0.65568,0.11471
train95,-0.77221,0.054911,0.32815,-0.025668,0.50176,0.077361,-0.28835,-0.0066384,-0.37371,-0.44562
train96,-1.0965,0.82027,-0.34428,-0.23301,0.8669,-0.52385,-1.3386,0.40262,-0.27719,0.015798
train97,-0.98749,0.11796,0.094529,-0.28828,0.42047,0.094695,-0.35983,0.28312,-0.55891,-0.19814
train98,-0.7455,0.38581,-0.00064516,0.010368,0.41036,0.3301,-0.9407,-0.19674,-0.33454,0.076543
train99,-1.1218,0.074118,0.33614,-0.46304,0.85004,0.08336,-0.36901,0.24694,-0.48041,0.049533
train100,-0.50107,0.28768,-0.065769,0.15443,0.16689,0.34865,-0.27794,-0.33485,0.00089063,-0.14482
train101,-0.7718,0.3648,-0.086421,-0.10527,0.55596,0.15134,-0.85857,0.06909,-0.40346,0.067588
train102,-0.55224,0.4819,0.034986,0.2266,0.39773,0.41851,-1.306,-0.30995,-0.41354,0.095652
train103,-0.71412,0.53263,-0.53342,-0.30739,0.92577,-0.02355,-1.2136,0.30462,-1.1931,0.26736
train104,-0.70198,0.59022,0.042932,0.13337,0.48498,0.62724,-1.4501,-0.4639,-0.29464,0.25671
train105,-0.83166,0.38224,-0.073532,-0.14241,0.58979,0.18273,-0.87374,0.045475,-0.38008,0.066889
train106,-0.94461,0.75042,-0.33583,0.25186,2.3772,0.14589,-1.82,0.80953,-1.0439,-0.14033
train107,-0.80215,0.25663,-0.0084994,-0.029798,0.5471,0.037813,-0.68983,0.14562,-0.45136,0.0081304
train108,-0.33752,0.28131,-0.033732,0.083276,0.34692,0.6216,-0.86698,-0.24645,-0.4042,0.11224
train109,-0.83234,0.66386,-0.1426,-0.10326,0.48319,0.4805,-1.1662,-0.27419,-0.30471,0.17761
train110,-1.7486,0.54188,-0.095879,-0.36679,1.1196,0.16207,-1.1037,-0.27471,-0.84323,0.33313
train111,-1.2372,0.80518,-0.27596,-0.21296,0.97889,0.032731,-1.2263,0.17724,-0.19934,0.031536
train112,-0.69604,0.3812,-0.065722,0.39977,0.59502,0.23114,-1.0689,-0.32768,-0.21037,0.35578
train113,-1.0964,0.57,-0.084338,-0.96326,1.2369,-0.062955,-0.74082,-0.14188,-0.94454,-0.018691
train114,-1.7333,0.51478,-0.017437,-0.27738,0.97763,0.24094,-0.9228,-0.35514,-0.66253,0.058693
train115,-1.4385,0.50643,0.0383,-0.41816,0.98451,0.25371,-0.76946,0.075141,-0.49346,0.24623
train116,-0.73882,0.72604,0.16542,0.10657,0.44818,0.58759,-1.0922,-0.16034,-0.20947,0.032271
train117,-1.0911,0.94377,0.15704,0.099065,0.84482,0.007828,-1.4372,-0.18623,-0.48507,0.26084
train118,-0.71345,0.4799,-0.26767,0.18938,0.77883,-0.18248,-1.7927,0.19721,-0.64219,-0.096698
train119,-1.1551,0.58204,-0.47356,-0.29178,1.0842,0.3069,-1.3676,0.24742,-0.78655,-0.029495
train120,-1.3219,0.55584,-0.56169,-0.74772,0.9256,0.023825,-0.86255,0.39436,-1.2596,0.25494
train121,-0.62288,0.68326,0.026491,0.17742,0.30115,0.6635,-1.2351,-0.58849,-0.27058,0.26702
train122,-1.4667,1.1865,-0.28065,-0.56909,0.96763,0.48077,-1.2806,0.51683,-0.13123,0.43274
train123,-0.94654,0.62638,-0.17543,0.14025,0.76748,0.19651,-1.2336,0.094259,-0.016099,-0.3426
train124,-0.3752,0.35299,-0.21677,-0.19582,0.48035,0.12813,-0.82903,0.096983,-0.40601,-0.02259
train125,-1.2513,0.88154,-0.42806,0.056513,0.87727,0.0907,-0.94108,0.24673,-0.60315,0.30649
train126,-1.0085,0.99747,0.17856,-0.30303,0.14034,0.45441,-1.4249,-0.61947,-0.35526,0.1769
train127,-0.62176,0.61833,0.13849,0.2331,0.19628,0.67432,-1.2172,-0.67739,-0.31721,0.24662
train128,-0.63666,0.49174,0.0019861,-0.16798,0.48622,0.17548,-0.67919,-0.052508,-0.2827,-0.044448
train129,-0.93419,0.52877,-0.166,-0.11711,0.75696,0.16777,-1.1716,0.13113,-0.47958,0.079146
train130,-1.2208,1.0887,0.09698,0.17255,0.69843,0.46708,-1.6775,-0.46539,-0.48278,0.15891
train131,-0.30945,0.36058,-0.059204,0.18898,0.43587,0.25061,-0.74867,-0.11317,-0.2199,0.29195
train132,-1.0218,0.50416,-0.19237,-0.32892,0.52572,0.028247,-0.83046,0.17178,-0.49474,0.15068
train133,-1.0132,0.70374,0.053163,0.19051,0.79152,0.47685,-1.3546,-0.15752,-0.39964,0.15961
train134,-1.023,0.46013,-0.23204,-0.21406,0.67817,0.10295,-0.98025,0.13697,-0.48926,0.090008
train135,-0.61843,0.617,0.043098,0.27797,0.41755,0.15413,-1.1658,-0.33695,-0.24587,0.26962
train136,-1.3377,0.20024,-0.35089,-0.45644,1.098,0.63721,-1.4786,-0.11417,-0.82805,-0.021464
train137,-0.76468,0.61465,0.06543,0.089882,0.33755,0.65061,-1.2353,-0.53722,-0.23327,0.26732
train138,-0.41175,0.42261,-0.10509,0.14993,0.50648,0.31851,-0.89327,-0.090081,-0.21397,0.30498
train139,-0.51841,0.44183,-0.026934,0.091941,0.47529,0.19311,-0.73366,-0.18528,-0.2689,0.18935
train140,-1.2549,0.66457,-0.76686,-0.15361,0.58563,-0.045588,-1.2171,-0.077722,-0.93738,0.15652
train141,-1.1663,0.62789,-0.32179,0.096298,0.59896,0.16496,-0.87313,-0.037313,-0.33109,0.091866
train142,-0.24672,0.45125,0.045495,0.052452,0.41448,0.19538,-0.69487,-0.10072,-0.1986,0.13135
train143,-1.0495,0.77861,-0.43405,-0.28464,0.73218,0.035434,-0.91382,-0.11673,-0.13614,0.31976
train144,-0.59089,0.29142,-0.16465,0.33719,2.2755,0.070447,-1.4062,0.80684,-1.0361,-0.2564
train145,-0.91719,0.94054,-0.083937,-0.68801,0.82944,0.088332,-1.5569,0.44355,-0.45021,0.1253
train146,-1.4063,1.0667,-0.090518,-0.4802,1.1565,0.51722,-1.2266,0.37163,-0.26705,0.45894
train147,-0.86406,0.29473,-0.024884,-0.084019,0.47885,0.20672,-0.79853,-0.031265,-0.32039,0.081595
train148,-0.70605,0.082511,0.161,0.25251,0.22229,-0.035184,-0.79602,-0.21258,-0.41908,0.061651
train149,-1.3572,0.39898,-0.080795,-0.39432,0.79389,0.18352,-1.0562,0.080539,-0.4956,-0.025117
train150,-1.6192,0.71711,-0.40636,-0.40271,1.3977,0.070842,-2.4746,0.23874,-0.4127,0.097303
train151,-1.5014,0.71602,-0.52492,-0.21492,1.0171,0.08891,-1.1883,0.58102,-0.65013,0.52096
train152,-1.0562,0.46652,-0.038734,-0.030732,1.3642,-0.09997,-1.4942,0.22167,-0.74848,-0.11511
train153,-1.0461,0.58366,-0.52145,0.53688,0.58217,-0.026284,-0.54988,0.49709,-0.22736,-0.13363
train154,-1.6141,0.36887,-0.010917,-0.59392,1.068,0.15184,-1.1682,0.092834,-0.48962,0.049132
train155,-1.5048,0.98043,-0.48012,-0.014672,1.6329,0.51198,-1.9576,0.28143,-1.126,-0.25677
train156,-0.99758,0.45974,-0.089204,-0.19279,0.58945,0.17629,-0.90623,0.10997,-0.34379,0.12899
train157,-1.3056,0.74785,-0.19554,-0.16105,0.69885,-0.0045067,-1.2444,0.0036003,-0.45837,0.062047
train158,-0.70306,0.8931,-0.17573,0.0096625,0.47208,0.23408,-0.87274,-0.62257,-0.049302,0.39607
train159,-1.4393,0.63787,-0.11585,-0.082253,1.2574,0.073002,-1.3266,0.58408,-0.4231,0.071151
train160,-1.0585,0.39962,-0.31637,0.030845,0.51564,-0.021967,-0.96588,-0.012609,-0.41248,0.10165
train161,-0.77631,0.38572,-0.10553,-0.15423,0.65378,-0.023109,-0.79457,0.1408,-0.37105,0.023233
train162,-1.0138,0.65317,-0.34464,-0.012426,0.3605,0.11874,-0.89335,0.3599,-0.44569,0.026977
train163,-1.0635,0.67327,-0.59748,-0.09506,0.57289,0.031343,-0.75007,0.40153,-0.78963,0.25838
train164,-1.4399,0.65815,-0.57941,-0.41984,1.4093,0.95643,-2.1927,0.12853,-1.4114,-0.21225
train165,-0.61669,0.2918,0.33307,0.080533,0.76975,-0.21256,-0.19211,0.069817,-0.095224,-0.30779
train166,-0.62306,0.43339,0.017486,0.15808,0.59599,0.44655,-1.1857,-0.33938,-0.23265,0.15344
train167,-0.91397,0.46467,-0.16936,-0.14944,0.66618,0.14494,-0.95875,0.14909,-0.40712,0.080475
train168,-1.4304,0.35459,0.066039,-0.53655,0.93174,0.19083,-0.8095,0.07791,-0.46922,0.1717
train169,-0.8179,0.65454,-0.33691,-0.2307,0.5536,0.061356,-1.0674,0.30319,-0.6946,0.22021
train170,-0.83166,0.68708,0.021422,0.23923,0.72194,0.21831,-1.6308,0.33986,-0.67039,0.13763
train171,-0.88366,0.568,-0.2959,0.19788,0.60009,0.1242,-0.72504,0.26942,-0.34287,0.0022597
train172,-1.2085,0.39203,0.10699,0.0056176,0.919,-0.041505,-0.73191,-0.21339,-0.55485,0.050134
train173,-0.86796,0.63387,-0.1296,-0.16169,0.88643,-0.037836,-1.1134,0.14076,-0.6328,-0.02521
train174,-0.74121,0.32645,0.031388,0.19305,0.34832,0.098283,-0.33249,-0.42718,0.016039,-0.15667
train175,-1.0088,0.20165,0.085018,-0.13366,0.52026,0.056035,-0.79306,0.059359,-0.46091,-0.25698
train176,-1.1749,0.6588,-0.18792,-0.14455,1.2728,0.1387,-1.4841,0.2784,-0.41257,-1.32E-05
train177,-1.344,0.38401,-0.19666,-0.3454,0.57436,-0.034735,-0.8797,0.13994,-0.46212,-0.012793
train178,-0.34707,0.34899,0.0034043,0.22177,0.39416,0.27636,-0.77494,-0.22152,-0.23138,0.27811
train179,-0.82641,0.31664,-0.068249,-0.069712,0.47205,0.22265,-0.8092,-0.012678,-0.33261,0.065358
train180,-2.3704,1.9017,0.11614,-0.41513,2.2532,0.18788,-2.8423,0.22324,-1.5125,-0.058005
train181,-1.681,1.0598,-0.19906,-0.47338,1.7449,0.62986,-2.5396,0.1121,-0.42332,-0.035816
train182,-0.95808,0.67137,-0.36731,-0.3335,0.4945,0.11593,-0.8968,0.33174,-0.82461,0.075727
train183,-0.51182,0.46752,0.096811,0.27421,0.40108,0.49254,-1.2178,-0.46857,-0.32732,0.16963
train184,-0.58211,0.47139,-0.066591,0.15999,0.55932,0.065071,-0.96609,-0.034444,-0.40241,0.12045
train185,-0.91486,0.53492,-0.23109,-0.24955,0.82917,0.15722,-1.2531,0.16184,-0.39059,0.062277
train186,-0.55356,0.59008,0.11294,0.22317,0.27844,0.37574,-1.2907,-0.52742,-0.33403,0.28603
train187,-1.0406,0.77714,0.005141,-0.099852,0.58316,0.64352,-1.6362,-0.56929,-0.34612,0.14821
train188,-1.3936,-0.01495,0.37263,-0.52971,0.69951,0.13123,-0.23324,0.14537,-0.48929,0.021221
train189,-0.64602,0.66989,-0.025542,0.11789,0.21042,0.56519,-1.0954,-0.32495,-0.4014,0.16319
train190,-0.70777,0.41365,-0.13458,0.11762,0.76988,0.2965,-1.178,-0.053118,-0.20126,0.26963
train191,-1.5575,-0.0020643,-0.50357,-0.30907,1.3448,0.071742,-1.5162,0.1001,-0.31124,-0.12532
train192,-1.2121,0.8524,-0.22153,0.13234,0.66642,0.15489,-1.0925,-0.14003,-0.0040025,0.44236
train193,-0.97275,0.71518,-0.11196,-0.048288,0.75287,0.4002,-1.4701,-0.011251,-0.61603,0.063369
train194,-0.59252,0.65204,0.14684,-0.11387,0.85269,0.081479,-1.0984,0.011618,-0.64794,0.068225
train195,-1.4259,0.45041,0.057621,-0.48295,0.95428,0.22814,-0.72915,0.044951,-0.54093,0.25113
train196,-1.3195,0.60736,-0.25998,-0.45285,1.1511,0.25886,-1.0027,0.09565,-0.41567,0.16029
train197,-0.6333,0.44561,-0.2251,-0.24662,0.60888,0.18198,-1.0733,0.16609,-0.50048,0.1074
train198,-0.73451,0.3939,-0.61692,-0.51523,0.31855,-0.13282,-0.43091,0.77904,-0.85447,0.27295
train199,-1.1034,0.83426,-0.15549,-0.016646,0.8119,0.37778,-1.2785,-0.051459,-0.26868,0.12738
train200,-0.73412,0.459,-0.09345,-0.03503,0.51368,0.25859,-0.87784,-0.10498,-0.33504,0.02936
train201,-0.81594,0.2987,-0.060761,-0.070335,0.45315,0.22519,-0.79532,-0.024511,-0.32255,0.068301
train202,-0.71466,0.7158,-0.66536,-0.019989,0.42002,0.066465,-0.28434,0.94332,-1.0746,0.10334
train203,-1.0542,0.46388,-0.34977,-0.27733,0.69882,0.24258,-1.124,0.050948,-0.52099,-0.0045611
train204,-0.75544,0.75191,-0.026859,-0.43335,1.4659,0.20431,-1.5113,0.18442,-0.27735,-0.20985
train205,-0.80588,0.56863,-0.25299,-0.084493,0.7863,0.084361,-0.98476,0.11426,-0.49393,0.037852
train206,-1.0975,0.079181,0.40485,-0.18497,0.66635,0.074828,-0.75208,0.10064,-0.45391,-0.27247
train207,-0.89564,0.50823,-0.12765,-0.16208,0.69275,0.23472,-1.0696,0.1365,-0.49142,0.15921
train208,-1.3322,0.13732,0.27504,-0.52677,0.79807,0.15564,-0.34826,0.17907,-0.49561,0.13099
train209,-0.82319,0.54838,-0.061885,0.011361,0.551,0.36994,-1.0787,-0.20821,-0.36379,0.082223
train210,-0.98271,0.46309,-0.16958,-0.10575,0.76123,0.043591,-0.99448,0.18204,-0.47248,0.038082
train211,-0.83418,0.42276,-0.46469,-0.11216,0.44754,0.14223,-0.77197,0.061907,-0.49663,-0.065908
train212,-1.0663,0.89679,-0.4446,-0.19135,1.1256,0.40442,-1.8908,0.35901,-0.81818,0.042507
train213,-1.0328,0.31633,0.1418,-0.19824,0.9524,0.06632,-0.81934,0.25938,-0.47564,0.076125
train214,-0.97121,0.33978,-0.073289,-0.10866,0.55848,0.15244,-0.86393,0.051742,-0.36765,0.047975
train215,-0.45566,0.37903,-0.20072,0.18748,0.41451,0.25111,-0.83937,0.055406,-0.42717,0.28062
train216,-0.76971,0.7527,-0.086639,-0.014473,0.25486,0.50929,-1.1575,-0.24877,-0.49463,0.053596
train217,-0.93697,0.30692,-0.10358,-0.10741,0.52669,0.06487,-0.78916,0.099825,-0.40046,0.047801
train218,-0.88992,0.50684,-0.16856,-0.30686,0.85166,0.22451,-1.3536,0.33924,-0.61495,0.19119
train219,-0.90676,0.65072,0.32308,0.24784,0.32222,0.36181,-0.62428,-0.66111,-0.12745,0.067358
train220,-1.3294,0.83714,-0.15767,0.030301,1.0379,0.032632,-1.6721,0.11269,-1.1151,0.042147
train221,-0.70604,0.57763,0.11805,0.18996,0.39958,0.60931,-1.4466,-0.5595,-0.35691,0.17587
train222,-0.45414,0.52544,0.021654,-0.039601,0.36042,0.2419,-1.0942,-0.23979,-0.16588,0.22167
train223,-0.61653,0.62665,0.045968,0.17083,0.17957,0.58613,-1.1703,-0.46208,-0.38844,0.20978
train224,-0.98875,1.0165,-0.37746,-0.33214,1.0091,0.21356,-1.073,0.11456,-0.33478,0.1884
train225,-0.85003,0.34259,-0.083186,-0.096661,0.58891,0.11797,-0.8751,0.074983,-0.4316,0.048679
train226,-1.1872,0.81096,-0.35361,-0.16962,1.3699,-0.024436,-1.1984,0.68462,-0.98625,0.1516
train227,-1.3803,0.6328,-0.16691,-0.50289,1.2572,0.24844,-1.6649,0.33184,-0.42712,0.20497
train228,-1.5528,0.071129,0.28586,-0.50975,0.73595,0.14533,-0.43572,0.11806,-0.50593,-0.0025465
train229,-0.78515,0.29092,-0.053519,-0.1892,0.30804,0.20107,-0.80233,0.023922,-0.32428,0.12752
train230,-1.0145,0.68968,-0.078358,0.062872,0.73837,0.2218,-0.80487,-0.10528,-0.23035,-0.21604
train231,-0.97845,0.42099,-0.12528,-0.26401,1.294,-0.1352,-1.5413,0.2872,-0.62167,0.079495
train232,-0.8656,0.76367,0.017092,0.36634,0.29499,0.13944,-1.0258,-0.16346,-0.44052,0.57194
train233,-0.9653,0.2994,0.12961,-0.17638,0.95166,0.19619,-0.84259,0.2082,-0.57177,-0.046863
train234,-0.96907,0.45129,-0.12377,-0.22102,0.70412,0.23477,-1.1716,0.16254,-0.47078,0.15722
train235,-1.3507,0.48576,-0.39505,0.029296,0.87967,0.10157,-1.2648,-0.17464,-0.48621,-0.20996
train236,-1.1517,0.66471,-0.37932,0.082487,1.5321,-0.34545,-1.5032,0.13607,-0.21367,-0.11438
train237,-0.83896,0.40969,-0.10096,-0.066478,0.5745,0.16858,-0.93654,-0.032954,-0.42755,0.098873
