SampleID,Auto PIT 10 05 1,Auto PIT 10 05 2,Auto PIT 10 05 3,Auto PIT 10 05 4,Auto PIT 10 05 5
train61,-2.9439,-2.7823,1.4144,-1.6572,0.43753
train62,-2.1437,-1.7935,0.92371,-1.4454,0.4997
train63,-1.8442,-2.7612,1.148,-0.27134,-0.053442
train64,0.44792,0.69865,-0.17408,0.31266,0.079981
train65,-1.2928,-1.319,0.70356,-0.81323,-0.62474
train66,-0.89037,-1.1702,1.9356,-0.79189,0.3148
train67,0.077108,-0.94045,-0.3354,-0.095147,-1.32
train68,0.77279,1.1189,0.67189,-1.1035,-0.38522
train69,-2.7173,0.81707,-4.0551,-0.60736,0.35968
train70,0.1363,0.05426,-0.19252,0.1789,0.4683
train71,-2.7844,-2.5759,1.4667,-1.1184,0.27123
train72,-0.66076,-1.584,0.81088,-0.34009,0.021202
train73,1.2553,1.3381,-1.6739,-0.80198,0.48555
train74,1.2275,0.42121,-0.31147,1.5472,-0.34414
train75,-1.8051,0.17128,0.83283,-0.91775,0.77841
train76,0.23094,0.80277,0.49815,-0.63772,-2.4339
train77,1.3865,0.72921,-0.50562,0.90929,-0.14799
train78,1.2887,0.74096,-0.84085,-0.90618,0.20572
train79,0.8775,0.074377,-0.084108,1.4421,-1.5437
train80,-0.45769,0.53084,-0.11852,0.20886,0.34111
train81,-0.32675,0.53036,-4.0905,-2.2775,0.13421
train82,-3.2348,0.66944,-0.71811,0.48133,0.9359
train83,0.034469,0.57392,0.71551,-0.92287,-0.45943
train84,-2.2375,-2.4854,0.61704,-0.60812,-0.026354
train85,1.2226,0.70372,-0.9049,-1.5225,0.4044
train86,-2.9382,-0.96246,1.5099,-2.1962,1.1966
train87,0.5314,-0.77253,-0.37807,0.5944,-0.33798
train88,-0.32777,-0.81033,1.2949,-0.75629,-0.78958
train89,-1.0943,-0.86171,0.47993,-0.52112,0.17414
train90,0.54386,0.64642,-0.3467,0.28144,-0.2353
train91,0.39839,1.4374,-0.016824,-0.1997,0.33837
train92,2.0588,1.7781,-0.56082,-1.9256,0.49217
train93,1.376,-0.067518,-0.7754,1.3037,-0.06531
train94,-1.5815,-2.2098,1.1122,-0.24362,-0.13493
train95,-2.4112,1.7312,-2.2773,2.5485,0.42565
train96,0.4139,-0.8185,0.3551,0.20685,-0.61295
train97,-1.8973,1.1857,-1.9195,1.5365,-0.24257
train98,-1.9966,-1.5152,0.58759,-0.6807,0.45189
train99,-3.0681,1.6229,-3.4179,0.15279,0.52302
train100,-0.10343,0.08644,-0.83344,0.61377,0.30421
train101,-0.4635,-0.062825,-0.0050614,0.01097,0.10765
train102,-2.217,-1.0611,1.4057,-0.93768,0.62964
train103,0.19695,0.85657,0.3788,0.86246,-0.35559
train104,-2.6631,-1.8945,1.0851,-1.5443,1.0886
train105,-0.99797,0.31013,-0.34698,-0.055219,0.2122
train106,0.64827,2.191,-0.0022154,-0.1811,0.59616
train107,-0.47461,0.093259,-0.10541,0.21183,-0.22197
train108,-1.7869,-0.32282,0.79041,-1.1294,0.81491
train109,-1.1325,-1.6418,0.39923,-0.66949,0.063975
train110,-2.1136,0.29852,-4.0775,-1.6824,-0.24669
train111,1.3015,-1.2019,-0.91248,-0.51557,-0.056928
train112,-2.422,-0.13599,1.0653,-1.7083,1.3602
train113,-0.49538,0.57504,-1.8469,-1.3656,0.61771
train114,-2.139,0.30795,-4.0144,-0.4474,-0.36449
train115,-2.4802,0.5257,-3.9848,-1.0969,-0.20021
train116,-2.0256,-2.2514,1.8377,-1.3862,0.23751
train117,-2.2234,1.4125,2.9287,-2.2457,1.92
train118,-0.090266,0.038288,1.9765,2.5513,-0.0028214
train119,1.5101,0.53916,-0.75128,1.0562,-0.36018
train120,-0.50566,0.35959,-0.81275,-0.25341,-0.76068
train121,-3.3031,-2.9315,1.386,-2.0167,0.79295
train122,1.9382,-0.088951,0.0054794,-2.0193,-0.14958
train123,0.2509,-0.3305,-0.42565,0.16664,0.25475
train124,-0.055459,0.17289,0.55707,-0.099792,0.21991
train125,0.1941,0.21888,-0.70017,-0.95341,-1.4669
train126,-2.2298,-3.8788,1.4448,-0.74519,-0.59717
train127,-3.6273,-2.7405,1.8391,-1.7077,0.67943
train128,-0.87996,1.3438,-0.14974,0.28711,0.41067
train129,0.37606,-0.27105,0.57579,0.15093,-0.09487
train130,-2.8385,-3.5673,1.5418,-0.86459,-0.069272
train131,-2.3442,0.053304,1.2978,-1.8815,1.3029
train132,-0.29425,0.038819,-0.13845,-0.056764,-0.26154
train133,-2.0229,-0.14922,0.974,-1.5037,0.88829
train134,-0.19428,0.027335,-0.38955,0.036353,-0.21798
train135,-2.6463,-0.46144,1.5312,-1.5876,1.1691
train136,0.65496,0.78602,-0.54996,0.46893,0.25238
train137,-2.9311,-2.7904,1.1038,-1.6901,0.85437
train138,-2.0819,-0.091127,1.0384,-1.7822,1.2115
train139,-2.7281,0.10379,1.1731,-1.8776,1.4392
train140,0.46979,-0.057243,-0.39841,0.90652,-0.85964
train141,0.58946,-0.52257,-0.84905,-0.39374,-0.63262
train142,-1.9871,0.067656,1.739,-1.7159,1.1032
train143,0.67013,-0.66669,-1.3482,-2.5869,0.10543
train144,0.53869,2.1613,0.23924,-0.13736,0.68947
train145,0.44808,-0.11802,1.1108,-0.41596,0.25845
train146,1.6403,0.26112,-0.06025,-1.6904,0.12135
train147,-0.74662,-0.34333,-0.24587,0.038858,0.027699
train148,-1.6835,0.41394,0.43975,-0.17031,0.6872
train149,-0.96342,0.12976,-1.3359,0.20394,0.22839
train150,0.8489,-0.66294,0.51279,0.67638,0.91177
train151,0.65141,-0.059227,-0.30687,-0.59325,-0.8782
train152,-0.13248,0.49816,0.6065,0.72939,0.80557
train153,0.30708,-0.045852,-0.17264,0.0046611,-1.0391
train154,-1.8919,0.58925,-3.1617,-0.68757,0.56207
train155,1.8011,1.3841,-0.32601,1.3501,-0.10575
train156,-0.30545,-0.044946,-0.085192,-0.19754,0.059619
train157,0.44238,-1.6669,-0.2297,0.40161,-1.0178
train158,-1.5749,-2.1092,-0.73064,-2.3037,0.40164
train159,0.71809,-0.51256,0.3659,-0.35652,-0.22742
train160,0.087633,-0.32485,-0.20955,0.38192,-0.34466
train161,-1.0417,-0.43828,0.077475,-0.060908,0.097234
train162,0.36998,-0.082732,-0.3431,0.12262,-1.3988
train163,0.029823,0.50488,-0.24338,-0.020809,-1.771
train164,1.2512,1.2199,-0.58304,0.96569,-0.099321
train165,-2.3891,1.5136,-1.4749,1.7406,0.63971
train166,-1.6093,-0.67482,0.45095,-0.95925,1.0957
train167,-0.048729,0.040098,0.032756,-0.10863,-0.072386
train168,-2.2795,0.75738,-3.5284,-0.92162,0.41406
train169,-0.21858,0.64346,0.25122,-0.36144,-1.0194
train170,-0.22862,0.21032,1.26,0.34381,-0.24661
train171,0.043439,0.09559,0.0081585,-0.018986,-0.88031
train172,-2.8881,0.61068,-3.8785,-0.35652,-0.044016
train173,-0.21881,0.39726,0.19056,0.26552,0.17631
train174,-1.2751,-0.021006,-0.55994,0.89205,0.52821
train175,-1.6935,0.5689,-1.3052,1.6214,0.37164
train176,0.30575,-0.17235,-0.28401,-0.16676,0.68059
train177,-0.5356,-0.10212,-0.75439,0.23641,-0.20955
train178,-3.2592,0.20243,1.5446,-2.1234,1.6592
train179,-0.45294,-0.037839,-0.1056,-0.14868,-0.054468
train180,-0.010834,-0.060572,0.0038784,0.17291,0.32833
train181,0.72119,-0.45429,0.11771,-0.33418,1.2282
train182,-0.36956,0.6253,0.10096,-0.22522,-1.4156
train183,-3.5072,-1.2926,1.5999,-1.7952,1.4128
train184,-0.70608,0.059892,0.36956,-0.29338,0.15708
train185,0.27376,0.20046,0.0069405,0.13089,0.48883
train186,-3.3084,-1.7456,2.002,-1.5013,1.028
train187,-2.1788,-3.4228,1.109,-0.76164,0.44016
train188,-3.0521,1.3756,-3.9769,0.63676,0.13048
train189,-2.915,-3.3941,1.8003,-1.3513,-0.39055
train190,-0.83459,-0.38822,0.205,-0.7704,0.85627
train191,0.73075,-0.40951,-0.36837,0.60354,0.92991
train192,-0.89339,-0.57998,-0.10934,-2.454,0.64307
train193,-0.50039,-0.60847,0.47158,0.044321,-0.056901
train194,-0.19546,0.96063,0.79498,0.24433,0.46174
train195,-2.5774,0.67064,-4.3696,-1.4849,0.022011
train196,0.3578,-0.33587,-1.5784,-2.2485,0.46602
train197,0.16735,0.39881,0.72875,0.27243,0.28562
train198,0.2912,1.2481,0.49435,-0.19775,-1.501
train199,-0.11728,-0.65659,-0.093265,-1.0009,0.23584
train200,-1.7411,-0.66277,0.10303,-0.44245,0.12102
train201,-1.0701,-0.30347,-0.31174,-0.18578,0.16541
train202,0.17857,1.6581,0.28458,-0.1367,-2.4265
train203,0.64963,-0.25719,-0.44765,0.72427,-0.27658
train204,0.5134,0.59524,0.66883,-0.46473,1.7707
train205,-0.23701,0.35011,0.02867,-0.26197,-0.064936
train206,-2.1053,1.1887,-2.1249,1.976,0.59836
train207,0.24147,0.054667,0.17742,-0.042729,-0.0089684
train208,-3.1405,1.1214,-4.4173,-0.47861,0.14346
train209,-2.2352,-3.205,1.0333,-1.1108,-0.14392
train210,-0.13044,-0.3128,-0.16248,0.053613,-0.42247
train211,0.42023,-0.33281,-0.52284,0.69384,-0.72367
train212,1.7809,0.88103,1.0396,0.98963,-0.12265
train213,-1.0059,0.29325,-0.90295,-0.028891,0.18571
train214,-1.3878,-0.1451,-1.1789,0.51126,-0.13519
train215,-1.6399,0.026731,1.1146,-1.2072,0.384
train216,-2.4813,-3.372,1.6491,-0.96107,-0.64604
train217,-0.85085,-0.01748,-0.46717,0.51757,0.18364
train218,0.64654,0.45816,0.79534,0.2907,0.18178
train219,-2.9172,-2.0785,0.033702,-1.0229,0.42226
train220,0.40318,0.18561,0.76579,2.0699,-0.92592
train221,-3.1512,-2.7706,1.557,-1.1085,0.78342
train222,-1.003,-0.31783,1.2647,-0.77137,1.1721
train223,-3.2499,-3.3037,1.8667,-1.5071,0.0062512
train224,0.98817,0.37468,-1.4403,-1.8622,0.07225
train225,-0.59581,0.13461,-0.12204,0.25247,-0.21964
train226,-0.084128,1.1103,0.16139,-0.047317,-1.1007
train227,0.34689,-0.14414,0.13261,-0.1262,0.82103
train228,-2.8814,0.86348,-4.0703,0.75958,0.15903
train229,-0.2676,-0.22874,0.16313,-0.030513,-0.050601
train230,-0.044888,-0.22539,-1.0054,0.32426,0.26995
train231,0.18041,0.55182,0.51595,0.53841,1.0285
train232,-1.8674,-0.80172,1.1538,-1.3412,-0.16269
train233,-0.99869,0.42574,-0.95907,0.21346,-0.12224
train234,0.017482,-0.016291,0.054803,-0.10063,0.18214
train235,0.8623,-0.43253,-0.49606,1.1765,-0.26786
train236,0.10917,-0.52115,-0.40984,-0.25796,0.57159
train237,-0.51811,-0.099649,-0.010442,0.13192,0.071143
train238,0.47396,0.30666,1.8864,-1.5967,1.3268
train239,-0.11349,0.053362,0.11961,-0.0070675,-0.0050942
train240,-0.39803,1.2593,-0.49182,0.34586,-0.94026
train241,0.84148,0.3515,-2.9038,-2.9858,0.061135
train242,0.090339,1.0592,1.1031,1.4573,-0.48609
train243,-1.7312,0.62647,-2.2798,-0.0092746,0.47429
train244,-0.53639,-0.029591,-0.21947,0.35319,0.38253
train245,-1.2268,-0.38884,-0.30219,-0.1865,0.054799
train246,0.96945,-0.038492,-0.79663,-0.52544,0.35818
train247,0.012927,-0.31091,0.12173,-0.33223,0.23986
train248,0.051796,0.3439,-0.020911,0.30035,0.93688
train249,-0.74345,0.17981,-1.4911,-0.92769,1.1828
train250,-1.329,0.67156,-0.79604,0.88051,0.51593
train251,-0.10849,0.39745,0.75197,0.97792,-0.27764
train252,-0.91172,0.7946,1.4587,-2.0059,1.4806
train253,-2.7808,1.509,-3.1181,1.0878,0.57835
train254,-0.015407,-0.2369,-0.54349,0.51344,-0.17742
train255,0.29758,1.7248,0.56083,-0.048458,-1.4777
train256,0.060862,0.51145,-0.014771,-0.45361,0.21202
train257,1.131,-0.47962,0.22377,-0.61455,-0.1957
train258,1.3933,-0.7437,-0.65839,1.1678,-0.8586
train259,1.6225,0.081746,-0.28092,1.5067,-0.71386
train260,0.94079,1.4695,1.7252,-0.31962,-1.6057
train261,0.84135,1.462,0.15798,0.2361,0.35495
train262,-2.5483,0.64468,-1.4178,1.4194,0.26697
train263,-2.0854,2.0087,-2.1556,2.3041,0.16551
train264,-3.337,-0.47138,1.5487,-2.2551,1.3465
train265,0.1371,-0.26736,0.16437,1.4711,-0.52986
train266,0.5131,-0.011583,3.0499,-1.6178,0.84625
train267,0.12205,-0.17772,-0.4572,-0.45488,0.1457
train268,-0.41085,-0.57482,0.29934,-0.094643,-0.097863
train269,1.1076,0.92108,0.6462,0.68579,-0.69209
train270,-3.6631,-2.0922,1.7481,-1.9869,0.95176
train271,-0.46056,-0.21439,0.13183,-0.31318,-0.23679
train272,-2.0918,0.26389,0.86639,-1.9829,1.3698
train273,0.43829,-0.06425,0.90629,2.6574,-0.66834
train274,-1.0514,0.42417,-4.5899,-1.7566,-0.97504
train275,-3.1451,1.0896,-4.245,0.39602,0.071803
train276,0.51714,0.60291,-0.26148,0.39942,-0.15146
train277,0.43624,0.86556,0.98035,-0.65188,0.51835
train278,-0.21496,0.027954,0.2728,-0.25606,0.034744
train279,1.0294,-0.47166,0.1442,-0.48958,0.22252
train280,-2.6051,-3.5771,1.4899,-1.4806,0.014467
train281,0.15529,0.1795,0.34447,0.31241,0.18328
train282,0.1543,-0.0037414,-0.14919,0.26204,0.26381
train283,0.63715,1.5443,-0.22165,-0.67006,-0.65799
train284,-0.127,0.016968,0.11196,0.00077349,-1.66
train285,-1.2818,-0.026229,-1.1842,0.45986,0.53287
train286,0.33756,0.86206,-0.33458,-0.078161,-1.0333
train287,0.72426,1.2493,0.1658,-0.21762,-1.9492
train288,0.1993,-0.2048,-0.080937,0.16963,-0.10417
train289,-0.64829,-0.012981,-0.56513,-0.34951,-0.036892
train290,-0.74343,-0.48243,-0.08781,-0.02448,-0.01545
train291,-2.6245,0.70103,-4.0121,-0.69101,-0.4019
train292,-2.564,0.20668,-1.7389,0.2666,0.15869
train293,-0.13521,0.12558,0.29443,-0.0094714,-0.12881
train294,0.78352,0.10719,-1.0036,-0.54059,-0.1658
train295,-3.358,-1.2527,1.4225,-1.8615,1.4247
train296,-2.4115,-3.3698,1.3981,-1.1152,-0.4019
train297,-1.922,0.68414,-2.7008,0.84575,0.67648
train298,-1.5157,0.5156,-1.0847,0.91692,0.39833
train299,0.26552,0.084903,0.2194,0.11729,0.94651
train300,-0.29124,-0.34634,-0.032543,-0.36879,0.40719
train301,-1.7443,-3.8014,1.6085,-0.78369,-0.21866
train302,-3.2061,-1.3852,1.1906,-1.7277,1.0833
train303,-1.4635,0.3382,-1.587,-0.68113,0.34675
train304,-1.0395,-0.0010619,-0.64264,0.54337,0.3378
train305,0.35192,0.66611,0.10947,-0.8203,-1.7179
train306,-1.87,0.3879,0.83094,-1.2493,1.393
train307,-0.46121,-0.1645,0.3615,-0.75224,-1.4838
train308,0.39876,1.2459,0.37499,-0.18219,-2.1645
train309,-3.4063,-2.7153,1.792,-1.2491,0.78836
train310,-2.0745,-0.37381,0.19932,-1.163,1.068
train311,0.74586,2.2058,0.90554,-1.1339,-0.18009
train312,-2.4014,-3.0612,0.99188,-0.93899,-0.065925
train313,0.52564,1.3962,0.33011,-0.45831,-1.8774
train314,-0.97775,-0.037868,0.15539,-0.45093,0.23714
train315,0.20984,0.62054,-0.13302,-0.022346,0.084345
train316,-2.6059,0.66445,-1.3795,0.59825,0.28455
train317,0.58722,1.4389,-0.6124,-0.12183,0.25396
train318,-0.39522,-0.012786,0.10879,-0.10773,0.15842
train319,0.45523,0.19035,0.31156,0.050535,0.4201
train320,-0.15127,0.062977,-0.12606,0.23725,-0.14098
train321,1.0491,-1.1701,-0.51687,1.1903,-0.59948
train322,0.30747,0.59336,-0.49513,0.77975,0.45689
train323,-0.78364,0.16003,-1.0335,-0.59292,0.51345
train324,0.25927,-0.39727,-0.69956,0.7237,-0.21295
train325,0.45244,-0.4659,-0.32453,0.32263,1.3418
train326,-2.0273,-3.4893,1.4695,-0.28042,-0.43361
train327,0.53628,0.036047,2.0148,-0.98401,0.95802
train328,0.2643,1.2597,0.018758,-0.26198,0.30169
train329,-0.72798,1.4832,-0.62955,0.55509,-0.89705
train330,-0.085093,0.21835,1.6551,3.0439,-0.1787
train331,-0.42156,-0.10956,-0.17015,-0.16216,0.0033311
train332,0.15727,0.91141,0.12785,-0.14084,-2.1856
train333,0.26099,-0.25406,0.50236,0.70672,0.57962
train334,-0.15594,0.18206,-0.31121,0.13544,-0.0035225
train335,-2.4854,0.80014,-4.7373,-1.9245,0.058636
train336,0.02073,0.48475,0.1055,-0.15245,-0.65137
train337,-2.8613,1.1778,-2.8633,1.2994,0.21398
train338,0.22413,2.8939,-3.2344,0.70495,0.64129
train339,1.0578,-0.43629,0.96999,1.0303,-0.16252
train340,-2.8202,-2.259,0.58169,-1.0962,0.47867
train341,0.6139,1.1365,-0.84455,-1.0615,-1.3119
train342,3.4781,0.17264,1.2206,-0.45825,0.049507
train343,-2.6614,-3.6414,1.3078,-1.5364,0.36514
train344,0.45871,-0.4785,-0.3233,-0.26873,-0.70185
train345,0.30879,1.334,0.17414,-0.20161,-0.45689
train346,0.78827,1.6632,-0.40314,0.30846,0.144
train347,-1.0384,-0.36275,-0.21399,-0.50959,0.082644
train348,0.57893,1.1186,2.2391,-0.53743,1.2252
train349,-0.48553,-0.11628,-1.5822,-0.010022,-0.24591
train350,-0.11346,0.73327,0.60888,0.57564,-1.0871
train351,-2.4803,-3.8555,1.2559,-0.84369,-0.34055
train352,-0.39489,2.4799,-1.3214,0.95713,-0.66038
train353,-0.60908,-0.22099,1.4117,1.8516,0.016474
train354,1.3881,-0.75942,-1.5867,0.18006,-1.2548
train355,-0.2313,-0.095251,-0.026986,0.026382,0.31533
train356,-0.34093,0.046198,-0.025325,-0.13232,-0.00072789
train357,-2.6422,-2.2891,2.248,-1.1318,0.52253
train358,1.5796,2.1786,-0.38938,-1.1308,0.657
train359,-0.59959,-0.079226,-0.15471,-0.12811,0.16501
train360,0.71189,-0.64873,-0.21872,-0.14272,-0.2766
train361,-1.3707,1.974,1.1286,-1.4191,0.74034
train362,-0.46133,0.13804,-0.46741,0.41707,0.31312
train363,1.0253,1.4364,2.0668,-0.60063,0.1581
train364,-3.1112,1.4074,-4.075,0.16031,0.22115
train365,-0.33072,0.30604,-0.41487,-0.0694,0.35389
train366,-2.6762,1.4943,-3.2691,1.0885,-0.6116
train367,-2.0064,1.1478,-1.6932,1.5332,0.1168
train368,1.1759,-1.031,-0.92824,1.4395,-1.1476
train369,1.1113,-0.3699,0.54013,-0.39674,-0.6188
train370,-0.47532,-0.18014,-0.34655,-0.13689,-0.082704
train371,-0.66827,0.088438,-0.26752,-0.037782,0.10269
train372,-0.98113,-1.7337,0.55227,-0.5794,-0.56079
train373,1.2707,1.6154,-1.0002,-1.8796,-0.75969
train374,0.021591,-0.34423,0.47719,-0.14304,0.033318
train375,-1.5361,-0.26929,0.22372,-0.83502,0.75236
train376,-1.7741,-0.91697,1.3555,-0.84584,0.64155
train377,-0.0041281,0.020522,0.23045,0.19209,-0.22586
train378,-0.18294,0.30175,0.32085,0.95059,0.77451
train379,0.28338,-0.18889,0.24871,0.3864,0.90373
train380,-3.1916,-0.15998,1.4529,-2.0068,1.477
train381,-1.6097,-0.3001,0.34198,-1.2384,0.38306
train382,-0.1877,0.057988,0.1422,-0.55172,0.17635
train383,0.7744,-0.096381,0.2788,-0.99829,-0.28627
train384,-1.7377,0.16859,0.46036,-1.4741,1.0009
train385,0.46653,-0.40722,-0.20308,0.31703,0.84714
train386,-1.838,-1.3499,1.2251,-1.6629,-0.15483
train387,-0.23814,0.36945,1.0143,0.98002,0.10963
train388,-0.23682,-0.38627,0.47896,-0.17793,0.18404
train389,-0.56275,-0.50358,-1.3036,0.37175,-0.3195
train390,1.483,0.18422,1.7519,0.7292,0.78975
train391,-3.0636,0.96744,-4.0396,0.52689,0.064396
train392,-1.4403,0.2627,-0.1673,-1.4123,1.1087
train393,-1.9477,0.58321,-3.3416,-0.68713,0.63141
train394,-1.5275,-2.6632,0.97523,-0.74033,-0.062128
train395,-2.4273,0.70337,-4.2255,-1.2753,-0.029699
train396,-0.9102,-1.278,0.57572,-0.87164,-0.712
train397,0.10105,0.090776,0.21127,0.21972,-0.69692
train398,-0.33385,0.18958,-0.19236,0.16108,0.067273
train399,1.1975,-1.0915,-1.1732,1.4965,-1.2553
train400,-1.4813,-0.60192,0.13962,-0.28004,0.18915
train401,-0.77831,-0.85058,0.60143,-0.33965,0.20065
train402,0.19655,-0.20943,-0.13184,0.73979,-0.012582
train403,-1.1373,0.89384,-1.1157,0.6641,0.28311
train404,0.59658,0.60857,-0.53228,-0.49125,-0.66844
train405,-0.6214,-0.17683,0.31536,-0.43893,0.00028795
train406,-0.66414,-0.43466,-0.15267,-0.20662,-0.16336
train407,0.1582,0.69723,-0.14021,0.085386,0.1023
train408,0.23328,-0.9377,-0.37784,0.15469,0.21481
train409,0.66977,2.3287,-1.2217,-1.4771,-0.78323
train410,2.0872,-0.24819,-1.1292,0.25007,-0.095636
train411,0.87344,2.0487,1.4683,-1.2534,-1.2921
train412,-0.34799,-1.1732,0.2531,-0.20011,0.22852
train413,-2.556,1.3382,-3.2541,1.5288,0.14114
train414,0.084393,0.59232,0.13477,0.21411,-0.32767
train415,-1.3195,-1.4612,0.47176,-0.46741,-0.21279
train416,2.2793,1.7145,-1.0474,-2.4766,0.63061
train417,-1.4902,1.195,-1.9484,1.0659,-0.15007
train418,-0.088268,-0.070105,-0.19233,0.18537,0.10618
train419,0.95021,0.35551,1.582,1.2094,1.1198
train420,-0.34035,0.49675,0.79629,0.86088,0.31406
train421,0.066422,0.17105,-0.53911,0.32308,-1.4904
train422,-0.29383,-0.48256,-0.11868,-0.28875,0.83299
train423,-2.0091,0.2508,-1.5297,0.40007,-0.034944
train424,-1.95,1.186,-2.1001,-1.022,0.51048
train425,0.76974,1.4993,-0.1426,-0.10099,-1.5634
train426,1.0197,-0.27092,0.050416,0.48974,0.019668
train427,0.53218,0.60334,-0.41479,0.74209,0.066342
train428,0.44717,-0.40945,0.53304,0.25199,-0.018335
train429,-3.3615,-1.8371,1.4883,-1.7806,1.3017
train430,0.39679,1.424,0.93245,-0.4287,0.56693
train431,1.7326,3.1766,1.2224,0.50456,1.0809
train432,-0.58798,0.42203,0.27102,0.22381,0.060487
train433,-0.73399,-1.269,0.36389,-0.062006,0.69615
train434,0.78089,0.93107,0.2995,-0.94919,0.10543
train435,0.62223,0.91888,0.58434,-1.0637,0.95101
train436,-0.42243,-0.076688,-0.49136,0.30571,-0.019559
train437,0.87467,0.86059,-0.47194,0.19469,-0.1569
train438,-3.5298,-2.5487,1.6618,-1.6726,0.96735
train439,-3.3999,-2.0185,1.48,-1.758,1.1651
train440,-3.1526,0.24361,1.5803,-2.1605,1.6163
train441,1.3181,-0.3481,-0.93083,1.4378,-0.7889
train442,0.21655,0.25014,1.4426,1.7105,-0.7419
train443,-0.87523,-0.14663,-0.13349,-0.12804,-0.065456
train444,-0.095831,1.0634,-0.015116,-0.23832,0.29077
train445,-0.099992,-0.28854,-0.49554,0.48014,0.24756
train446,-0.056423,1.3373,0.56162,-0.99502,0.88576
train447,-0.22098,0.90088,-0.14519,0.040623,1.1726
train448,1.109,0.93905,-0.65053,0.54615,-0.14843
train449,0.74077,-0.61224,-0.2798,0.4739,1.7687
train450,-2.0551,-2.0119,1.0515,-0.58181,0.16951
train451,1.0726,0.19485,0.93079,-0.21168,0.30481
train452,-2.9856,1.69,-3.0628,1.7008,0.24676
train453,-0.062384,-0.035319,0.71402,0.3634,0.0094
train454,0.21522,-0.14871,-0.011602,0.27154,0.44023
train455,0.86097,-0.18363,-0.4608,0.89101,0.53783
train456,-0.094629,-0.021959,0.36769,0.16469,-0.073662
train457,1.5298,-1.0587,-1.7299,-1.2734,0.68197
