SampleID,Auto 20 10 1,Auto 20 10 2,Auto 20 10 3,Auto 20 10 4,Auto 20 10 5,Auto 20 10 6,Auto 20 10 7,Auto 20 10 8,Auto 20 10 9,Auto 20 10 10
train140,-1.9997,-2.8095,2.6206,-1.2585,-2.4755,3.4349,0.32648,1.941,-0.45283,-1.3817
train141,-2.0783,-2.626,2.2047,-1.133,-3.2792,3.7788,0.52789,1.7085,-0.55753,-0.34274
train142,-1.7621,-2.8716,2.7218,-1.3154,-2.9418,3.594,0.38852,1.7894,-0.62221,-0.80821
train143,-2.2117,-2.6225,2.1693,-1.0917,-2.8704,3.6439,0.45356,1.7934,-0.35143,-0.86151
train144,-1.8659,-2.8166,2.6807,-1.2645,-2.7865,3.6264,0.33339,1.8527,-0.52208,-0.98283
train145,-1.9151,-2.7857,2.5871,-1.2499,-2.8941,3.5937,0.39366,1.8351,-0.53941,-0.85088
train146,-2.203,-2.632,2.3106,-1.1573,-2.4981,3.5254,0.34582,1.9481,-0.34878,-1.3252
train147,-1.9136,-2.7902,2.5588,-1.2481,-2.9255,3.5718,0.40203,1.8072,-0.49876,-0.79572
train148,-1.9071,-2.774,2.4608,-1.2815,-3.1869,3.6665,0.46159,1.7111,-0.58712,-0.47773
train149,-1.8949,-2.7702,2.6368,-1.2417,-2.8488,3.5445,0.40308,1.8317,-0.49952,-0.89503
train150,-1.8503,-2.7651,2.6871,-1.2331,-2.9831,3.6666,0.41687,1.8324,-0.61993,-0.75214
train151,-2.4041,-2.5923,2.0348,-1.1712,-2.4897,3.5198,0.37894,1.911,-0.2702,-1.3398
train152,-2.1891,-2.5722,2.2864,-1.1471,-2.714,3.6248,0.41376,1.9232,-0.4396,-1.039
train153,-1.8324,-2.8114,2.6418,-1.2794,-3.0043,3.6145,0.41816,1.7854,-0.59271,-0.71309
train154,-1.8588,-2.8028,2.6451,-1.264,-2.9401,3.5848,0.40377,1.8126,-0.55228,-0.79012
train155,-1.9577,-2.7134,2.3876,-1.1734,-3.204,3.6832,0.48016,1.7429,-0.53543,-0.43749
train156,-1.9351,-2.7798,2.5834,-1.2223,-2.718,3.4998,0.36758,1.8594,-0.43263,-1.04
train157,-1.8761,-2.8163,2.5209,-1.237,-3.0475,3.6284,0.4103,1.7857,-0.56259,-0.65529
train158,-1.8435,-2.8418,2.5975,-1.2443,-3.0865,3.5649,0.44198,1.7347,-0.5056,-0.5934
train159,-2.1684,-2.5668,2.2305,-1.1411,-2.9355,3.5623,0.5029,1.7791,-0.3854,-0.77233
train160,-1.9582,-2.729,2.4782,-1.2146,-3.033,3.5995,0.45575,1.7813,-0.53791,-0.66284
train161,-1.8877,-2.8116,2.5677,-1.2908,-2.8702,3.5937,0.35875,1.8212,-0.5356,-0.87261
train162,-2.282,-2.4886,2.0838,-1.0637,-2.7475,3.5909,0.44604,1.8554,-0.29725,-0.95984
train163,-2.2303,-2.541,2.0526,-1.07,-3.1159,3.595,0.54913,1.7233,-0.36871,-0.52102
train164,-1.881,-2.8209,2.6463,-1.2752,-2.8399,3.579,0.37998,1.8402,-0.53964,-0.90551
train165,-1.8882,-2.781,2.5896,-1.2473,-3.0196,3.6635,0.41343,1.7878,-0.57139,-0.6916
train166,-1.8114,-2.875,2.7005,-1.2976,-2.966,3.5842,0.39066,1.8148,-0.61424,-0.77524
train167,-1.9459,-2.7529,2.5332,-1.2448,-2.8931,3.6109,0.40191,1.826,-0.52547,-0.84069
train168,-1.8763,-2.7726,2.642,-1.2196,-2.894,3.6421,0.39552,1.8155,-0.53033,-0.8435
train169,-2.3104,-2.539,2.1344,-1.099,-2.4688,3.5107,0.3716,1.943,-0.27517,-1.3346
train170,-1.8681,-2.7811,2.6676,-1.2624,-2.8996,3.6233,0.39959,1.8505,-0.63095,-0.87438
train171,-1.8615,-2.7856,2.5106,-1.2203,-3.1092,3.6518,0.45613,1.7765,-0.62697,-0.56112
train172,-1.9139,-2.7625,2.5999,-1.1971,-2.8823,3.6838,0.37061,1.8569,-0.52916,-0.86192
train173,-1.8916,-2.7695,2.6306,-1.2517,-2.8746,3.6033,0.39183,1.8429,-0.5601,-0.88109
train174,-2.0136,-2.7191,2.311,-1.2012,-3.188,3.7794,0.4493,1.7353,-0.55277,-0.4606
train175,-1.7767,-2.8727,2.7114,-1.2954,-2.9493,3.5777,0.37711,1.8054,-0.58878,-0.78823
train176,-2.4503,-2.5832,1.9965,-1.1664,-2.2193,3.4174,0.32993,1.979,-0.19506,-1.6624
train177,-1.8859,-2.8088,2.6027,-1.2652,-2.958,3.6095,0.39757,1.8141,-0.5461,-0.76222
train178,-1.7701,-2.8499,2.7085,-1.3064,-3.0415,3.6096,0.41862,1.768,-0.62175,-0.66594
train179,-1.9267,-2.7802,2.5497,-1.2484,-2.9104,3.5816,0.39834,1.8161,-0.50012,-0.81475
train180,-2.2948,-2.5571,2.1662,-1.1395,-2.5249,3.5508,0.37355,1.9341,-0.3184,-1.2737
train181,-2.0248,-2.7337,2.529,-1.1993,-2.6187,3.5029,0.36346,1.9029,-0.44219,-1.1953
train182,-2.4251,-2.5159,1.9122,-1.0485,-2.519,3.57,0.37114,1.9197,-0.20428,-1.2553
train183,-1.703,-2.9032,2.7911,-1.3461,-3.0506,3.5644,0.41627,1.7507,-0.66522,-0.67882
train184,-1.87,-2.8034,2.6254,-1.2554,-2.9213,3.5948,0.39096,1.8357,-0.57284,-0.83474
train185,-1.9855,-2.8184,2.5431,-1.261,-2.7906,3.5961,0.35622,1.8666,-0.50222,-0.99525
train186,-1.7781,-2.8496,2.7053,-1.3075,-3.0315,3.5827,0.40683,1.777,-0.6141,-0.69347
train187,-1.7641,-2.9289,2.7679,-1.3229,-2.9639,3.5836,0.38816,1.8111,-0.64119,-0.77168
train188,-1.799,-2.9037,2.7113,-1.276,-2.9355,3.5656,0.36237,1.829,-0.5682,-0.81016
train189,-1.7066,-2.902,2.8149,-1.3073,-3.046,3.6115,0.41765,1.7662,-0.65311,-0.65649
train190,-1.8534,-2.8483,2.6492,-1.3075,-2.9221,3.5875,0.38029,1.8299,-0.59468,-0.82934
train191,-2.0482,-2.614,2.3422,-1.1627,-3.1272,3.6595,0.50564,1.7731,-0.49537,-0.53109
train192,-2.1411,-2.6333,2.2289,-1.1201,-3.0102,3.6166,0.4833,1.7775,-0.40809,-0.66525
train193,-1.8829,-2.8174,2.6368,-1.2633,-2.9306,3.5903,0.39101,1.824,-0.55048,-0.81833
train194,-2.0514,-2.8282,2.5533,-1.2542,-2.4981,3.464,0.28097,1.9565,-0.40407,-1.3609
train195,-1.8859,-2.8106,2.6167,-1.2593,-2.9372,3.5874,0.39459,1.8299,-0.55126,-0.80349
train196,-1.9776,-2.7474,2.4576,-1.1774,-2.9787,3.6298,0.435,1.787,-0.47845,-0.74428
train197,-1.7831,-2.8689,2.7547,-1.2972,-2.6971,3.5415,0.31354,1.8618,-0.54995,-1.1038
train198,-2.1004,-2.7749,2.4827,-1.2409,-2.4468,3.5385,0.28233,1.963,-0.41272,-1.42
train199,-1.9578,-2.7826,2.5455,-1.239,-3.0221,3.6859,0.4213,1.8234,-0.58818,-0.69342
train200,-1.9199,-2.7919,2.6004,-1.2421,-2.918,3.6221,0.38814,1.8291,-0.52275,-0.8206
train201,-1.9212,-2.7846,2.545,-1.2496,-2.9236,3.5776,0.39975,1.8077,-0.49502,-0.79532
train202,-2.0983,-2.7375,2.4811,-1.2307,-2.4137,3.428,0.32256,1.9581,-0.3765,-1.4281
train203,-2.1787,-2.5985,2.2384,-1.1634,-2.7585,3.6149,0.41174,1.8632,-0.40789,-0.99987
train204,-1.7642,-2.9296,2.7906,-1.3509,-2.7554,3.5024,0.33181,1.8276,-0.55509,-1.0157
train205,-2.1765,-2.6119,2.1225,-1.1422,-2.9711,3.6196,0.47921,1.7467,-0.3811,-0.70815
train206,-1.8215,-2.8361,2.6725,-1.2819,-2.9484,3.5923,0.39022,1.8126,-0.58613,-0.78967
train207,-2.4889,-2.5649,1.908,-1.1518,-2.2648,3.414,0.33598,1.957,-0.14021,-1.5599
train208,-1.802,-2.9006,2.7052,-1.2713,-2.9465,3.5631,0.36852,1.829,-0.56989,-0.79635
train209,-1.7688,-2.9067,2.7629,-1.3213,-2.955,3.5561,0.39421,1.8119,-0.63284,-0.78172
train210,-1.9183,-2.8084,2.5584,-1.2537,-2.8757,3.5732,0.38591,1.8271,-0.51064,-0.85044
train211,-2.1323,-2.5993,2.2874,-1.1444,-2.9091,3.6332,0.46261,1.83,-0.44031,-0.80132
train212,-1.7987,-2.8273,2.6991,-1.2799,-2.9118,3.6443,0.36002,1.8071,-0.56632,-0.82106
train213,-1.9255,-2.7812,2.5712,-1.2446,-2.8827,3.5658,0.40002,1.8294,-0.50457,-0.85371
train214,-1.903,-2.8074,2.615,-1.2191,-2.8623,3.5643,0.38679,1.8325,-0.48187,-0.8788
train215,-1.8099,-2.8041,2.6835,-1.2401,-3.0195,3.6138,0.42895,1.7869,-0.59117,-0.69211
train216,-1.7857,-2.8612,2.7354,-1.2676,-2.974,3.5949,0.41329,1.7885,-0.59446,-0.74937
train217,-1.8767,-2.8142,2.6089,-1.2675,-2.9276,3.6247,0.3739,1.8168,-0.5378,-0.81231
train218,-2.1737,-2.7048,2.3864,-1.1951,-2.3161,3.428,0.30429,1.9821,-0.32673,-1.5535
train219,-1.7314,-2.886,2.7802,-1.2721,-3.0904,3.6707,0.40716,1.7818,-0.66384,-0.60433
train220,-2.0625,-2.6308,2.3168,-1.1138,-3.0316,3.6685,0.46128,1.8165,-0.48058,-0.64982
train221,-1.708,-2.9188,2.8153,-1.3364,-3.0547,3.5658,0.42335,1.7447,-0.6384,-0.65789
train222,-1.911,-2.7418,2.5871,-1.2197,-2.8288,3.568,0.40408,1.821,-0.48005,-0.91186
train223,-1.7045,-2.8948,2.7985,-1.3159,-3.0151,3.5863,0.40105,1.7714,-0.6464,-0.71302
train224,-2.471,-2.5154,1.9874,-1.1311,-2.1392,3.4043,0.34005,1.9904,-0.1606,-1.7334
train225,-1.8638,-2.8403,2.6129,-1.2674,-2.933,3.5837,0.37737,1.8184,-0.53649,-0.80151
train226,-2.4387,-2.5614,1.9193,-1.1529,-2.4882,3.5142,0.37624,1.9044,-0.23712,-1.3184
train227,-2.0739,-2.8288,2.5972,-1.2485,-2.2336,3.4062,0.25833,1.9749,-0.36099,-1.6795
train228,-1.8072,-2.8109,2.7166,-1.2573,-2.9307,3.6204,0.39696,1.8144,-0.58572,-0.8102
train229,-1.8007,-2.8983,2.6897,-1.2808,-2.9328,3.5956,0.35873,1.8235,-0.58205,-0.80718
train230,-1.8991,-2.7675,2.495,-1.285,-3.1747,3.7334,0.43222,1.7239,-0.59019,-0.47735
train231,-2.2122,-2.6142,2.3143,-1.1451,-2.3712,3.4586,0.3356,1.9666,-0.28884,-1.4614
train232,-1.9803,-2.7138,2.4195,-1.191,-3.0397,3.5455,0.49891,1.7358,-0.48153,-0.62778
train233,-1.9028,-2.821,2.6251,-1.2481,-2.8733,3.5872,0.38525,1.8298,-0.52537,-0.87308
train234,-2.4322,-2.5351,2.0399,-1.132,-2.2072,3.3758,0.35686,1.9764,-0.15638,-1.6378
train235,-2.1707,-2.5242,2.0298,-1.023,-3.2862,3.6824,0.57077,1.6892,-0.45,-0.31093
train236,-2.06,-2.6079,2.2497,-1.1415,-3.1312,3.6649,0.50039,1.7327,-0.46351,-0.49557
train237,-1.8934,-2.808,2.5637,-1.2604,-2.943,3.5808,0.3943,1.8064,-0.52158,-0.77852
train238,-2.4055,-2.5653,2.0179,-1.144,-2.4389,3.4403,0.40746,1.9076,-0.22359,-1.3741
train239,-1.8694,-2.7891,2.6394,-1.2644,-2.8719,3.6076,0.39278,1.8345,-0.58507,-0.88887
