SampleID,Kendall tau,Kendall tau p
train8715,-0.1796898747,2.4189607170769721e-80
train15965,0.1886230524,6.0648499831141183e-15
train13760,0.2638497849,9.6521870808958283e-53
train5224,-0.3216913255,1.8065273533522822e-35
train13158,0.1448056446,2.4000211706185456e-07
train13648,-0.0054830309,0.5095885975
train15546,-0.0239848087,0.1571193007
train7323,0.103199963,1.7623024497381946e-09
train844,-0.2648070294,1.9955798981260208e-84
train1685,5.7219443168555485e-05,0.9971103478
train890,-0.0292267085,0.314438814
train2265,-0.1555021584,2.7893038675167157e-27
train6316,0.0725588956,1.7540393418737097e-07
train10261,-0.1563525192,7.1565843419111806e-18
train11931,-0.185052756,9.0976223026236171e-18
train14160,-0.1744854886,6.0365986942284575e-20
train9217,0.1698490399,1.0719922768811448e-15
train4603,0.2877428552,1.9820186077625044e-28
train1290,0.6110794207,0
train599,-0.049497065,0.0191512594
train6840,-0.5748631292,1.7648403470782503e-238
train13495,-0.0190100839,0.2773076577
train9777,0.3042021373,8.0751859767846346e-210
train11682,-0.0067518638,0.6799170986
train1108,0.0665408067,4.393079237449065e-06
train10607,0.0024886322,0.918329643
train2881,-0.004554845,0.7923637661
train3556,-0.0162739111,0.096944736
train10942,-0.4933101009,3.4438537445837784e-193
train5179,-0.0151852893,0.1795754133
train1698,0.6987797112,0
train5550,-0.124428026,4.2860601703526937e-16
train13953,-0.5029689137,0
train6301,-0.0186471646,0.2867491906
train1364,-0.0433781125,2.7846638341962294e-05
train7477,0.0198086459,0.2809907792
train10881,-0.1552339775,5.4077379801258997e-11
train11757,0.1979124876,1.022199550867972e-20
train12656,0.3085937607,3.0471308794043511e-59
train15051,0.4839057868,7.3275351160794069e-272
train13937,-0.0124663002,0.491482157
train4103,0.392928775,1.049943124632368e-185
train4091,-0.0934058974,1.9103312542868001e-06
train5982,-0.1212372819,1.011283418029513e-42
train5563,0.6275628009,3.5741199489629107e-122
train5575,-0.1788756532,4.3852881333593997e-27
train10222,0.0222910224,0.1689513267
train14065,0.1766203182,1.0443848431742088e-21
train8743,0.0452065555,0.0399768341
train9475,-0.1489974369,5.1941906476485021e-42
train1393,0.3695127474,1.1182843848786033e-52
train10181,0.1901344295,1.0487715440741578e-18
train15212,0.1986343509,4.1729804897441491e-18
train8073,-0.5480143001,1.2808276346895792e-242
train4250,-0.3467775237,0
train3421,0.0047690139,0.8657504915
train10303,0.3010134907,3.2453326368705794e-29
train5905,-0.0069467137,0.4199956937
train8434,0.0061273973,0.7165466056
train3357,-0.5842400895,0
train12660,-0.0516029473,0.0049605437
train5133,-0.1714655948,5.9994728107110825e-63
train6817,-0.5403591868,0
train12522,0.0551955213,0.0059537574
train8347,-0.1797080004,1.5449855449428715e-14
train3610,0.0048301844,0.7742949009
train1527,0.010352663,0.3186739436
train7077,-0.0102520604,0.6591875935
train6140,0.2397406434,1.0808915808011205e-143
train5004,0.2573021886,2.0294515812909693e-23
train3938,-0.0360909268,0.2221644123
train15252,-0.4826720218,1.0163136391157273e-185
train14349,-0.1540072263,1.2158827450456657e-10
train5434,0.0023102227,0.8731270378
train10407,0.5096618583,2.216024195941776e-89
train3739,0.2350750457,3.704790121124532e-38
train7672,0.0038054782,0.8456211
train4639,0.0234228326,0.0159037789
train8891,0.2506225259,1.1011351489823928e-41
train1966,-0.6760690214,0
train6465,0.4754396125,7.5931128080032933e-125
train10737,0.0065563187,0.5134858012
train1307,0.2612872566,4.9008441804124591e-32
train9873,-0.0092398733,0.2956552193
train9270,0.2108925362,2.6695578411949334e-102
train1599,-0.0162138346,0.516803736
train4564,0.011069304,0.3733526076
train13538,-0.6721426804,0
train4498,-0.1604309755,1.7281846723454664e-13
train9632,0.0070627574,0.6780417499
train13052,0.2304629649,1.3735093666896321e-23
train11361,0.4491114574,0
train9364,0.0395421863,2.7817135739698756e-06
train13269,-0.4434774218,0
train685,0.2775370912,1.0361777825369518e-20
train15302,-0.1301068238,1.9887979425635366e-12
train8538,0.0004270782,0.9797717565
train1032,0.1343169566,3.7930141915648522e-09
train9871,0.2357654584,9.3524407074059617e-17
train10525,0.3552796584,1.2807900032630778e-88
train3932,-0.5031558546,0
train4015,-0.4744276221,8.9804393471562683e-19
train3735,0.2100439335,1.1739852238275575e-26
train9894,-0.0358666262,0.0094750641
train1240,-0.0218853937,0.3904025054
train5243,-0.1814248565,3.424380333666388e-16
train9843,0.1277054919,1.6519417700872918e-09
train11617,-0.0349675111,0.0385768218
train15077,-0.1663122571,1.3426522301043661e-09
train3940,0.1877272733,1.6044541570078088e-12
train14563,0.2132049841,9.5492618053265369e-15
train3884,-0.0063919416,0.8258682632
train865,0.4764277213,3.8060114701554874e-263
train722,0.2521999774,5.824529830487767e-30
train15657,0.0020523054,0.9056153736
train7229,0.2172133939,1.0624249240480687e-64
train14838,0.2138351067,1.8566033631735968e-16
train1328,0.0509178249,0.0088572919
train4050,0.1769925448,3.6814073512547865e-42
train1516,0.0272006184,0.4130224308
train13215,-0.1033629184,7.2466950048382943e-23
train14445,-0.450936924,1.8961238291966764e-145
train2675,-0.2893211547,2.2408353305499727e-43
train8191,0.0094256574,0.6571533019
train278,-0.0008196359,0.9749460876
train10662,-0.6404537959,4.2105452286850862e-231
train6685,0.0042462849,0.6043603662
train13005,0.1553420558,1.3226539062574529e-70
train12946,0.3982292464,1.0770806345967106e-275
train6321,0.5041135909,5.0711854741840463e-79
train2879,0.5248993261,0
train10158,-0.0050370312,0.8656367357
train13752,0.0143193987,0.1315792822
train3681,-0.0086767602,0.3385280646
train12550,-0.50296652,1.906291080144797e-277
train5565,-0.0269997768,0.1540758345
train2061,0.0511632741,9.0120592188524096e-06
train14310,0.0156675745,0.4356075737
train7644,0.1457770504,1.1254439749297078e-12
train4359,0.066173401,0.0024762584
train9559,0.0974635265,7.5475920785824403e-16
train12092,0.0665574476,1.5815174453577204e-13
train1049,0.1713870955,7.2017687902333623e-14
train6506,0.0085286623,0.6993218796
train763,0.7047520565,1.003001028295062e-301
train1560,0.0154021759,0.5960244168
train14925,0.0062840406,0.81882379
train4040,0.1333025536,1.6791765308406448e-70
train13584,-0.550335276,2.1464973772490821e-86
train5363,-0.0143347045,0.3918995447
train14600,0.0219320966,0.3925270756
train10703,0.0383712684,0.0489329059
train9092,-0.0993441034,5.4821996542299297e-39
train9244,0.4653199037,0
train10087,-0.1245193577,2.6951461113464461e-09
train9142,-0.0682172982,3.534233093313205e-11
train6748,-0.1428790235,3.6608685817279168e-59
train738,0.1964710653,1.3863890529203522e-78
train9760,-0.3888707019,9.7598484891718806e-237
train8070,-0.0197021351,0.2938736721
train11614,-0.064221303,0.000896896
train15650,-0.0078500466,0.609329695
train3671,0.0235042831,0.1429351294
train6406,-0.0036489848,0.6550184409
train5095,-0.7715709222,0
train7251,0.0682990546,0.0003371055
train13153,0.167039027,1.5277762878686386e-62
train16078,-0.6791658133,1.0924343116270313e-89
train4178,0.3198773577,1.6779167259022665e-29
train8565,-0.5139287826,2.5932128919961853e-71
train7712,-0.3361794443,5.7781864643235014e-43
train10411,0.3408402424,5.0801342553396442e-138
train12485,-0.1478935782,1.7092603498087891e-10
train8585,-0.6675580808,1.0300965757258988e-248
train8001,-0.0107593874,0.3873772757
train10568,-0.2554795066,1.0743732661129785e-48
train15809,-0.5672715651,0
train12317,-0.1999274225,4.2083733297479307e-42
train11955,0.0299236329,0.0003224253
train13043,-0.3126587113,1.748678879127279e-31
train1983,0.1214899618,2.1186221330637732e-45
train7623,0.168598466,3.4986940473462989e-34
train10952,-0.1700651597,9.6120341135584173e-13
train2287,0.0949143595,0.0010875146
train1189,-0.0230465676,0.2426069442
train15944,-0.1816123549,6.0276965443785394e-13
train7226,0.0096355142,0.4510996821
train9792,-0.4175126134,2.3342545101929788e-88
train1442,-0.0575507446,0.0274440199
train2109,0.6027685138,0
train15769,0.195818658,2.3113961514277154e-23
train9282,-0.0579287139,9.7140740189226906e-13
train12266,-0.7159612761,0
train12170,-0.0992037397,7.6710932305367285e-25
train7843,0.0846078852,9.0527350921784425e-07
train1744,-0.2832741947,2.8959235687110443e-46
train14510,0.0265658961,0.0006178846
train3974,0.1783649003,8.6003633544734939e-94
train8272,-0.5906566497,0
train12716,-0.0192091943,0.0398798416
train6260,-0.2518834966,3.3409292213797005e-26
train10561,-0.5316645523,0
train8856,0.5029431557,1.5680508947107004e-64
train1548,0.003282668,0.8872243353
train2233,-0.3314031846,4.9088468938083528e-119
train8288,-0.2946408234,4.7246353053140047e-95
train4833,0.5048783995,5.1489230141605322e-64
train5435,0.0129766551,0.1488807135
train9783,-0.7505143151,0
train1805,0.3996514597,1.4896492794343195e-70
train9975,-0.0150101051,0.4143215102
train8236,0.2608542084,8.2630717823914675e-143
train2258,0.0030105354,0.7490156291
train10730,0.4002947547,0
train2788,0.0474942761,5.3352316889860849e-09
train13461,-0.1562341408,5.7138873725709475e-48
train320,-0.3261106806,5.6840458736861138e-38
train3953,0.2229769895,1.8047043052594751e-88
train1540,0.0601272179,3.7451705709517621e-11
train16093,0.5164427918,4.1805260827145159e-49
train9057,-0.0070032573,0.5118318242
train654,-0.0961990089,9.7595976618739421e-09
train9920,-0.0018630179,0.8175176194
train3835,-0.1760749279,1.7930739464254666e-18
train5523,-0.0120904306,0.5033807536
train2278,0.0090930273,0.655856441
train7893,-0.0085813947,0.4950606806
train4809,0.0192512255,0.12472655
train497,-0.1238367358,3.7883984233895478e-09
train5636,-0.0083373514,0.273888165
train384,0.0078626675,0.5032357323
train8228,0.0043987804,0.5626866526
train1418,-0.0029294403,0.7558880827
train4202,0.1119565373,3.4973683669267068e-23
train12366,-0.0016075346,0.8611790715
train13745,0.1647000193,1.0034318286100142e-33
train13069,0.0833124935,1.970533188925832e-05
train8853,-0.1971507965,3.3736690393120882e-11
train3527,0.016296258,0.4870179615
train13824,0.1832624594,1.306984596554036e-41
train2929,0.3287544806,8.0911707474505505e-91
train237,0.1776407547,1.730431086217738e-40
train10339,0.0374623383,0.040391717
train10863,0.2011104269,1.7500157239623773e-99
train8527,-0.1896495426,6.415990017286112e-36
train3238,-0.0571516533,3.1501209171239822e-09
train7863,-0.1749363755,2.7075144878501529e-90
train4897,-0.0160909091,0.3922370582
train13277,0.0247035864,0.3420234623
train8018,0.000782501,0.9722317256
train13309,-0.128831741,1.101545174718036e-13
train3299,-0.7035744502,0
train14455,0.1833794755,8.9565490097634887e-27
train2175,0.0133685409,0.1720706704
train12095,0.1270461234,1.9736803153880319e-40
train8247,-0.0963975416,0.0006999701
train2068,-0.5866808961,2.5397472757374875e-119
train10154,0.6937479837,0
train1041,0.0082393477,0.7767250368
train16012,-0.5064001156,4.1029436219312304e-210
train15107,-0.0117770448,0.3879410862
train1297,-0.539813622,1.057113922362308e-258
train892,-0.0476974634,0.0947112099
train8101,0.0060092198,0.446887335
train11560,0.0293401475,0.0054276515
train12319,-0.0238742831,0.2994511419
train9164,-0.1014364432,4.3165714071123185e-07
train9146,0.1482348937,2.1948923155421901e-17
train5029,-0.0026665992,0.9230267744
train2489,-0.4402216845,0
train6228,-0.0477610599,0.0032782487
train14696,0.0807335139,1.2156838566762302e-08
train7564,0.1416232155,3.3219618148238122e-32
train5351,0.0967307814,2.7772783028090867e-21
train9012,-0.502721877,0
train6818,0.0161558301,0.2737721271
train15478,0.0048905202,0.8118886987
train3999,-0.4304518307,4.0744952735070601e-49
train7493,0.0048737198,0.564814395
train9152,-0.1039741903,0.0003032559
train9334,-0.1358576512,5.1706937048657803e-18
train7484,0.2520829454,7.8101475041131462e-102
train15375,-0.0074764397,0.7831035
train11047,-0.4150579914,3.1678405867657949e-133
train10400,0.0962342784,0.0010591743
train9365,-0.0103437247,0.17836935
train14106,-0.2005574663,7.9594889394414379e-35
train4751,0.3161855809,1.3233252220688162e-237
train13767,0.0268795099,0.0308163908
train8159,-0.0056573541,0.5107430295
train10713,-0.4795803984,0
train1893,-0.0170859637,0.4779761284
train1571,0.0011818174,0.9529561078
train1641,0.2777527094,1.1138685217714441e-282
train8688,-0.01235495,0.6668598916
train2965,0.0321068885,5.7415131931095394e-05
train6716,-0.1279211498,7.5604651861380693e-45
train10679,0.1585866759,3.1059244453406662e-25
train7635,-0.0294470171,0.0001247436
train8422,0.1937104308,7.999752715544547e-11
train5419,0.0835069725,2.5465091744808442e-06
train2087,0.1331663353,8.8322086257120383e-58
train12479,0.2844212747,2.9993087959081095e-43
train12750,0.1744670055,1.2258480429519048e-17
train1597,0.0026678131,0.8910560765
train2822,0.0070010026,0.5204204853
train4462,-0.067898444,5.4214407327696237e-07
train14377,-0.2866007602,1.5235340340014126e-32
train4645,0.0066909749,0.6478959906
train12027,-0.2781323403,1.7845689941576061e-189
train2920,0.3543129594,0
train13879,-0.2092656654,7.9774727087177355e-13
train10656,-0.6282071906,2.8520376558640489e-276
train5291,0.1815029872,1.4884330936466739e-11
train10948,-0.0097231079,0.4757934081
train15525,-0.5221298183,5.9590382641020439e-137
train9901,0.0821801642,3.4672490196614892e-26
train8509,0.2410688077,4.0139066829973028e-114
train968,-0.0013757903,0.9143294532
train14752,0.0049319366,0.70223821
train7196,-0.2467583968,2.3163724771536146e-78
train9822,-0.2292624326,5.7165554258297076e-17
train7978,-0.1375827798,8.66840868419451e-11
train817,0.0135659108,0.6029266384
train15268,-0.2410614385,3.9208536224601991e-23
train4029,0.6020879676,0
train14435,-0.0018162808,0.8864647368
train12396,0.0090804747,0.460377518
train4083,-0.3898341553,1.9332409381544429e-189
train3217,-0.1755804305,2.8129459440464849e-26
train5628,0.0115267034,0.4138556789
train2488,0.3092939557,2.2163941572115809e-05
train628,0.0505167841,0.0841431402
train10635,-0.0018574941,0.8909234391
train9039,-0.0954949292,5.1851839256615602e-33
train7777,0.6831927727,3.675493732617939e-226
train1144,0.2756101968,2.2960326217614358e-202
train2649,-0.2433448842,1.9122288814171543e-156
train8723,0.0052602676,0.8082974624
train5784,0.7227176572,5.5741868958328276e-248
train2607,0.2132382407,3.2070079563182306e-123
train11196,-0.0760966992,2.8280772396719035e-11
train6595,-0.0259927568,0.3000422292
train2749,0.0124338805,0.4493091262
train4915,-0.051472626,0.0675589176
train249,0.2689516307,2.4522142043883878e-70
train4847,0.2806244527,9.3388731795109572e-41
train12991,-5.4601310910342584e-05,0.9962423423
train14565,0.4752172071,6.3938913668599301e-209
train12857,0.030392377,0.280017046
train9195,0.2256537146,9.9772976677380277e-47
train8300,-0.0127480775,0.6441424045
train9603,-0.4730243642,0
train9411,-0.0186148038,0.1831648412
train188,-0.0148981405,0.0850227208
train4211,-0.6078434365,5.6977445043327132e-105
train691,-0.0140022697,0.523517274
train4775,-0.1894787062,3.7339106410874963e-49
train4159,-0.0230498868,0.0450062991
train9303,0.0419383086,0.0019514978
train10437,-0.525447736,0
train13576,0.1476975993,5.197533895530492e-85
train11707,-0.0410977581,0.1321607308
train6539,-0.4834616631,6.9142921930852853e-132
train8957,-0.0231704032,0.226191629
train11121,0.2890977054,1.5593507571794721e-82
train6349,-0.0019317555,0.9409959624
train15562,-0.1134227018,1.0652383720894894e-13
train1888,-0.0314100643,0.2796524441
train14559,0.0035852668,0.8755176045
train10979,0.3263746559,1.2653169877232964e-220
train15748,0.0564067175,1.868388876532946e-06
train3449,0.0813069367,0.0026682242
train676,0.0277703102,0.1182356545
train748,-0.3399176764,1.9350065085152945e-191
train1937,-0.1965927917,7.2191717715215104e-17
train13597,-0.2850806709,1.200483611311054e-22
train13488,0.1389901959,2.7653263305162607e-06
train5880,0.355660624,1.933914916083591e-128
train9103,0.0102096918,0.4360611291
train9093,-0.003550893,0.7797882973
train14949,0.3346202823,7.8186834480184505e-34
train16061,0.6693459922,1.1181539408575969e-43
train6245,0.7395336646,5.9927573358563734e-235
train9641,0.0201190645,0.0551330845
train230,-0.0149251121,0.7542335035
train12865,0.0732823067,0.0023864991
train7673,-0.0146472313,0.518522099
train3742,-0.0154405014,0.4271477163
train2936,-0.3260827537,3.7787815717708016e-48
train10078,-0.1382755337,5.3739338417246687e-08
train12879,-0.0146759725,0.3628613135
train3792,0.1919327077,4.1897794093229257e-12
train11175,0.0120123201,0.4831664225
train3390,0.0151278004,0.4818918684
train12793,-0.1999309022,2.0892523859438108e-13
train15583,0.0851239323,6.7676253612006233e-23
train3613,0.2176763001,1.8417907564778648e-60
train2681,-0.0187321775,0.0363162967
train6225,-0.0292179697,0.2146857685
train5183,-0.2864016564,4.6933665877096205e-298
train3090,0.3043633112,8.2271246920142251e-42
train4261,-0.6150580511,0
train9943,0.0956266609,2.1134891983682718e-13
train15855,0.1896638251,1.1413049712685443e-32
train1062,-0.1195632777,3.9620069054564245e-43
train15519,0.0086706972,0.6335601297
train3330,-0.0793331733,2.030992116730279e-10
train14715,0.0118620866,0.3484679633
train11339,0.0118857516,0.2454255166
train9071,-8.0667037313880547e-05,0.9967668387
train7837,-0.1120682437,9.1057398408463885e-08
train9938,0.0516515482,0.0032977051
train8166,-0.1189193979,1.4380454980478648e-12
train75,0.0455596975,0.0591466831
train3705,-0.1025147112,4.4432948678985698e-12
train671,0.3836420243,5.1081702877282017e-80
train15749,0.0168526843,0.4119303551
train1762,-0.0652142803,1.1810528618640841e-10
train11307,-0.4987647314,0
train4777,-0.1594481545,9.1327357587857444e-38
train10754,0.0698430239,1.5860262672462218e-14
train13294,-0.1826358196,5.0252672024117962e-21
train9171,0.4246607597,0
train13152,-0.046752919,0.0959597085
train6845,-0.0654241727,0.0003512414
train5459,0.008068633,0.7581012891
train7469,0.2871790132,4.7656918254144291e-135
train11640,0.0384349453,0.0896800625
train4888,-0.2421113275,9.7666020063287662e-99
train2835,-0.0442282901,2.5735219660738204e-08
train262,-0.0516204288,0.0006129519
train7840,0.0401881923,0.0004367149
train11194,0.1599988846,1.2544746405162029e-56
train15568,0.0015504284,0.9529553788
train3768,-0.0170288205,0.2736737987
train3731,-0.0169427442,0.5597917061
train2432,-0.7715696556,0
train13406,-0.0277920797,0.0848633041
train14201,0.0064280812,0.491999323
train3045,-0.0124359682,0.1370142489
train7567,0.0959812617,0.0003544296
train12279,-0.0844291085,4.1520523795795355e-05
train9944,-0.150625753,2.7659337724702479e-11
train2791,-0.1911606356,5.337881305544641e-15
train9664,0.0025426243,0.8054486048
train2146,0.3698659942,4.0084594492099863e-37
train10701,-0.3334719957,1.9637263798974502e-44
train11113,0.6676764072,8.5885785458617306e-121
train1428,-0.0199661414,0.2816064621
train8051,0.0736789968,0.000109306
train14450,0.0132086463,0.484405699
train1438,0.0214086369,0.1454129371
train7718,0.0119829394,0.1373176412
train7498,0.1630097228,3.2426345362573272e-62
train14490,-0.0267784372,0.3221523702
train12442,-0.0081457559,0.7765574289
train2513,0.1147754997,7.8004881439111933e-05
train4485,0.3256065629,7.4815653528439027e-53
train6835,-0.4219173347,2.1337644595988098e-206
train8800,-0.3912578334,0
train14912,0.1700776869,6.149427758859258e-32
train2159,-0.2305683452,3.2461170001836158e-41
train13125,0.1445952752,1.7759217328665534e-21
train15349,0.0081881263,0.6190733764
train6649,0.0291057994,0.2222747786
train13049,-0.0318335218,0.0006127748
train6461,-0.290659587,8.8062269547004182e-166
train1707,0.0054943758,0.6190965982
train14626,0.0510658313,0.016080252
train15416,0.2990667887,2.487343031806155e-101
train4885,-0.5706320197,0
train1602,0.035702241,0.118334202
train14277,-0.0184458981,0.1004111133
train9144,7.2706386223560546e-06,0.9998012817
train3994,0.1277871691,3.1108023576167547e-56
train13807,-0.004568845,0.7620812963
train1143,0.0742461165,7.2924763643819154e-05
train5398,0.3819099682,1.2068264512474597e-265
train13512,-0.1772640573,2.7431685818746174e-83
train12261,-0.0039284304,0.7775058216
train11501,-0.0116403573,0.1732401878
train5060,-0.001838296,0.9387911617
train438,0.1369232492,2.0119153045600585e-20
train2993,-0.2174956319,2.3378072191457593e-13
train14772,-0.2909351384,5.6235459694496672e-84
train8845,-0.0771366966,0.0017643545
train14182,-0.0035001361,0.9031185601
train7547,-0.0128391428,0.3415949725
train13,0.002394607,0.9315700884
train2221,0.2112747429,3.272871758536853e-147
train1177,0.5246815737,0
train13235,0.0344621082,0.2109925807
train2735,0.7239105404,0
train199,0.1364330016,7.1828734136368093e-09
train13994,-0.1017240213,2.0235122930616413e-06
train13657,-0.1379697811,3.862573656287175e-08
train16013,0.4044216478,1.6470737951628338e-276
train9420,-0.0128840902,0.4471002518
train4474,-0.6462164057,3.868500378773935e-116
train12358,0.6641948397,3.8719821030674295e-253
train10697,0.0486791071,0.0053405405
train5199,0.1098933137,1.9452983631618378e-06
train3287,0.6193046212,2.4700720384202719e-178
train11995,0.1418751167,1.1171695325405925e-72
train1391,-0.2178013332,5.3149490426320929e-34
train9799,-0.0131521515,0.3235925034
train12745,-0.2906019516,1.5524618903708016e-162
train10853,0.518189813,0
train7014,0.018198713,0.5184667382
train2561,-0.1912607539,2.946983662886522e-32
train5918,0.0051311624,0.8254007058
train3554,-0.2979061887,1.1400598872430551e-24
train5964,-0.1597797406,2.0202576761773916e-28
train611,-0.0107550073,0.5855506475
train9706,0.4392422844,1.0933633263575449e-215
train7154,-0.0170926232,0.1005084173
train5256,-0.5937559749,9.4120414795242315e-199
train7282,-0.0348882055,0.0003053243
train11025,-0.1330018195,2.5618295150120901e-31
train10994,0.2753671589,1.0652431800610915e-36
train6457,-0.5890278837,0
train4899,-0.3854843055,5.243831598002548e-190
train2104,-0.1571295547,1.8536814830323633e-30
train3359,0.114439238,3.219696637690336e-33
train15380,-0.0275259605,0.0167040841
train6806,-0.2602551328,5.7705098518168288e-124
train11999,-0.0213237825,0.1939201185
train14360,0.0810911486,0.0007228
train13667,-0.0142055374,0.125582973
train10578,0.2803182543,4.4334501779705409e-48
train10527,-0.2717689042,1.6003449514583578e-28
train10134,0.0320983556,0.0973624497
train6119,0.6468621245,7.7693624430381434e-128
train3295,-0.0344289948,0.0034163964
train920,-0.0223452164,0.0059931629
train10116,0.0265249223,0.0945671723
train7875,-0.1125396089,6.2622245990942209e-08
train13023,-0.003862856,0.6778238796
train5665,0.0749781049,0.0010670842
train7444,-0.002811589,0.850456041
train13273,-0.5037840876,1.1341394157709824e-121
train1095,0.1910544204,7.6387922271320207e-13
train7880,-0.7401609874,7.1574439768693612e-165
train14911,-0.0383722273,0.1133923046
train2773,-0.3517573949,0
train9227,-0.3595851927,9.7042438824741785e-82
train13391,-0.1725453683,2.8262469409572755e-20
train484,-0.1530241274,3.8158594236683349e-21
train7896,0.0062355899,0.7377504869
train5793,0.1673289202,6.4010331162699567e-58
train15198,-0.4870418941,0
train1741,-0.0143062722,0.7606329956
train857,-0.0184605656,0.5087221611
train6622,0.0160872223,0.1125013523
train2587,0.18192274,2.0454779556453821e-33
train9181,0.5966375066,2.2835882344348119e-299
train11014,0.0597597277,0.0077811789
train3846,-0.122025894,8.2531998240365156e-18
train2684,-0.1528638009,2.868631777051714e-53
train11752,0.3674882999,7.2042909192319133e-37
train14639,-0.4692077638,1.3708125097586858e-249
train3921,-0.2717322425,4.2757361155331306e-113
train11131,-0.324614939,3.3180181396452773e-169
train6189,0.6177050805,0
train14226,-0.0255207869,0.1440235394
train6781,0.1807056875,1.2407558740842706e-20
train3272,-0.0004013134,0.9825940941
train14874,0.0600009344,3.2881676081777303e-09
train10329,-0.2065141542,4.1673179479519425e-104
train3985,0.040932717,6.9496393318097306e-08
train14214,-0.0356646591,0.0055659593
train4890,-0.5253036839,2.1897217470105728e-230
train11191,0.0104748646,0.5605000035
train7446,0.2930039992,1.2385620931477184e-172
train10005,-0.2534564544,1.8437007600555338e-123
train10183,0.0094171289,0.7139235457
train6063,-0.2694964006,2.0330554538307344e-274
train914,0.0690444313,5.2901281902541763e-05
train9950,-0.023656644,0.368776595
train9061,0.2559574464,1.6007077343779208e-252
train7081,-0.0886836347,1.38858578069402e-29
train1519,-0.0307249298,8.9247286209150829e-05
train13794,0.2096569358,7.1030355772940674e-71
train11701,-0.1363750647,4.5892322272082889e-31
train13524,-0.0061559645,0.5976723412
train3855,0.0375863057,0.1334325582
train16158,0.1025320874,0.0044796224
train9124,-0.0839644108,0.002840693
train15477,0.0070775742,0.3867230639
train15289,-0.0175387647,0.1289497578
train6106,0.173009127,1.8378736389334189e-46
train10642,0.1884921558,2.7325520386473671e-14
train93,0.2513097601,4.3797333397321316e-81
train9981,-0.0500279282,1.4583121532190165e-09
train3182,0.183826703,2.4978526663443602e-10
train11242,-0.1851333524,3.4414051958535614e-27
