SampleID,Moment 5 A,Moment 5 B,Moment 5 diff,Moment 5 ratio
train5982,-418.7254720335,-2.1213377076,-416.6041343259,197.3874647772
train5563,9.7720111036,40.6532559466,-30.8812448431,0.2403746238
train5575,29.045959098,-1.0094220141,30.0553811121,-28.7748421301
train10222,-0.9456469887,-6.3264033242,5.3807563356,0.1494762411
train14065,19.461385287,-0.7642895375,20.2256748245,-25.4633673914
train8743,5.3223262533,368.884027877,-363.5617016237,0.014428183
train9475,-28.9617493037,21.0170657209,-49.9788150245,-1.3780110739
train1393,-13.0750873169,-7.7852188704,-5.2898684465,1.6794758804
train10181,18.0335518524,5.8542299705,12.1793218819,3.0804310632
train15212,-1.8923484647,882.8940410195,-884.7863894841,-0.0021433472
train8073,24.8693191666,4.3010200983,20.5682990683,5.7821908753
train4250,-3.7121976872,2.4329376083,-6.1451352955,-1.5258088306
train3421,9.8548107205,-10.8903460594,20.7451567799,-0.9049125406
train10303,0.9625137567,-17.0298990214,17.9924127781,-0.0565190525
train5905,5.0404887306,-6.5305303745,11.571019105,-0.7718345129
train8434,-0.6002851439,14.7408240457,-15.3411091896,-0.0407226314
train3357,1.5578289729,-22923.000471486,22924.5583004588,-6.7959208691779072e-05
train12660,-28.9410062241,3.1367311803,-32.0777374044,-9.2264859691
train5133,162.129801999,-82215.8824580018,82378.0122600008,-0.001972001
train6817,-5.0949133819,-5.6541412968,0.5592279149,0.9010941033
train12522,2.7628043424,14.1480549889,-11.3852506465,0.1952780325
train8347,-5.0048378881,34.4808065646,-39.4856444528,-0.1451485156
train3610,-1.6822291014,0.1329980503,-1.8152271518,-12.648524524
train1527,12.7519727254,1.7407698761,11.0112028493,7.3254787438
train7077,22.0698024811,-23.8635098169,45.9333122981,-0.9248347226
train6140,10.2706660703,-28.1143288078,38.3849948781,-0.365317847
train5004,1.7253404498,-1.9801112396,3.7054516893,-0.8713351125
train3938,56.1014946584,100.8438958483,-44.7424011899,0.5563201837
train15252,2.5260561683,-3.2336230696,5.7596792379,-0.7811844838
train14349,2.5583504489,-155.4504058923,158.0087563412,-0.0164576634
train5434,-16.9693946421,2505.0144644321,-2521.9838590742,-0.0067741703
train10407,-8.560366681,-570.3634110016,561.8030443206,0.0150086182
train3739,-0.4397593482,0.8531714544,-1.2929308026,-0.5154407663
train7672,13.5515639296,-1.1925997485,14.7441636781,-11.3630444302
train4639,-8.4118032223,20.0305904737,-28.4423936959,-0.4199478409
train8891,-3.7124556613,35.3040500605,-39.0165057218,-0.1051566507
train1966,-8.2765508968,36.0274510013,-44.3040018981,-0.2297290168
train6465,-2.6527473171,1.6044402832,-4.2571876003,-1.6533786548
train10737,240999.386535653,68.17855814,240931.207977513,3534.8266832026
train1307,-7.7619407215,1.0390931712,-8.8010338927,-7.4699179407
train9873,-2.3599624287,6.141141492,-8.5011039207,-0.3842872586
train9270,7.2207657049,4.2590752462,2.9616904587,1.6953834548
train1599,-311.428064674,8.3835827606,-319.8116474345,-37.147371663
train4564,1.9880387637,335.4495681016,-333.4615293379,0.0059264908
train13538,-10.940881679,118.7763318758,-129.7172135548,-0.0921133151
train4498,-14.7825176582,-10.0422575224,-4.7402601358,1.4720313261
train9632,-17.8470019932,-2.2159229161,-15.6310790771,8.0539814196
train13052,55.6564074039,-0.6219733681,56.2783807719,-89.4835860526
train11361,-5.5799833067,-0.1498179353,-5.4301653714,37.2450954864
train9364,0.1746052153,-1.5898648413,1.7644700565,-0.1098239364
train13269,262.9646610788,-2.3553337572,265.3199948361,-111.6464536169
train685,17.0022811708,-6.1718028724,23.1740840432,-2.7548321815
train15302,-2.2647576544,-0.841565504,-1.4231921504,2.6911246286
train8538,7.3416545602,-20.3743129319,27.7159674921,-0.3603387552
train1032,4.9147911189,0.5108488548,4.4039422641,9.6208322142
train9871,1548.531091465,6.0391014746,1542.4919899905,256.4174650799
train10525,-1.0322084227,-47050.1198331153,47049.0876246926,2.1938486584000921e-05
train3932,-5.6854080963,9.5124291591,-15.1978372555,-0.5976820433
train4015,2.1131990651,0,2.1131990651,0
train3735,4.660857196,42.2007600179,-37.5399028218,0.1104448639
train9894,-3.6187092691,39161.3168013489,-39164.9355106179,-9.2405198921765636e-05
train1240,2.0238284847,-2.660958893,4.6847873777,-0.7605636036
train5243,24424.5274615724,-0.6014935353,24425.1289551076,-40606.4671187334
train9843,-1.3132589475,-2.498599259,1.1853403115,0.5255980697
train11617,-7.2732893378,14.3575932622,-21.6308826,-0.5065813751
train15077,18.7772575666,0.0941913298,18.6830662368,199.3522928457
train3940,69.9746060769,1.9405868527,68.0340192243,36.0584768368
train14563,-17.7190193651,694.3887278973,-712.1077472624,-0.0255174352
train3884,-7.8035697663,-16.5056594159,8.7020896496,0.4727814606
train865,0.1311356098,-46.5418595932,46.672995203,-0.0028175842
train722,4.9989498335,46.8753611439,-41.8764113104,0.1066434415
train15657,-2.2529023305,4.2024043683,-6.4553066988,-0.5360984172
train7229,7.6550826609,-1.1330165159,8.7880991768,-6.7563734097
train14838,23.5310674949,-18.9471011721,42.478168667,-1.2419349684
train1328,-0.9502141887,5.9059176817,-6.8561318704,-0.1608918783
train4050,-4.110280037,1.8550667155,-5.9653467525,-2.2157046982
train1516,3.2961169078,0.0912542364,3.2048626714,36.1201522019
train13215,-80.2370634073,-0.4778477456,-79.7592156617,167.9134497332
train14445,1.4740119745,1.4136687057,0.0603432688,1.0426855801
train2675,0.3451237995,0.1172332167,0.2278905827,2.9439079563
train8191,-361.503337718,-3481.8093319968,3120.3059942788,0.1038262878
train278,0.9031858908,-7.7281741907,8.6313600815,-0.116869246
train10662,533.9425309285,42.5653580405,491.377172888,12.5440629542
train6685,-0.9432581242,-0.2339159991,-0.7093421251,4.032465192
train13005,13.4781114645,-148.4143352524,161.892446717,-0.090814081
train12946,35.3313487298,-17.6353651576,52.9667138875,-2.0034373212
train6321,-2.9991954972,0.4258048699,-3.4250003671,-7.0435913469
train2879,-4.010540192,2.0853988415,-6.0959390335,-1.9231525942
train10158,-0.4603452108,20.3419977393,-20.8023429501,-0.0226302852
train13752,1.2602269056,-5.5747210994,6.834948005,-0.2260609783
train3681,-0.9163591175,9.1414233123,-10.0577824298,-0.100242499
train12550,5.3197431088,-951.9170168324,957.2367599412,-0.0055884526
train5565,3.3243705993,-0.7300755542,4.0544461535,-4.5534610496
train2061,-7.5095031645,23.6517809533,-31.1612841178,-0.3175026515
train14310,-0.9964423288,-0.7701279014,-0.2263144274,1.293866028
train7644,-8.6676413542,224.907335267,-233.5749766212,-0.0385387224
train4359,-78.5682882025,-1320.1281698581,1241.5598816556,0.0595156516
train9559,-3.9211935122,-0.4055927289,-3.5156007833,9.6678101778
train12092,-3.0715440028,-6.453291971,3.3817479682,0.4759654478
train1049,-0.3760764719,-10.3355011974,9.9594247255,0.0363868636
train6506,-110.7911385053,2.5370850807,-113.328223586,-43.6686728979
train763,0.2580759501,1.9550265014,-1.6969505513,0.1320063692
train1560,108.5444675262,38.6104943035,69.9339732227,2.811268529
train14925,-6.5865175277,4.4771760042,-11.0636935319,-1.4711321426
train4040,-14.4084709444,-71513.3139669859,71498.9054960415,0.0002014796
train13584,4.2778571095,-5.8114665722,10.0893236817,-0.736106292
train5363,-377.716592665,-19.5594143001,-358.1571783649,19.3112424978
train14600,-0.4261968934,-12.4455561999,12.0193593065,0.0342449053
train10703,162.8802479478,-324.5585949345,487.4388428823,-0.5018515932
train9092,2.3644227713,2.4744750473,-0.110052276,0.9555250007
train9244,-2.7362730127,7.2825040628,-10.0187770755,-0.3757324389
train10087,3.1555856867,518.0081417787,-514.8525560921,0.0060917685
train9142,2.2319126565,-4.249820447,6.4817331035,-0.5251781068
train6748,-96.3416490341,-311.4072751175,215.0656260834,0.3093750748
train738,6.8360185165,4.1347241165,2.7012944,1.6533191391
train9760,-9.7641890717,18.1326403534,-27.8968294251,-0.5384868878
train8070,11.5214267809,0.4316735777,11.0897532032,26.6901366593
train11614,-0.7156889328,-0.0134231967,-0.7022657361,53.3173244846
train15650,8.6524535154,-960.1198182773,968.7722717928,-0.0090118476
train3671,0.8910367731,10.8899222969,-9.9988855238,0.0818221424
train6406,117.6405432861,2.3868401609,115.2537031252,49.2871475909
train5095,1.4654349562,-45.3437327051,46.8091676613,-0.0323183573
train7251,-12.5798779928,9.760252891,-22.3401308838,-1.2888885292
train13153,4.8542229314,11.8860045747,-7.0317816433,0.4083982049
train16078,8.2542957933,3.1214796268,5.1328161665,2.6443535695
train4178,3.0089525754,31.8468646955,-28.8379121202,0.0944819091
train8565,-1.8261752884,569.7470820866,-571.573257375,-0.0032052385
train7712,18.7414758057,297.3728526876,-278.6313768819,0.0630234927
train10411,-14.8674486351,12.5137887842,-27.3812374193,-1.1880853107
train12485,-11.5399605833,19.9971045023,-31.5370650856,-0.5770815761
train8585,2.7950799101,14.065191108,-11.2701111979,0.1987232089
train8001,53.042329852,15.3947022394,37.6476276126,3.4454924186
train10568,5.6320524354,-1.6570643041,7.2891167395,-3.3988134446
train15809,-0.072971616,0.2870989864,-0.3600706024,-0.2541688388
train12317,44.4844232047,-5.7137990599,50.1982222646,-7.7854371038
train11955,-2.1186356061,1054.2670637169,-1056.385699323,-0.0020095815
train13043,3.8208486478,-1.5188468988,5.3396955466,-2.5156246168
train1983,0.8468836697,-62.7523514606,63.5992351303,-0.0134956484
train7623,-2.950109305,58.6365229969,-61.5866323019,-0.0503118049
train10952,4.8890021911,-9.9372851158,14.8262873069,-0.4919857017
train2287,-4.0396790003,0.2753350211,-4.3150140214,-14.6718676907
train1189,-0.5494329935,26.7823857166,-27.3318187101,-0.0205147144
train15944,-61.9451857857,20.9473525177,-82.8925383034,-2.9571844811
train7226,1.0993090695,0.648536099,0.4507729705,1.695062266
train9792,14233.0906971318,-114.0341246552,14347.1248217869,-124.8143109808
train1442,2.3372479758,-1.7044424793,4.0416904551,-1.3712683204
train2109,-0.3155475106,0.1243898697,-0.4399373803,-2.5367621279
train15769,12.4121467344,4.6058315493,7.8063151852,2.6948763978
train9282,18.4019593237,3.8234031681,14.5785561556,4.8129790437
train12266,-0.559051425,3.1861972674,-3.7452486925,-0.1754603931
train12170,26.1921272212,-16752.4559953299,16778.6481225511,-0.0015634798
train7843,-5.708453989,2.587155433,-8.295609422,-2.2064596182
train1744,-0.7732743911,-3.1018357131,2.3285613221,0.2492957276
train14510,0.4385600157,17.2023680868,-16.7638080711,0.0254941653
train3974,-35.6036796008,-30.592225869,-5.0114537318,1.163814616
train8272,-0.3022285723,-0.5133058281,0.2110772559,0.5887885072
train12716,1.0158715744,3.2120353697,-2.1961637952,0.3162703574
train6260,-66.3851042712,6.4279707918,-72.813075063,-10.327536702
train10561,-0.072184778,4.7585516709,-4.830736449,-0.015169485
train8856,-1.9535490523,20.6341914698,-22.5877405221,-0.094675338
train1548,0.7271780095,-0.658817078,1.3859950876,-1.1037631443
train2233,-0.1157846214,0.8026839195,-0.9184685409,-0.1442468431
train8288,0.5979303574,-106.9035277124,107.5014580698,-0.005593177
train4833,-9.0157954535,3.4994306627,-12.5152261162,-2.5763606491
train5435,-0.5426458093,-1.481601311,0.9389555017,0.3662562967
train9783,52.1856792773,2.3211439045,49.8645353728,22.4827418825
train1805,-0.3563486458,0.3478645655,-0.7042132113,-1.0243890326
train9975,-0.6995354834,-2.6164367604,1.916901277,0.2673618923
train8236,-0.4505751133,34.8729669593,-35.3235420726,-0.0129204697
train2258,6.7436082942,-24.9121169657,31.6557252599,-0.2706959149
train10730,3.2322960044,-0.5544908177,3.7867868222,-5.8293048345
train2788,-2.4572517761,-9.1725473383,6.7152955622,0.26789197
train13461,22.1329472179,36985.9194294137,-36963.7864821958,0.0005984155
train320,4.9471042346,18.7704610039,-13.8233567693,0.2635579506
train3953,34.7537018213,93.0409756411,-58.2872738198,0.3735311413
train1540,-0.5970931409,-34.9942813817,34.3971882407,0.0170625919
train16093,-0.9355278746,-0.1817149202,-0.7538129544,5.1483272447
train9057,18.7982433436,-19.8571016055,38.6553449491,-0.9466760919
train654,70.2509614102,-29.5922285364,99.8431899466,-2.3739665745
train9920,15.7597807552,-0.0210814688,15.7808622239,-747.5655959113
train3835,-0.7836223882,-1.9362282221,1.152605834,0.404715921
train5523,37.285437385,-4.2346338423,41.5200712273,-8.8048787153
train2278,-12.1598119459,-3.2365281431,-8.9232838028,3.7570542904
train7893,-13.6799589204,100.7926037039,-114.4725626243,-0.135723837
train4809,10.7080663065,6.7340021883,3.9740641183,1.5901489199
train497,-154.0645780864,1.4124140591,-155.4769921455,-109.0789043746
train5636,0.0566070277,49.2039162867,-49.147309259,0.0011504578
train384,130906.092089328,1.7055759408,130904.386513387,76751.8402206481
train8228,3.3781194782,0.8486048125,2.5295146657,3.9807922702
train1418,5.6588838285,31.4179262859,-25.7590424573,0.1801164016
train4202,-8.0391305076,-6.020304286,-2.0188262215,1.3353362431
train12366,6.0431370147,48.0357577473,-41.9926207327,0.125804969
train13745,-2.0534689499,-2.5167991681,0.4633302182,0.8159049701
train13069,371.2799216838,-48.391279432,419.6712011157,-7.6724551622
train8853,84.4421200629,-1.2811005934,85.7232206563,-65.9137311312
train3527,8.6137351039,2.2094001305,6.4043349733,3.8986759278
train13824,0.6923708452,45.7377660604,-45.0453952153,0.015137837
train2929,8.6470041157,1642.8586679049,-1634.2116637892,0.0052633889
train237,0.726181577,124300.365076384,-124299.638894807,5.8421516023239835e-06
train10339,0.2479817528,-9.4967427994,9.7447245522,-0.0261122953
train10863,-43.7780321205,1.1612961644,-44.939328285,-37.6975602453
train8527,5.4766771367,-51.9124601744,57.3891373111,-0.1054983162
train3238,3.1988428879,0.0871689083,3.1116739796,36.6970626348
train7863,0.2449837307,3.8675623905,-3.6225786599,0.0633431878
train4897,-3.4385619883,586.1176210263,-589.5561830146,-0.0058666757
train13277,114.5833292205,6.0504562473,108.5328729733,18.9379650951
train8018,-4.858455368,1433.9009245852,-1438.7593799533,-0.0033882783
train13309,5.6728864481,21.909877913,-16.2369914648,0.2589191264
train3299,-2.122965655,0.5994075902,-2.7223732452,-3.5417730602
train14455,-1.6066368131,7.4158601121,-9.0224969252,-0.2166487486
train2175,12.5085799457,11.5815125199,0.9270674258,1.0800471807
train12095,-1.2425936777,0.351009791,-1.5936034687,-3.54005418
train8247,-1.8730391398,-5.1540003021,3.2809611623,0.3634146352
train2068,13.2179002533,-78.3461162897,91.564016543,-0.1687116207
train10154,-176.9158095393,-1553.0014975424,1376.085688003,0.1139186342
train1041,-3.9568806331,2.9325985711,-6.8894792042,-1.3492745554
train16012,11.1145781523,5.5450269977,5.5695511546,2.0044227299
train15107,14.1095390191,3384.982642691,-3370.8731036719,0.0041682751
train1297,-3.7233634076,0.3789632701,-4.1023266777,-9.8251300347
train892,39.4263881181,-6.8975256825,46.3239138006,-5.7160190383
train8101,-4.6871117882,-2942.8259811938,2938.1388694056,0.0015927248
train11560,-133.7157443079,-2.0080141599,-131.707730148,66.5910365472
train12319,-1.8543054712,-43.4783769714,41.6240715002,0.042648912
train9164,301.0021663324,-2.7564210457,303.7585873782,-109.2003584864
train9146,19.4229979012,1542.4253869154,-1523.0023890142,0.012592504
train5029,1.0633912525,3068.4886572864,-3067.4252660339,0.0003465521
train2489,-3.373059491,-0.3151826299,-3.0578768611,10.7019206359
train6228,-1.1401564553,-0.1008625266,-1.0392939287,11.304063998
train14696,9.6790030745,16.3872194663,-6.7082163919,0.5906434032
train7564,2.8434336948,-2.9406852755,5.7841189703,-0.9669289395
train5351,2.5053422766,33.2603500526,-30.755007776,0.0753251927
train9012,39.4953413111,-18.0393769792,57.5347182903,-2.1893960837
train6818,-38.5203582942,4.516184189,-43.0365424832,-8.529403736
train15478,42.3301638819,-13.4876670538,55.8178309357,-3.138434817
train3999,16.7806646717,-2.8707721197,19.6514367914,-5.8453489069
train7493,2.5076410043,7.326311624,-4.8186706197,0.34227878
train9152,14.845178887,-8.3776882194,23.2228671064,-1.7719898972
train9334,46.7306578749,-8.2063975382,54.9370554131,-5.6944180022
train7484,10.2829981099,-17.6961349743,27.9791330843,-0.5810872332
train15375,6.4895997791,0.3481642638,6.1414355153,18.6394769768
train11047,-4.7344179747,0.1480330097,-4.8824509844,-31.9821773891
train10400,-2.1981906004,10.6419346149,-12.8401252153,-0.2065593034
train9365,-1.3533735449,87.9735220773,-89.3268956222,-0.0153838736
train14106,-0.7054132494,-1.9915053081,1.2860920587,0.3542110817
train4751,10.0121368373,597.9791606844,-587.967023847,0.0167432872
train13767,-2.6859523723,-1.2403828163,-1.4455695561,2.1654221077
train8159,-7.7467259082,-1.9875677793,-5.7591581288,3.8975908086
train10713,0.3307290273,9.5762481915,-9.2455191642,0.0345363884
train1893,-0.3702159626,32.1319934772,-32.5022094398,-0.0115217241
train1571,0.9152680998,56.6095277863,-55.6942596865,0.0161680928
train1641,8.3170344216,7.7713225041,0.5457119176,1.0702212419
train8688,-2.9892339672,-11.4147603725,8.4255264052,0.2618744389
train2965,-3.3084554187,0.9443503366,-4.2528057553,-3.5034195368
train6716,-7.6252883658,-0.7658387995,-6.8594495663,9.9567798998
train10679,-396.2446531509,0.4096487272,-396.6543018781,-967.2791025257
train7635,-3.2255843476,4.5464940995,-7.7720784471,-0.7094663002
train8422,0.4409181655,4.4951644114,-4.0542462459,0.0980872166
train5419,2.0873190161,-5.1587843483,7.2461033644,-0.4046145129
train2087,-2848.4077831621,29.5054529728,-2877.9132361348,-96.5383512597
train12479,0.3116096933,1.4900225566,-1.1784128633,0.2091308564
train12750,-1.9883928552,-1.1746873092,-0.813705546,1.6926996994
train1597,-2.725050223,0.3962308734,-3.1212810964,-6.8774303207
train2822,16.2770652314,4128.9971359023,-4112.7200706709,0.0039421353
train4462,20.4737973605,10.9556612845,9.518136076,1.8687869978
train14377,47.1896404874,1953.4253690858,-1906.2357285985,0.0241573808
train4645,1.5360513775,36.0521080622,-34.5160566847,0.0426064233
train12027,2724.3336833926,-0.1099727946,2724.4436561871,-24772.7967124975
train2920,9.4611038151,-2.0030318357,11.4641356509,-4.7233916338
train13879,36.9466285991,2.4735710623,34.4730575368,14.9365543455
train10656,-0.8016919605,-2.1198529308,1.3181609703,0.3781828205
train5291,-3.0946473611,9.6816619735,-12.7763093345,-0.3196400958
train10948,0.0570646272,-0.5586062293,0.6156708565,-0.102155372
train15525,5.9291012942,-23.7590756859,29.6881769801,-0.2495510083
train9901,2.5253657118,-6.1874578705,8.7128235823,-0.408142692
train8509,1.1444656627,-5.9039749566,7.0484406193,-0.1938466323
train968,140.8293189221,23.026358654,117.8029602682,6.1160047508
train14752,-39284.3941197062,-21.2598647186,-39263.1342549876,1847.8195717441
train7196,-0.0177024673,23.5860722983,-23.6037747656,-0.0007505475
train9822,588.3792685483,-33.8869912838,622.2662598321,-17.3629834416
train7978,3.7954298206,125.8421688133,-122.0467389927,0.0301602385
train817,-1.1299192713,72.4204109879,-73.5503302592,-0.0156022212
train15268,24.5694119202,-7.2412599285,31.8106718488,-3.3929747258
train4029,1.4968124992,145.9762091723,-144.4793966731,0.0102538113
train14435,-1.4760171039,-2.7195219907,1.2435048867,0.542748729
train12396,-5.8941406039,1.3937581796,-7.2878987835,-4.2289549868
