SampleID,Number of samples,Max A,Max B,Min A,Min B,Mean A,Mean B,Median A,Median B,Sd A,Sd B
train3814,3327.0,30269.0,23934.0,-27675.0,-11887.0,-0.00060114217012323412,0.023444544634806132,-1141.3149303149291,-1977.0611861861851,9998.504728544789,9998.4827176575363
train16035,6041.0,14.0,31229.0,1.0,-49024.0,8.2618771726535343,0.00049660652209899026,10.001949417772201,333.66071428571649,3.8245261861304316,9999.1751629280443
train300,7241.0,1.0,49070.0,0.0,-21759.0,0.27855268609308109,-0.0052478939373014778,0.0001932445462307636,-5037.7017329829814,0.44828683581321133,9999.3091778493417
train14485,7497.0,280884.0,15.0,-21130.0,1.0,0.0020008003201280513,6.2541016406562626,-1856.6414487882357,6.0043031312562549,9999.3243606154192,3.8866310017147763
train7386,1145.0,32716.0,44076.0,-33631.0,-11559.0,-0.010480349344978166,-0.0017467248908296944,-101.71385671385724,-1598.9341649341652,9995.6247254632235,9995.6284654448227
train4049,3980.0,7.0,66065.0,1.0,-63848.0,3.9987437185929648,-0.0025125628140703518,4.0000308000308005,-175.67505005003659,2.3440823449374371,9998.738004111714
train4711,1503.0,16338.0,47044.0,-272411.0,-6751.0,0.0059880239520958087,0.011976047904191617,740.57234440325772,-4796.7355271938604,9996.6722915921528,9996.6664137475054
train8298,3070.0,74516.0,25537.0,-10499.0,-375012.0,-0.0035830618892508143,-0.0048859934853420191,-3428.1828593299178,2580.0185392646772,9998.3731745279856,9998.3798655811261
train14737,4384.0,94661.0,36637.0,-40839.0,-35057.0,0.0,0.0047901459854014601,-14.861345216185001,-64.012612612616792,9998.853045652706,9998.8619888379926
train9,7503.0,31998.0,75269.0,-24087.0,-70800.0,0.18352658936425431,0.0013328002132480341,-67.320574256741565,-632.36261261260938,9999.2022469235271,9999.3311152545175
train15701,3114.0,28777.0,52255.0,-36830.0,-17151.0,-0.01348747591522158,-0.016056518946692359,1855.8951093951098,-2776.5241241241265,9998.3866900515441,9998.3889122428955
train6331,529.0,56526.0,5268.0,-20387.0,-103079.0,-0.02835538752362949,-0.013232514177693762,-860.41378878878822,3380.8750750750814,9990.5469087561924,9990.52940716175
train15404,688.0,46091.0,17107.0,-16453.0,-49869.0,0.017441860465116279,0.0014534883720930232,-1615.2342342342326,1720.6216216216199,9992.7505156929547,9992.7258596492356
train11989,2962.0,30633.0,4.0,-23948.0,1.0,-0.0030384875084402429,2.5286968264686025,3418.9898898898923,2.998799922116631,9998.3160972676797,0.5931356067471425
train12562,661.0,40160.0,17474.0,-23221.0,-57955.0,-0.0060514372163388806,-0.0060514372163388806,-1448.7700000000027,919.63738738739085,9992.4590388416527,9992.426675200948
train3363,1001.0,34202.0,46305.0,-59449.0,-32894.0,0.002997002997002997,-0.006993006993006993,-446.05765765766193,52.396640311202994,9995.0168303786031,9994.7615046791379
train964,543.0,1.0,119602.0,0.0,-11254.0,0.10128913443830571,-0.068139963167587483,5.6408867884277661e-05,-2854.8941507879567,0.3017111958198499,9990.8119947258347
train12729,2423.0,6.0,90968.0,1.0,-32403.0,5.057779612051176,-0.0074288072637226582,5.9983465302176748,-254.73677248677348,1.3906578897069586,9997.9304811881921
train13911,1572.0,30069.0,25933.0,-30374.0,-42449.0,0.0,-0.0038167938931297708,44.136386386386221,803.12837837837924,9996.8168094590455,9996.8152254934303
train12005,3032.0,34986.0,6.0,-32966.0,1.0,0.0019788918205804751,2.5590369393139842,-24.876018876021718,3.0004182926888241,9998.3537798011766,1.5823307418084289
train2475,7114.0,34650.0,161681.0,-41339.0,-19780.0,-0.0047793084059600784,0.0043576047230812478,201.70579199889497,555.18681584811191,9999.2965363606818,9999.2991288608537
train11697,3691.0,7.0,37056.0,1.0,-16246.0,4.3313465185586564,0.0094825250609590905,4.0047368198741271,-1106.4179179179177,1.1825704325351991,9998.6386049821485
train7439,745.0,24999.0,32224.0,-18167.0,-13527.0,0.0067114093959731542,-0.0093959731543624154,-2363.2317317317311,-1986.2072072072078,9993.2730033467105,9993.2947611788331
train13217,857.0,38419.0,1.0,-23239.0,0.0,-0.061843640606767794,0.56709451575262548,-2086.312850586432,0.99961793068788951,9994.1908306310124,0.49547787635364732
train10542,7348.0,27039.0,19585.0,-34382.0,-25008.0,0.097713663581927054,-0.0006804572672836146,2438.1465883605088,-1123.1440607273905,9999.2728787354627,9999.310842032859
train2550,158.0,65034.0,19098.0,-14334.0,-27368.0,-0.10759493670886076,-0.088607594936708861,-1880.6126126126128,2210.6356356356364,9968.4014649744331,9968.2466294512597
train5220,4708.0,122574.0,50986.0,-4650.0,-26255.0,-0.0014868309260832626,-0.00021240441801189465,-3491.9809878844362,-2096.2471221221253,9998.940793404814,9998.9316884431664
train14817,583.0,24249.0,15971.0,-7713.0,-14391.0,0.022298456260720412,0.084048027444253853,-6593.2102102102108,791.34649839713131,9991.4168412300096,9991.4651233928507
train15126,783.0,44075.0,8014.0,-28449.0,-52560.0,0.0089399744572158362,0.002554278416347382,-481.16116116116063,4072.7487487487488,9993.6065715891837,9993.6183393266674
train11504,5711.0,22606.0,44903.0,-20623.0,-15881.0,0.0063036245841358784,0.0040273157065312554,4318.0559309309319,-1185.4488488488475,9999.1381055969905,9999.1313324591301
train6498,7304.0,31557.0,19729.0,-44969.0,-57633.0,0.0036966046002190581,0.00054764512595837896,201.00133466799767,4848.0649599442722,9999.3087346159391,9999.312256087549
train13447,2650.0,44674.0,61273.0,-58875.0,-32756.0,-0.0098113207547169817,-0.028679245283018868,-2052.615815815815,-4398.7946279612961,9998.1111028438427,9998.1311500081047
train1982,592.0,23800.0,1.0,-18289.0,0.0,-0.0016891891891891893,0.46790540540540543,-3116.5264014014006,0.0004401226623448846,9991.5854982369146,0.498968873776519
train2307,2136.0,37605.0,36729.0,-67611.0,-52668.0,0.014981273408239701,-0.0028089887640449437,637.21621621622035,166.31306306306638,9997.6593039484978,9997.6539303218015
train2651,585.0,28736.0,45025.0,-29929.0,-21973.0,-0.0034188034188034188,0.0068376068376068376,-97.348348348348736,-1199.5960960960947,9991.4467249797126,9991.4602822056731
train15951,2229.0,32503.0,39094.0,-39244.0,-46866.0,-0.067743382682817405,0.0022431583669807087,-90.647942679517641,480.83683683683194,9997.7089143694102,9997.7700326765244
train12578,1473.0,22554.0,63717.0,-30282.0,-35404.0,-0.0088255261371350986,0.0033944331296673455,1590.1666666666697,-169.79735290846696,9996.5937992138188,9996.6058913123379
train1556,3100.0,54811.0,4.0,-29919.0,1.0,0.04774193548387097,2.4051612903225807,4.4632698997341009,2.0009336259336261,9998.4801349671834,0.56657357787556906
train15226,1132.0,1.0,15.0,0.0,1.0,0.50441696113074208,8.2067137809187276,0.99950826483225774,8.010192010192009,0.49998049007373341,4.5325315057858067
train11044,726.0,5.0,25923.0,1.0,-36303.0,2.8774104683195594,0.0041322314049586778,3.0014626871769727,2596.0360360360428,0.70426634909594377,9993.1071727239923
train8323,739.0,32397.0,56925.0,-23807.0,-14641.0,-0.010825439783491205,-0.0067658998646820028,1861.7437437437466,-2811.8350850850857,9993.219973816198,9993.2290177688847
train8839,548.0,10198.0,6874.0,-44320.0,-76267.0,-0.0036496350364963502,-0.01824817518248175,2530.5535535535601,3586.6431431431265,9990.8698263388433,9990.8653642186764
train2431,2396.0,9443.0,26155.0,-38417.0,-24998.0,-0.0091819699499165273,0.0062604340567612689,3698.8418418418487,-4060.6009009008994,9997.908360254607,9997.9196251067278
train7201,6131.0,44521.0,40238.0,-32947.0,-48025.0,-0.0037514271733811778,-0.0026096884684390803,-1345.7541615689772,-891.32108108108037,9999.1838351565948,9999.1796150024638
train12016,1079.0,4.0,29576.0,1.0,-25456.0,2.5430954587581094,-0.0055607043558850789,3.000938438438439,-1090.2927927927931,1.4769611806556742,9995.3624022973345
train10275,4282.0,7020.0,18780.0,-123523.0,-216070.0,0.0072396076599719758,0.0014012143858010276,2585.0630020264157,1639.0547443995763,9998.8340972691112,9998.8348995720826
train4536,1229.0,55950.0,53799.0,-117800.0,-51887.0,-0.013832384052074858,-0.0032546786004882017,-375.26276276275746,43.545795795798767,9995.9276624536633,9995.9194416583305
train9045,2309.0,17227.0,26564.0,-143379.0,-34391.0,-0.0043308791684711998,0.0012992637505413599,73.88497192843289,550.838505171836,9997.838982783398,9997.8277252347107
train9397,2857.0,77472.0,46907.0,-45444.0,-81114.0,-0.0017500875043752187,-0.0084004200210010503,456.79915209327612,402.34824297983101,9998.2518933558058,9998.2546053592432
train4767,2222.0,31693.0,37078.0,-36760.0,-34280.0,0.0072007200720072004,0.0058505850585058505,321.56339673006488,-284.69369369369605,9997.7463957007494,9997.7594287157735
train6679,574.0,28516.0,48139.0,-27853.0,-28270.0,-0.013937282229965157,0.0017421602787456446,162.22372372372411,-1002.9244244244255,9991.2801128027932,9991.285703835938
train12723,3150.0,50431.0,1.0,-17948.0,0.0,-0.022857142857142857,0.90857142857142859,-633.42838992838927,0.99994963516976088,9998.4013104691767,0.28821760486670084
train999,1180.0,30020.0,12.0,-33326.0,1.0,-0.1271186440677966,7.7915254237288138,39.389110629615764,7.0039609501975093,9995.866391127096,2.2045244796910541
train2792,992.0,61308.0,127594.0,-24328.0,-8166.0,0.011088709677419355,-0.0010080645161290322,-1963.2028028028028,-2866.060060060061,9994.9610407710097,9994.9551997272702
train14043,1712.0,30363.0,42039.0,-65517.0,-24304.0,0.0035046728971962616,0.0040887850467289715,130.56756756755931,-584.77260593927474,9997.0713373260387,9997.0952696858294
train6055,678.0,19464.0,21782.0,-32919.0,-15726.0,0.014749262536873156,0.0,980.50900900900888,-313.55355355355459,9992.6234145392082,9992.6157318888108
train15158,912.0,90087.0,27183.0,-32298.0,-31890.0,0.010964912280701754,0.29495614035087719,-58.107607607607264,7473.9435810810828,9994.5234593603491,9994.4538059370698
train9000,819.0,8360.0,21793.0,-22278.0,-24800.0,0.01221001221001221,0.009768009768009768,5331.4689689689667,385.4054054054086,9993.9026337727973,9993.8949979812041
train3962,4179.0,6164.0,1.0,-73488.0,0.0,-0.012203876525484566,0.62814070351758799,3975.235364396664,0.99970370370370365,9998.7989296707074,0.48330110707716661
train8046,521.0,54958.0,31496.0,-10501.0,-27436.0,0.0095969289827255271,-0.0057581573896353169,-4027.1769769769758,31.680180180183015,9990.4257801468048,9990.3817484525243
train14668,570.0,83230.0,20625.0,-27316.0,-92377.0,-0.015789473684210527,-0.015789473684210527,-186.6763430096762,1263.4627961294657,9991.199326078673,9991.2008370574404
train13332,831.0,34364.0,43332.0,-29160.0,-17137.0,-0.050541516245487361,-0.0012033694344163659,141.08931277646565,-2960.9841841841831,9994.0328254101241,9993.9811563655257
train14961,639.0,33339.0,1.0,-40249.0,0.0,-0.012519561815336464,0.62754303599374017,-92.585346215779253,0.99970294484010191,9992.2650454487703,0.48345917508047964
train8467,2397.0,31534.0,43739.0,-32008.0,-8557.0,-0.0016687526074259491,0.0091781393408427205,-101.83808808808772,-3755.228774228774,9997.9162662150175,9997.9151056019073
train8955,1267.0,55540.0,8993.0,-35343.0,-34775.0,0.018153117600631413,0.0047355958958168907,-1277.7954454454491,3954.6416416416469,9996.0619901359751,9996.0628194044566
train15430,1145.0,33315.0,1.0,-9609.0,0.0,-0.0026200873362445414,0.48384279475982533,-7503.6186186186187,0.00046916628980926787,9995.6293605520623,0.4997388765333598
train5656,5220.0,82807.0,226491.0,-74069.0,-50174.0,0.0034482758620689655,0.0034482758620689655,-134.70738738738817,-436.29238854238963,9999.0400607260017,9999.040953072159
train7070,860.0,39507.0,10950.0,-29839.0,-21701.0,-0.010465116279069767,-0.018604651162790697,-684.52552552552879,5426.4574574574599,9994.177522432281,9994.1903025860447
train6590,842.0,27552.0,59506.0,-36475.0,-13021.0,0.0023752969121140144,0.015439429928741092,751.2420754087434,-2312.5590590590582,9994.0516962044803,9994.0710589386708
train14132,1853.0,8.0,31374.0,1.0,-46174.0,4.956826767404209,-0.0026983270372369131,5.003043796147244,401.37537537537355,2.4362953196858785,9997.2934520511935
train6790,1105.0,68517.0,65093.0,-18691.0,-18740.0,0.01085972850678733,-0.0054298642533936649,-1546.2040040040042,-1884.6878306878316,9995.46748077138,9995.4644907323327
train8715,4963.0,301706.0,146669.0,-12680.0,-34323.0,-0.004432802740278058,0.0,-1434.0181859278632,-335.41597152708243,9998.9990656016835,9998.9877308328541
train15965,764.0,59725.0,33496.0,-24963.0,-19825.0,-0.0039267015706806281,0.022251308900523559,-2371.0560560560552,-3828.7000000000021,9993.4528035033272,9993.4506211602238
train13760,1495.0,48790.0,30529.0,-30145.0,-38846.0,0.0060200668896321068,-0.00066889632107023408,-1673.6169502836176,-81.309829059825248,9996.6553819790443,9996.6223668706571
train5224,667.0,33110.0,19610.0,-39137.0,-72300.0,-0.017991004497751123,-0.014992503748125937,466.86724224224508,870.34221721722315,9992.495566466534,9992.4784710190015
train13158,569.0,34960.0,81925.0,-7672.0,-8174.0,0.15114235500878734,0.077328646748681895,842.27713063381987,-4885.0228150228149,9991.1170955617399,9991.1347672714837
train13648,6433.0,385.0,69865.0,-286470.0,-314498.0,-0.34851546712264886,-0.00062179387533032801,384.61959036660926,299.45030261025005,9999.2075510561335,9999.2257600322155
train15546,1550.0,38828.0,30216.0,-14671.0,-30380.0,-0.0051612903225806452,-0.0051612903225806452,-2715.3926426426406,-513.33622511400165,9996.7739491123211,9996.7722454012692
train7323,1515.0,50540.0,33388.0,-3388.0,-90935.0,-0.077227722772277227,-0.00066006600660066007,-3371.3502745007549,528.68856356355843,9996.7266428693947,9996.7095481182405
train844,2406.0,12.0,25786.0,1.0,-47722.0,7.7327514546965919,0.0016625103906899418,8.0049787690916716,952.21621621621307,2.8676223917704142,9997.9230469482391
train1685,1784.0,39955.0,19274.0,-25069.0,-32379.0,-0.002242152466367713,-0.0011210762331838565,-1213.848848848851,2731.3669780892023,9997.1969476154754,9997.2001379712929
train890,530.0,30258.0,20378.0,-25297.0,-31773.0,-0.011320754716981131,-0.0075471698113207548,-49.782782782785944,-98.706456456456181,9990.5693100791032,9990.5492936385745
train2265,2155.0,9.0,31941.0,1.0,-33045.0,5.3461716937354993,0.0055684454756380506,5.9948776034354481,-645.23983983984238,2.3310429953476466,9997.6830499150274
train6316,2307.0,36418.0,41337.0,-21838.0,-18740.0,-0.0013003901170351106,-0.0017338534893801473,-389.99519519519924,-4679.464035795052,9997.8301758414382,9997.8285171588323
train10261,1352.0,24954.0,32042.0,-43357.0,-34655.0,0.0081360946745562129,-0.00073964497041420117,205.54890604890741,295.8303303303328,9996.2935225284091,9996.2988239035021
train11931,960.0,41061.0,28378.0,-37191.0,-32433.0,0.0093749999999999997,-0.022916666666666665,1375.4976404976446,-1994.7777965759196,9994.7962221241651,9994.7466351858438
train14160,1224.0,53228.0,7.0,-71599.0,1.0,0.013888888888888888,3.392156862745098,2283.3041613041673,3.0002279937204017,9995.9138560522733,2.0539625153857495
train9217,994.0,8072.0,28132.0,-51152.0,-27953.0,0.013078470824949699,-0.018108651911468814,3892.5285285285354,1773.7342342342381,9994.9851421993972,9994.9662186495534
train4603,660.0,132271.0,28075.0,-25794.0,-17836.0,0.007575757575757576,-0.010606060606060607,-346.4315982649253,-1980.8498498498502,9992.417198310628,9992.4258215096288
train1290,3824.0,73165.0,155291.0,-24324.0,-106263.0,0.0020920502092050207,-0.0091527196652719661,-2703.9240907574267,-2950.847833749247,9998.6899948164937,9998.6984967987119
train599,999.0,72788.0,7799.0,-74308.0,-117885.0,-0.004004004004004004,0.0070070070070070069,1029.005405405406,2810.6410410410331,9994.9970639461517,9994.9852333440576
train6840,1466.0,5117.0,76769.0,-56862.0,-12666.0,-0.012960436562073669,0.0027285129604365621,4090.0575048732971,-2961.1152342819014,9996.5883262353364,9996.5913133807499
train13495,1455.0,59835.0,1.0,-34108.0,0.0,-0.0054982817869415812,0.54501718213058414,189.56673881673871,0.99958217991004872,9996.536884601217,0.49796932969111823
train9777,4593.0,1217.0,32678.0,-492992.0,-45508.0,-0.0019595035924232528,0.0047898976703679508,1098.4623009482902,380.94694694694653,9998.9152722915005,9998.9091075986489
train11682,1663.0,12552.0,126592.0,-26341.0,-319150.0,-0.0012026458208057728,-0.0060132291040288638,1835.9857357357359,250.29197618670267,9996.9938375058609,9996.9888963301946
train1108,2120.0,1.0,34942.0,0.0,-18735.0,0.84858490566037736,-0.0014150943396226414,0.99991069446322356,-1962.0568902235548,0.35845301441855498,9997.6336441452604
train10607,758.0,25328.0,8.0,-39650.0,1.0,0.0,3.895778364116095,871.8158158158185,4.0019075679453033,9993.4035627412759,2.2036089644099728
train2881,1488.0,43690.0,20547.0,-34001.0,-12589.0,-0.014112903225806451,-0.0094086021505376347,-257.1312312312337,-2887.0180180180196,9996.6362204289126,9996.641542687028
train3556,4627.0,35187.0,1.0,-37003.0,0.0,0.0092932785822347087,0.23254808731359411,112.70445445445239,0.00015165827613025586,9998.9170800782886,0.4224564763385617
train10942,1609.0,84059.0,35250.0,-99561.0,-32353.0,0.0055935363579863269,0.0031075201988812928,35.133355577804551,217.73967717718165,9996.8888228327378,9996.8814024988314
train5179,3475.0,41548.0,29455.0,-16816.0,-49830.0,0.0048920863309352518,-0.0025899280575539568,-1284.6237006237025,617.95820820820768,9998.5563825742192,9998.564690850164
train1698,5974.0,28241.0,27960.0,-71033.0,-86014.0,0.0038500167392032138,-0.0097087378640776691,974.69999411175809,1372.2896532896464,9999.1618144948825,9999.1636512449713
train5550,1901.0,1587.0,35604.0,-222530.0,-41502.0,0.0021041557075223566,-0.0057864281956864806,1494.7253735038785,340.9331831831787,9997.3787536651689,9997.3630223052296
train13953,2670.0,34201.0,95848.0,-51701.0,-24357.0,0.010486891385767791,0.0018726591760299626,436.38338338338752,-1270.9455364455375,9998.123181812236,9998.1295735207641
train6301,1454.0,66408.0,64311.0,-32496.0,-22946.0,0.0041265474552957355,0.0048143053645116922,-114.94637494637105,-1367.0944833722638,9996.5600187795244,9996.5618962130447
train1364,4151.0,1.0,9.0,0.0,1.0,0.92435557696940496,6.5220428812334381,0.99995904165828586,6.9972317165835962,0.26442833489428103,1.2843903825824912
train7477,1320.0,77454.0,118009.0,-6036.0,-7000.0,0.00075757575757575758,0.0083333333333333332,-4049.2282282282285,-3199.7307524916223,9996.2086195671418,9996.2085543116864
train10881,797.0,1.0,32334.0,0.0,-52888.0,0.16813048933500627,-0.015056461731493099,0.00010115696390206193,791.62312312312315,0.37398212242162027,9993.7106774167623
train11757,992.0,44066.0,1.0,-48348.0,0.0,-0.012096774193548387,0.35080645161290325,1226.2368368368334,0.00027045679219592266,9994.9476090430271,0.4772224692108149
train12656,1233.0,13372.0,4.0,-35858.0,1.0,-0.017031630170316302,2.6334144363341445,1970.0067567567521,2.0010060060060062,9995.933470435406,0.88892588766304603
train15051,2359.0,1.0,26982.0,0.0,-31623.0,0.37176769817719374,-0.25731242051716829,0.00029618012074152426,-2696.9641708423405,0.48327681174377074,9997.8470920477484
train13937,1357.0,6355.0,53840.0,-50248.0,-32328.0,0.015475313190862197,-0.016949152542372881,4874.7663913913975,327.86066066065723,9996.3163160215936,9996.3258885165069
train4103,2435.0,67212.0,41265.0,-37077.0,-71625.0,-0.0012320328542094457,0.0057494866529774124,-909.43434343434069,402.30694980694381,9997.9406599681715,9997.9478751459555
train4091,1159.0,50580.0,41324.0,-16451.0,-24340.0,-0.00086281276962899055,0.0060396893874029335,-2802.1285452118796,-2139.7837837837769,9995.6874251754798,9995.6759919362266
train5982,5679.0,9335.0,43611.0,-127283.0,-50873.0,0.015495685860186653,-0.0056347948582496921,2694.6675390560781,126.13403403403227,9999.1172572227715,9999.1216563703329
train5563,627.0,40474.0,64675.0,-40193.0,-7387.0,-0.014354066985645933,0.0079744816586921844,-2529.2224099099144,-3996.695695695696,9992.0024138024273,9992.0329962756095
train5575,1617.0,76997.0,13720.0,-17696.0,-17101.0,-0.0024737167594310453,0.0030921459492888066,-1013.3493493493497,1556.6574074074078,9996.9138085574523,9996.9099472844791
train10222,1696.0,27257.0,27477.0,-30529.0,-53465.0,0.0082547169811320754,-0.00058962264150943394,-132.06006006005919,528.74254254254481,9997.0659341231403,9997.0487316292747
train14065,1309.0,44763.0,35521.0,-12299.0,-27153.0,0.012223071046600458,-0.016042780748663103,-3819.9840952063164,550.49733066400074,9996.1810120883529,9996.1831990523679
train8743,921.0,44599.0,130022.0,-25984.0,-61582.0,0.0032573289902280132,-0.0065146579804560263,-689.99199199198665,2470.1239639639666,9994.5754020304958,9994.5645467859504
train9475,3696.0,8464.0,57606.0,-44362.0,-15988.0,-0.006222943722943723,-0.00081168831168831174,3491.6227560894245,-3656.8509620731857,9998.6482088340144,9998.6414393038158
train1393,763.0,15202.0,25944.0,-44724.0,-35132.0,0.011795543905635648,0.011795543905635648,1699.5294669669647,1389.7972972972984,9993.4667021636105,9993.4443197566216
train10181,962.0,46736.0,35648.0,-18749.0,-18402.0,-0.0051975051975051978,-0.050935550935550938,-2820.2162162162149,-1547.025740025739,9994.7973368941439,9994.7872990019841
train15212,851.0,42346.0,121834.0,-39526.0,-18366.0,-0.0035252643948296123,0.015276145710928319,303.62162162161985,-975.4928261594938,9994.12614757146,9994.1125430853517
train8073,1641.0,51629.0,34056.0,-30785.0,-22106.0,0.010359536867763558,-0.0042656916514320535,-1008.9207957957992,-1313.290433290435,9996.9503057428901,9996.9553186094236
train4250,6632.0,28275.0,50487.0,-36309.0,-34467.0,0.0027141133896260556,0.0013570566948130278,1087.3046683046721,-323.82582582582836,9999.2423246283633,9999.2447643412506
train3421,562.0,1.0,32371.0,0.0,-55931.0,0.16192170818505339,-0.0088967971530249119,9.669967207122192e-05,417.87387387386843,0.3683789741604272,9991.1103074722123
train10303,621.0,41411.0,18635.0,-32987.0,-48997.0,0.004830917874396135,0.01932367149758454,-219.11211211211412,2598.6336336336344,9991.9493729761507,9991.9337370896337
train5905,5993.0,49185.0,34195.0,-21986.0,-60710.0,0.0031703654263307191,0.0075087602202569661,-4196.2184267600924,-56.351351351351354,9999.1662146889739,9999.1651496052946
train8434,1564.0,34992.0,42240.0,-35808.0,-20194.0,-0.0057544757033248083,0.0051150895140664966,277.08508508508868,-3549.0997664331007,9996.7964313890043,9996.8001219891248
train3357,2141.0,1.0,4030.0,0.0,-343347.0,0.34656702475478746,-0.066791219056515652,0.00026545487589090162,1595.5938572672155,0.47587637271395661,9997.6231960886889
train12660,1321.0,3.0,28821.0,1.0,-12854.0,2.8251324753974263,0.0,2.9998107918899999,-2508.254254254256,0.41962241220438429,9996.2221449068202
train5133,4243.0,146606.0,19414.0,-67125.0,-510987.0,0.0032995522036295072,-0.0016497761018147536,-232.6443674443716,981.3814444525774,9998.8234801413619,9998.8126651114908
train6817,2327.0,25628.0,40107.0,-57359.0,-64370.0,-0.0034379028792436614,-0.006016330038676407,35.495912579247189,-124.72996072995878,9997.8470920132731,9997.8492718536963
train12522,1107.0,35885.0,70178.0,-24398.0,-33597.0,0.0018066847335140017,-0.0036133694670280035,-577.46521521521845,-1628.2750250250283,9995.4862441728892,9995.484622482727
train8347,816.0,10672.0,65149.0,-26404.0,-20537.0,0.0036764705882352941,0.017156862745098041,2711.2372372372338,-1232.2247962247966,9993.8685905721049,9993.8701939307339
train3610,1570.0,49526.0,32382.0,-57991.0,-30902.0,-0.0044585987261146496,-0.001910828025477707,36.610110110110924,-29.217789217790212,9996.8185464325888,9996.8104337854074
train1527,4127.0,69337.0,20.0,-35866.0,1.0,0.0038769081657378242,8.3147564817058388,-757.12573443008,6.0046513302970865,9998.780671990251,6.4368496955398751
train7077,826.0,67074.0,32823.0,-38472.0,-61825.0,0.0048426150121065378,0.0024213075060532689,-1018.4894894894896,215.70603937271031,9993.9548353888658,9993.9542323617461
train6140,5041.0,53938.0,31854.0,-43514.0,-61242.0,0.0059512001586986708,0.00039674667724657806,-2102.5343274308834,1200.7689625109015,9999.0110928986287,9999.0107838835174
train5004,671.0,45717.0,30315.0,-38104.0,-32455.0,-0.0014903129657228018,-0.014903129657228018,261.51776776776751,972.06706706706427,9992.5531852951117,9992.5447467312406
train3938,512.0,57037.0,85237.0,-19358.0,-39762.0,-0.00390625,-0.01171875,-3046.6351351351377,-860.90980980981112,9990.2387581727617,9990.2462009758638
train15252,1615.0,20134.0,10052.0,-9943.0,-19528.0,0.014241486068111455,-0.31578947368421051,-4172.4711378044713,5126.5392090203404,9996.9020675919037,9996.8329145449297
train14349,780.0,36794.0,5366.0,-29222.0,-87648.0,-0.0012820512820512821,0.0051282051282051282,52.362362362360727,4273.3607136548426,9993.5582272935244,9993.602626243237
train5434,2127.0,12626.0,216880.0,-60570.0,-6119.0,0.0037611659614480487,0.0023507287259050304,2096.1593021592962,-2625.9210069444439,9997.6447924187869,9997.643315366955
train10407,691.0,1.0,10399.0,0.0,-131179.0,0.82633863965267729,0.0086830680173661367,0.9998948160069,4531.8036036036092,0.37881801999065573,9992.7551786634904
train3739,1345.0,34636.0,1.0,-34985.0,0.0,0.0014869888475836431,0.4029739776951673,318.31274131274353,0.00033782225563047479,9996.2867552745811,0.49049561771304534
train7672,1167.0,41339.0,30911.0,-15826.0,-43861.0,0.011996572407883462,0.0,-3902.3194444444439,-599.52252252252219,9995.6984258012053,9995.7151797878523
train4639,4713.0,25942.0,35509.0,-52492.0,-10806.0,0.0046679397411415234,-0.00084871631657118605,1041.2659534534494,-504.50550550550599,9998.9380161524587,9998.9389165885623
