SampleID,Target [1 for A->B; -1 otherwise],Details [1 for A->B; 2 for A<-B; 3 for A-B; 4 for A|B]
train4683,0,3
train92,0,3
train2760,1,1
train761,0,4
train7615,0,3
train3692,0,3
train2510,1,1
train7779,1,1
train5844,-1,2
train7580,-1,2
train1506,-1,2
train611,0,3
train2250,-1,2
train3992,0,3
train2741,-1,2
train686,0,4
train3263,1,1
train957,0,4
train2205,0,4
train3123,0,4
train1702,0,4
train2384,0,4
train3831,0,4
train4131,1,1
train4057,0,4
train3990,0,4
train3971,-1,2
train6473,0,4
train1232,1,1
train1662,1,1
train7173,1,1
train288,0,3
train6986,0,4
train5756,-1,2
train5698,-1,2
train193,-1,2
train4589,0,3
train1318,0,3
train5435,-1,2
train7160,0,3
train5306,0,4
train7260,1,1
train266,0,3
train2145,0,4
train2657,-1,2
train1964,0,3
train4596,0,4
train6388,1,1
train5491,0,4
train1390,0,3
train1139,0,4
train4608,-1,2
train4302,1,1
train330,-1,2
train2928,-1,2
train2289,-1,2
train3605,1,1
train3994,0,3
train7601,0,3
train5620,-1,2
train1253,-1,2
train7483,0,4
train4713,0,4
train1222,0,3
train4635,0,4
train764,0,4
train4903,0,3
train1798,-1,2
train7416,-1,2
train6816,0,4
train366,0,3
train1281,1,1
train5400,1,1
train3430,0,4
train7768,0,3
train6518,0,4
train187,0,3
train2277,0,3
train115,0,3
train6193,0,3
train4106,1,1
train722,1,1
train1075,1,1
train2286,1,1
train1618,0,4
train804,1,1
train4638,0,4
train1032,1,1
train6237,-1,2
train7350,-1,2
train1538,0,4
train6463,0,4
train7074,0,4
train1259,0,3
train7358,1,1
train1149,0,3
train2977,0,3
train7752,-1,2
train5035,0,3
train6143,0,4
train3224,1,1
train3323,-1,2
train3698,0,3
train3347,-1,2
train7586,0,3
train1911,0,3
train929,-1,2
train5065,-1,2
train1575,0,3
train5967,0,3
train1103,0,3
train4370,0,4
train4324,0,3
train2274,0,3
train6475,-1,2
train5916,0,3
train490,0,4
train5951,0,3
train712,0,4
train661,1,1
train2329,0,3
train3143,-1,2
train967,0,4
train1724,1,1
train932,1,1
train2265,1,1
train6876,1,1
train3968,0,3
train3514,0,4
train5864,1,1
train1912,0,3
train6350,-1,2
train6045,-1,2
train1773,0,3
train7740,1,1
train5574,0,3
train5991,1,1
train5169,0,4
train5154,1,1
train7370,0,4
train3497,-1,2
train4421,-1,2
train240,1,1
train4537,-1,2
train2499,1,1
train5795,0,4
train5970,1,1
train5059,1,1
train3286,-1,2
train518,-1,2
train155,0,3
train6014,-1,2
train800,-1,2
train1988,0,4
train5347,0,4
train3639,-1,2
train2740,0,3
train4913,0,3
train5762,0,3
train4562,0,3
train6979,1,1
train6187,-1,2
train7485,1,1
train4866,0,4
train7194,0,3
train7221,1,1
train6728,0,3
train4823,0,3
train6372,-1,2
train7817,0,4
train5210,1,1
train469,0,3
train4836,0,4
train3203,0,3
train2609,1,1
train1718,0,3
train6261,0,4
train5381,1,1
train7521,0,3
train2831,1,1
train2351,-1,2
train2505,-1,2
train6477,1,1
train3555,1,1
train2035,0,3
train1885,1,1
train1022,0,3
train6231,1,1
train3583,0,3
train7090,0,4
train4519,0,3
train3169,-1,2
train1543,-1,2
train2473,0,4
train441,0,3
train1518,0,3
train3626,1,1
train5542,-1,2
train6829,0,3
train6814,-1,2
train54,0,4
train2551,-1,2
train3479,-1,2
train6706,0,4
train2881,1,1
train2726,-1,2
train7605,1,1
train3477,-1,2
train2399,0,3
train1640,0,3
train386,1,1
train5514,0,4
train2531,-1,2
train2294,-1,2
train5182,1,1
train2170,1,1
train6178,0,4
train215,0,3
train6757,-1,2
train2177,-1,2
train7743,0,3
train5829,0,3
train4458,0,4
train4572,-1,2
train4912,1,1
train6557,0,3
train705,0,4
train3581,1,1
train3414,0,3
train6334,0,4
train3166,0,3
train4356,0,4
train7474,0,4
train956,0,4
train2370,0,4
train2520,-1,2
train341,0,4
train4506,-1,2
train5283,-1,2
train5730,-1,2
train5005,0,4
train4221,-1,2
train123,-1,2
train5826,0,3
train3671,1,1
train7718,1,1
train6195,-1,2
train5197,1,1
train6963,0,3
train1565,1,1
train4709,-1,2
train5121,0,4
train5111,-1,2
train3228,0,3
train724,0,3
train1306,-1,2
train2502,0,3
train4735,1,1
train1499,0,4
train7227,-1,2
train6251,0,4
train7390,0,4
train2654,1,1
train5579,-1,2
train2111,-1,2
train6832,-1,2
train6417,0,3
train3770,0,4
train1933,0,3
train4717,1,1
train172,0,4
train4330,0,4
train5248,0,4
train1977,-1,2
train2634,1,1
train1181,1,1
train1681,0,4
train3545,0,4
train6746,0,4
train4929,0,3
train4338,0,4
train5749,1,1
train6886,0,4
train503,1,1
train7418,0,3
train6734,0,4
train5002,0,4
train1610,1,1
train4178,-1,2
train4546,0,4
train4616,0,4
train1883,0,4
train4828,0,4
train2877,0,4
train4142,1,1
train6312,-1,2
train3875,0,3
train4592,0,3
train7111,0,3
train704,-1,2
train6300,0,3
train4275,-1,2
train6229,0,4
train5162,0,4
train6779,0,3
train4079,0,3
train7342,1,1
train6305,0,4
train2201,0,3
train2731,0,4
train7494,1,1
train3685,0,3
train594,0,4
train3653,1,1
train4077,1,1
train108,0,4
train1823,0,4
train1277,-1,2
train1226,-1,2
train3694,-1,2
train3569,1,1
train4933,0,4
train3811,1,1
train3358,-1,2
train5662,-1,2
train4515,1,1
train3318,0,4
train3869,1,1
train2827,0,4
train3668,-1,2
train6289,1,1
train4268,0,3
train2534,0,3
train6568,0,3
train5531,0,3
train268,0,4
train5124,-1,2
train5049,-1,2
train2234,1,1
train5598,1,1
train1487,-1,2
train2670,0,3
train4198,0,4
train6770,0,4
train4011,-1,2
train1558,1,1
train283,1,1
train1799,0,4
train5291,0,4
train6958,-1,2
train3226,-1,2
train6710,-1,2
train5980,1,1
train3601,0,4
train1208,-1,2
train7226,1,1
train593,0,3
train4277,0,3
train4112,-1,2
train435,1,1
train3822,0,3
train639,1,1
train6048,1,1
train5214,1,1
train2720,0,4
train6393,-1,2
train926,1,1
train4060,1,1
train1530,0,3
train2227,-1,2
train5673,0,3
train7581,1,1
train2948,1,1
train7724,0,4
train4795,-1,2
train4290,1,1
train5771,0,4
train4706,-1,2
train6071,1,1
train3369,-1,2
train6530,0,4
train249,0,4
train3858,-1,2
train6005,1,1
train1986,1,1
train4287,0,4
train6705,0,4
train3028,0,4
train3914,1,1
train6819,0,3
train3852,-1,2
train1240,0,3
train6497,0,4
train6379,0,3
train6307,0,4
train784,-1,2
train4362,0,4
train5934,0,4
train4439,1,1
train596,0,4
train6221,1,1
train5582,0,3
train5333,-1,2
train1969,-1,2
train1373,0,3
train5123,0,4
train4179,-1,2
train985,0,4
train3204,-1,2
train1290,0,4
train4117,0,4
train1857,1,1
train1544,1,1
train1848,0,4
train2460,0,4
train2044,0,4
train4008,0,3
train1227,0,4
train1520,0,4
train6012,-1,2
train1578,-1,2
train5594,0,3
train1360,1,1
train4753,1,1
train1460,-1,2
train4115,1,1
train7219,0,4
train7382,1,1
train7339,1,1
train3582,1,1
train1917,-1,2
train3410,0,3
train5254,0,4
train6357,0,4
train6052,1,1
train7178,0,4
train1815,0,3
train5389,-1,2
train6117,0,4
train3141,-1,2
train2455,0,3
train3008,-1,2
train1774,0,3
train1668,0,3
train4147,-1,2
train3393,0,3
train3516,0,4
train3132,0,3
train5847,0,3
train3097,0,3
train4211,0,4
train7451,0,3
train5619,0,4
train643,-1,2
train87,1,1
train2611,1,1
train5858,0,4
train6826,-1,2
train3433,1,1
train122,0,4
train3431,1,1
train5978,1,1
train2300,1,1
train6323,0,4
train1056,0,3
train3706,0,3
train1479,0,4
train5551,1,1
train3070,1,1
train2547,-1,2
train2856,0,4
train2464,0,3
train6993,0,3
train7292,-1,2
train812,0,3
train1455,0,3
train3888,0,4
train2560,1,1
train914,1,1
train842,-1,2
train2904,-1,2
train2910,0,3
train1383,-1,2
train6990,0,4
train6755,0,3
train2358,1,1
train6515,-1,2
train2982,-1,2
train2759,0,4
train4026,1,1
train3091,0,4
train2562,0,4
train7470,0,4
train628,1,1
train7286,-1,2
train6544,0,4
train467,0,4
train2063,-1,2
train4294,0,4
train306,0,4
train7433,-1,2
train2344,0,4
train7016,1,1
train7471,0,4
train2153,1,1
train4852,0,3
train7448,0,4
train7585,0,4
train427,0,4
train3096,1,1
train6631,1,1
train7307,0,4
train7235,0,3
train7299,0,4
train5173,1,1
train6454,-1,2
train3409,-1,2
train4995,0,4
train5374,-1,2
train4205,0,3
train1902,0,3
train3048,-1,2
train2953,0,3
train4840,-1,2
train3313,0,3
train2504,-1,2
train7772,-1,2
train3896,1,1
train7704,1,1
train3529,-1,2
train1024,0,4
train2742,0,3
train5365,0,4
train444,-1,2
train2870,1,1
train3946,0,3
train4923,-1,2
train7546,1,1
train273,0,4
train5346,0,3
train7410,-1,2
train2195,0,4
train5702,0,3
train1794,-1,2
train6425,0,4
train4245,0,3
train5789,0,4
train3378,0,3
train1141,0,3
train2253,0,3
train2644,0,4
train805,0,3
train3033,-1,2
train3081,0,4
train898,-1,2
train4100,-1,2
train5532,1,1
train6277,1,1
train3604,-1,2
train7256,-1,2
train7366,-1,2
train3390,0,4
train6756,0,3
train1295,0,4
train5860,-1,2
train6220,0,3
train1513,-1,2
train2116,1,1
train2790,1,1
train7419,0,3
train2367,-1,2
train7214,1,1
train3357,0,3
train4648,-1,2
train774,-1,2
train1638,-1,2
train5652,0,4
train1389,-1,2
train1535,0,4
train653,1,1
train6623,0,3
train917,0,4
train2998,0,3
train7018,0,3
train3866,0,3
train6319,0,3
train4236,-1,2
train5047,0,3
train2324,-1,2
train1276,0,3
train1997,0,4
train1023,1,1
train1935,-1,2
train2273,0,4
train5982,1,1
train6056,0,4
train6701,-1,2
train4770,-1,2
train3148,-1,2
train528,0,3
train7210,1,1
train6752,-1,2
train1581,0,3
train1777,0,4
train5088,-1,2
train4979,-1,2
train1711,-1,2
train389,0,4
train7318,-1,2
train2703,-1,2
train3019,0,3
train5593,0,4
train6657,-1,2
train2262,1,1
train130,0,3
train5924,0,3
train4489,0,3
train699,1,1
train7811,1,1
train4301,0,4
train6948,0,3
train5196,0,3
train2575,-1,2
train1896,-1,2
train2459,-1,2
train1738,-1,2
train3734,-1,2
train4778,0,4
train7401,-1,2
train3419,-1,2
train2368,0,3
train4076,0,4
train3774,0,4
train746,0,3
train3352,0,3
train2125,-1,2
train7324,0,3
train6509,0,3
train622,0,4
train2189,0,3
train3808,1,1
train471,0,3
train323,1,1
train7785,-1,2
train1720,-1,2
train121,0,3
train2840,0,4
train895,1,1
train2298,0,4
train3405,1,1
train5019,1,1
train2154,0,4
train2285,0,4
train1694,0,4
train4594,0,3
train6038,0,3
train5421,0,3
train124,0,3
train3455,0,4
train3872,0,3
train416,0,3
train4928,0,3
train7184,0,3
train3506,0,4
train3696,-1,2
train4897,0,3
train2049,-1,2
train4981,0,4
train7386,0,4
train7242,0,4
train7457,0,4
train2956,-1,2
train1386,0,4
train7243,0,3
train7578,-1,2
train1221,1,1
train2259,0,4
train2066,0,3
train2622,0,3
train2051,-1,2
train7516,1,1
train1250,1,1
train860,-1,2
train4887,1,1
train5708,0,4
train3651,1,1
train7566,1,1
train11,0,3
train4432,0,4
train7131,0,3
train7582,0,4
train1048,0,4
train3139,0,4
train7054,1,1
train4041,0,3
train4883,0,3
train2096,0,4
train752,1,1
train6599,1,1
train2022,1,1
train5194,-1,2
train5790,1,1
train4250,-1,2
train7175,0,4
train3740,0,4
train4508,0,3
train3092,0,4
train3550,1,1
train5172,1,1
train5176,-1,2
train3596,0,3
train3541,0,3
train4417,-1,2
train2353,0,3
train5263,0,4
train5264,0,4
train3785,-1,2
train1793,-1,2
train5497,0,4
train1644,-1,2
train7487,0,4
train2209,-1,2
train2686,0,4
train2230,-1,2
train6869,0,4
train5655,0,4
train6069,1,1
train6208,-1,2
train974,-1,2
train2699,0,3
train6603,1,1
train4379,0,4
train5001,-1,2
train2988,0,4
train148,-1,2
train1271,-1,2
train3342,-1,2
train4009,0,3
train2011,0,4
train2925,0,3
train6408,1,1
train983,0,4
train844,0,4
train3128,1,1
train5304,-1,2
train5552,-1,2
train5701,0,3
train6559,1,1
train4251,0,4
train4604,0,3
train4884,-1,2
train6590,0,3
train3353,0,4
train5418,1,1
train6930,1,1
train4924,1,1
train3575,0,4
train6274,0,3
train231,0,4
train7201,0,4
train3959,0,4
train6304,-1,2
train6314,0,4
train4787,0,3
train1953,1,1
train1646,0,3
train5753,0,4
train2763,0,3
train4909,1,1
train6795,1,1
train4749,-1,2
train5868,-1,2
train3966,0,4
train1206,0,4
train3331,0,4
train5260,1,1
train942,1,1
train1249,1,1
train719,0,3
train6524,0,4
train473,1,1
train4899,0,4
train1609,-1,2
train4045,0,3
train3266,0,3
train7029,1,1
train4341,1,1
train4068,0,4
train4808,0,3
train627,1,1
train2410,0,4
train2439,0,3
train5020,0,3
train682,-1,2
train3252,1,1
train3454,0,4
train6036,-1,2
train714,0,3
train5275,1,1
train6216,-1,2
train1761,1,1
train1416,1,1
train1819,-1,2
train3882,0,4
train2024,0,4
train7597,0,3
train3465,0,4
train6199,-1,2
train6462,0,3
train2733,0,4
train3494,1,1
train7702,1,1
train2645,0,4
train4485,1,1
train7694,0,4
train7126,0,3
train5234,1,1
train4403,0,4
train7699,0,4
train7813,0,4
train5133,0,3
train2563,0,4
train4259,0,3
train1868,0,4
train693,0,4
train6029,-1,2
train4455,-1,2
train2516,1,1
train2237,1,1
train3602,0,4
train7261,0,4
train2174,1,1
train6966,0,3
train5060,-1,2
train582,1,1
train3906,-1,2
train5120,1,1
train6105,0,3
train6541,0,4
train7569,1,1
train4767,1,1
train6901,0,3
train409,0,3
train2365,0,4
train4369,0,4
train4406,-1,2
train218,0,3
train7706,1,1
train293,0,4
train1485,-1,2
train6889,0,4
train4667,1,1
train7331,0,3
train7306,0,4
train4419,0,4
train1039,0,3
train5342,-1,2
train5630,-1,2
train4711,0,4
train7453,1,1
train7138,1,1
train3288,0,3
train7690,1,1
train2331,0,3
train1678,0,4
train4145,1,1
train6743,-1,2
train5397,-1,2
train4036,-1,2
train1431,1,1
train5311,1,1
train591,-1,2
train540,0,3
train4536,-1,2
train6153,-1,2
train192,1,1
train4853,0,4
train5303,-1,2
train7377,-1,2
train7555,0,4
train6471,0,3
train6284,-1,2
train5010,-1,2
train3319,0,3
train6584,1,1
train7556,-1,2
train5965,0,4
train4789,0,3
train5232,1,1
train352,0,4
train5480,-1,2
train5179,0,4
train793,-1,2
train3177,0,4
train1916,1,1
train7019,-1,2
train6086,1,1
train335,0,4
train2244,0,4
train2235,0,3
train6168,0,4
train866,0,4
train3291,0,4
train7497,-1,2
train7562,0,4
train6546,-1,2
train2394,1,1
train3062,1,1
train7764,0,4
train4253,1,1
train7633,0,3
train4969,0,4
train3644,1,1
train4944,0,4
train5626,0,4
train3444,-1,2
train7806,-1,2
train3439,0,3
train3245,0,4
train5336,-1,2
train5902,-1,2
train5659,1,1
train1448,1,1
train3945,0,3
train3895,0,4
train3300,1,1
train6102,0,4
train7829,0,4
train7293,0,3
train200,1,1
train7365,0,4
train3593,-1,2
train5247,1,1
train7561,0,4
train3944,-1,2
train4444,0,3
train6311,-1,2
train3162,-1,2
train15,1,1
train3792,-1,2
train6794,-1,2
train2449,-1,2
train7776,0,3
train405,-1,2
train7617,0,4
train2080,1,1
train6912,0,3
train6466,0,4
train3695,0,4
train3391,0,3
train7808,0,4
train351,0,3
train6402,1,1
train62,0,3
train2268,1,1
train6511,-1,2
train2404,-1,2
train2131,0,4
train170,0,4
train6244,-1,2
train7472,-1,2
train4901,0,3
train6019,0,4
train6120,-1,2
train4219,0,4
train3760,-1,2
train526,1,1
train109,0,3
train3485,-1,2
train3627,1,1
train5331,1,1
train2448,0,4
train120,0,4
train1671,0,3
train4649,0,3
train4541,-1,2
train847,1,1
train1410,1,1
train1309,1,1
train3711,-1,2
train4553,0,4
train5804,1,1
train6267,1,1
train2447,0,4
train6936,0,4
train1467,0,3
train3119,-1,2
train5025,1,1
train3050,0,3
train4176,0,4
train7654,0,4
train1907,-1,2
train2901,-1,2
train3082,0,3
train2401,0,3
train6868,0,4
train7087,0,4
train1979,1,1
train5257,1,1
train1608,-1,2
train637,1,1
train85,0,3
train6433,0,3
train2965,-1,2
train5354,0,4
train872,0,3
train4310,0,3
train1340,0,4
train862,0,3
train6707,-1,2
train6067,1,1
train4352,0,4
train1279,0,4
train3853,0,4
train3209,-1,2
train5556,-1,2
train4628,0,3
train6169,-1,2
train600,0,4
train7220,0,4
train3776,-1,2
train559,-1,2
train539,0,4
train2087,0,3
train6386,0,3
train2847,1,1
train7609,0,4
train3493,0,3
train1955,0,3
train7281,1,1
train2362,0,3
train3932,1,1
train487,0,4
train6989,0,3
train1,0,3
train3542,0,4
train2916,1,1
train5302,1,1
train5313,1,1
train5459,-1,2
train5564,-1,2
train300,-1,2
train506,1,1
train3334,0,4
train5402,1,1
train7187,0,3
train5528,1,1
train7653,0,3
train4975,-1,2
train6042,-1,2
train7212,1,1
train2923,0,4
train5171,0,3
train3063,0,4
train6246,1,1
train4454,-1,2
train7783,0,4
train3606,-1,2
train2317,0,3
train5651,0,3
train3997,-1,2
train1313,0,4
train3367,-1,2
train670,-1,2
train5887,0,4
train6698,1,1
train4838,1,1
train3271,0,4
train1631,-1,2
train165,0,4
train575,0,3
train4529,0,4
train7481,1,1
train1784,0,4
train82,0,4
train7727,0,3
train5006,0,3
train2620,1,1
train700,0,3
train2716,0,4
train2482,-1,2
train5416,-1,2
train7548,1,1
train2030,0,4
train565,0,3
train40,-1,2
train846,-1,2
train2732,1,1
train3003,0,3
train3227,-1,2
train6461,0,3
train3285,1,1
train1508,-1,2
train7009,0,3
train6291,1,1
train3400,1,1
train2043,0,4
train7622,0,3
train1946,0,4
train7591,0,3
train5515,1,1
train3425,0,4
train7315,0,4
train5604,0,3
train2357,1,1
train1580,0,4
train6762,0,3
train5486,0,4
train5429,0,4
train3793,0,4
train7786,-1,2
train5191,0,4
train2754,-1,2
train2232,1,1
train4059,1,1
train6460,0,3
train1697,-1,2
train7196,1,1
train4632,-1,2
train765,1,1
train3147,-1,2
train4123,-1,2
train1285,0,3
train1576,0,4
train118,-1,2
train2076,1,1
train3388,-1,2
train1770,0,4
train7815,1,1
train7162,1,1
train5939,1,1
train3769,0,4
train5280,0,4
train3079,1,1
train4154,0,3
train2492,0,3
train1436,1,1
train5971,1,1
train362,1,1
train3308,0,4
train4378,1,1
train4069,-1,2
train823,0,4
train3397,0,3
train770,0,4
train4092,0,3
train3208,0,4
train767,-1,2
train71,1,1
train6574,0,3
train3472,0,4
train5099,0,3
train2767,1,1
train3889,1,1
train3106,1,1
train6676,0,4
train3343,-1,2
train869,-1,2
train4241,1,1
train3759,1,1
train3135,1,1
train1392,1,1
train2493,0,4
train3155,-1,2
train3660,0,3
train4610,0,4
train5666,0,3
train1316,0,4
train5439,1,1
train5529,0,4
train1966,0,3
train458,0,3
train7025,-1,2
train1603,1,1
train4501,1,1
train5027,0,4
train2878,0,3
train4917,0,4
train748,1,1
train5920,0,4
train1137,0,4
train1423,-1,2
train3077,0,4
train5767,-1,2
train5741,0,4
train2630,0,3
train4463,0,3
train6927,0,3
train5615,0,4
train1549,0,3
train2372,0,4
train191,0,4
train2039,1,1
train5390,0,4
train6939,0,3
train5420,1,1
train5358,0,4
train1033,0,4
train4371,1,1
train1938,-1,2
train3907,0,3
train1727,0,3
train5704,1,1
train786,0,3
train5638,1,1
train5823,1,1
train2791,-1,2
train1527,0,4
train5848,1,1
train1297,1,1
train4976,0,4
train6571,-1,2
train6283,1,1
train3534,0,3
train3311,0,3
train6366,0,4
train673,-1,2
train6558,1,1
train4745,-1,2
train3865,0,4
train6488,0,4
train7668,-1,2
train1781,0,4
train6589,0,4
train7197,0,4
train5846,1,1
train7643,-1,2
train6827,0,4
train39,0,4
train1150,0,3
train2808,-1,2
train2389,-1,2
train5285,0,3
train7327,0,3
train1117,0,3
train5647,0,4
train1875,1,1
train157,1,1
train3273,1,1
train3475,0,4
train4347,-1,2
train1424,0,4
train3483,-1,2
train2146,0,3
train2346,0,3
train3474,0,4
train6878,0,4
train1062,0,4
train5766,0,3
train542,-1,2
train5031,1,1
train6493,1,1
train5738,-1,2
train2862,0,3
train7188,0,3
train4833,0,4
train2214,0,3
train3261,-1,2
train1312,1,1
train1099,1,1
train916,-1,2
train6160,1,1
train6627,1,1
train664,0,4
train5841,0,4
train479,0,3
train7746,0,4
train7560,1,1
train2270,-1,2
train3142,0,4
train2819,0,3
train3368,-1,2
train190,1,1
train6481,0,4
train2957,0,4
train3880,1,1
train7357,0,4
train2100,0,3
train4023,0,4
train4718,-1,2
train1884,0,3
train2801,0,4
train1790,1,1
train7099,-1,2
train375,0,3
train973,-1,2
train4170,1,1
train2937,0,3
train4910,1,1
train2316,0,3
train2526,1,1
train5032,0,4
train3924,1,1
train6960,1,1
train523,0,3
train4983,0,3
train5235,0,4
train6516,0,3
train360,0,3
train7748,-1,2
train1197,-1,2
train6173,0,4
train2959,-1,2
train5519,-1,2
train1922,0,3
train1038,-1,2
train6677,1,1
train4035,0,4
train3570,-1,2
train5881,1,1
train4847,0,4
train1742,0,4
train960,1,1
train1211,1,1
train5584,0,4
train6689,1,1
train2671,1,1
train701,1,1
train19,0,4
train6678,0,3
train7656,0,4
train791,0,3
train23,0,3
train7395,0,3
train6953,1,1
train4779,0,4
train4702,0,3
train3859,0,3
train6782,0,3
train1495,0,4
train7121,-1,2
train6534,-1,2
train2650,0,3
train2971,0,4
train95,0,3
train6465,1,1
train1006,1,1
train5384,0,4
train3670,-1,2
train4967,1,1
train6947,0,3
train5794,0,4
train4063,0,3
train1680,0,4
train2745,-1,2
train1264,-1,2
train721,-1,2
train1252,0,3
train3270,0,3
train5034,1,1
train1637,0,4
train7495,-1,2
train4791,-1,2
train5824,0,4
train5114,0,4
train6068,-1,2
train4948,0,3
train6295,-1,2
train6478,0,3
train7122,0,4
train6188,-1,2
train4053,0,3
train4573,0,3
train4380,-1,2
train113,1,1
train7349,1,1
train6624,-1,2
train3316,0,4
train4074,1,1
train1840,0,3
train7509,0,3
train7650,0,3
train5507,-1,2
train508,0,3
train6369,0,3
train5540,-1,2
train4042,0,3
train3766,-1,2
train6940,1,1
train2683,-1,2
train5851,0,4
train6780,-1,2
train1722,0,4
train5589,-1,2
train3428,1,1
train4254,0,4
train5483,-1,2
train328,-1,2
train642,-1,2
train4817,-1,2
train2151,0,3
train4876,0,4
train5221,0,3
train7732,-1,2
train1755,0,3
train2345,0,3
train3847,0,3
train2802,0,3
train453,-1,2
train3115,1,1
train915,0,3
train3377,1,1
train5350,0,3
train243,-1,2
train4089,1,1
train6088,0,4
train1981,1,1
train6565,0,4
train2182,-1,2
train6831,1,1
train2782,1,1
train498,-1,2
train3977,-1,2
train6888,0,3
train3365,0,3
train7011,1,1
train2690,-1,2
train5170,0,4
train644,-1,2
train7304,0,3
train3010,0,4
train7352,0,4
train4265,1,1
train808,0,3
train1809,0,3
train3556,1,1
train1897,0,3
train1338,0,3
train5294,-1,2
train6885,0,4
train4867,0,4
train3016,0,3
train5412,-1,2
train1189,-1,2
