SampleID,Number of samples,Max A,Max B,Min A,Min B,Mean A,Mean B,Sd A,Sd B
train2550,158,65034,19098,-14334,-27368,-0.1075949367,-0.0886075949,9968.4014649744,9968.2466294513
train5220,4708,122574,50986,-4650,-26255,-0.0014868309,-0.0002124044,9998.9407934048,9998.9316884432
train14817,583,24249,15971,-7713,-14391,0.0222984563,0.0840480274,9991.41684123,9991.4651233929
train15126,783,44075,8014,-28449,-52560,0.0089399745,0.0025542784,9993.6065715892,9993.6183393267
train11504,5711,22606,44903,-20623,-15881,0.0063036246,0.0040273157,9999.138105597,9999.1313324591
train6498,7304,31557,19729,-44969,-57633,0.0036966046,0.0005476451,9999.3087346159,9999.3122560876
train13447,2650,44674,61273,-58875,-32756,-0.0098113208,-0.0286792453,9998.1111028439,9998.1311500081
train1982,592,23800,1,-18289,0,-0.0016891892,0.4679054054,9991.5854982369,0.4989688738
train2307,2136,37605,36729,-67611,-52668,0.0149812734,-0.0028089888,9997.6593039485,9997.6539303218
train2651,585,28736,45025,-29929,-21973,-0.0034188034,0.0068376068,9991.4467249797,9991.4602822057
train15951,2229,32503,39094,-39244,-46866,-0.0677433827,0.0022431584,9997.7089143694,9997.7700326765
train12578,1473,22554,63717,-30282,-35404,-0.0088255261,0.0033944331,9996.5937992138,9996.6058913123
train1556,3100,54811,4,-29919,1,0.0477419355,2.4051612903,9998.4801349672,0.5665735779
train15226,1132,1,15,0,1,0.5044169611,8.2067137809,0.4999804901,4.5325315058
train11044,726,5,25923,1,-36303,2.8774104683,0.0041322314,0.7042663491,9993.107172724
train8323,739,32397,56925,-23807,-14641,-0.0108254398,-0.0067658999,9993.2199738162,9993.2290177689
train8839,548,10198,6874,-44320,-76267,-0.003649635,-0.0182481752,9990.8698263389,9990.8653642187
train2431,2396,9443,26155,-38417,-24998,-0.0091819699,0.0062604341,9997.9083602546,9997.9196251067
train7201,6131,44521,40238,-32947,-48025,-0.0037514272,-0.0026096885,9999.1838351566,9999.1796150025
train12016,1079,4,29576,1,-25456,2.5430954588,-0.0055607044,1.4769611807,9995.3624022973
train10275,4282,7020,18780,-123523,-216070,0.0072396077,0.0014012144,9998.8340972691,9998.8348995721
train4536,1229,55950,53799,-117800,-51887,-0.0138323841,-0.0032546786,9995.9276624537,9995.9194416583
train9045,2309,17227,26564,-143379,-34391,-0.0043308792,0.0012992638,9997.8389827834,9997.8277252347
train9397,2857,77472,46907,-45444,-81114,-0.0017500875,-0.00840042,9998.2518933558,9998.2546053593
train4767,2222,31693,37078,-36760,-34280,0.0072007201,0.0058505851,9997.7463957008,9997.7594287158
train6679,574,28516,48139,-27853,-28270,-0.0139372822,0.0017421603,9991.2801128028,9991.2857038359
train12723,3150,50431,1,-17948,0,-0.0228571429,0.9085714286,9998.4013104692,0.2882176049
train999,1180,30020,12,-33326,1,-0.1271186441,7.7915254237,9995.8663911271,2.2045244797
train2792,992,61308,127594,-24328,-8166,0.0110887097,-0.0010080645,9994.961040771,9994.9551997273
train14043,1712,30363,42039,-65517,-24304,0.0035046729,0.004088785,9997.071337326,9997.0952696858
train6055,678,19464,21782,-32919,-15726,0.0147492625,0,9992.6234145392,9992.6157318888
train15158,912,90087,27183,-32298,-31890,0.0109649123,0.2949561404,9994.5234593604,9994.4538059371
train9000,819,8360,21793,-22278,-24800,0.0122100122,0.0097680098,9993.9026337728,9993.8949979812
train3962,4179,6164,1,-73488,0,-0.0122038765,0.6281407035,9998.7989296707,0.4833011071
train8046,521,54958,31496,-10501,-27436,0.009596929,-0.0057581574,9990.4257801468,9990.3817484525
train14668,570,83230,20625,-27316,-92377,-0.0157894737,-0.0157894737,9991.1993260787,9991.2008370574
train13332,831,34364,43332,-29160,-17137,-0.0505415162,-0.0012033694,9994.0328254101,9993.9811563655
train14961,639,33339,1,-40249,0,-0.0125195618,0.627543036,9992.2650454488,0.4834591751
train8467,2397,31534,43739,-32008,-8557,-0.0016687526,0.0091781393,9997.916266215,9997.9151056019
train8955,1267,55540,8993,-35343,-34775,0.0181531176,0.0047355959,9996.061990136,9996.0628194045
train15430,1145,33315,1,-9609,0,-0.0026200873,0.4838427948,9995.6293605521,0.4997388765
train5656,5220,82807,226491,-74069,-50174,0.0034482759,0.0034482759,9999.040060726,9999.0409530722
train7070,860,39507,10950,-29839,-21701,-0.0104651163,-0.0186046512,9994.1775224323,9994.1903025861
train6590,842,27552,59506,-36475,-13021,0.0023752969,0.0154394299,9994.0516962045,9994.0710589387
train14132,1853,8,31374,1,-46174,4.9568267674,-0.002698327,2.4362953197,9997.2934520512
train6790,1105,68517,65093,-18691,-18740,0.0108597285,-0.0054298643,9995.4674807714,9995.4644907323
train8715,4963,301706,146669,-12680,-34323,-0.0044328027,0,9998.9990656017,9998.9877308329
train15965,764,59725,33496,-24963,-19825,-0.0039267016,0.0222513089,9993.4528035033,9993.4506211602
train13760,1495,48790,30529,-30145,-38846,0.0060200669,-0.0006688963,9996.6553819791,9996.6223668707
train5224,667,33110,19610,-39137,-72300,-0.0179910045,-0.0149925037,9992.4955664665,9992.478471019
train13158,569,34960,81925,-7672,-8174,0.151142355,0.0773286467,9991.1170955617,9991.1347672715
train13648,6433,385,69865,-286470,-314498,-0.3485154671,-0.0006217939,9999.2075510561,9999.2257600322
train15546,1550,38828,30216,-14671,-30380,-0.0051612903,-0.0051612903,9996.7739491123,9996.7722454013
train7323,1515,50540,33388,-3388,-90935,-0.0772277228,-0.000660066,9996.7266428694,9996.7095481182
train844,2406,12,25786,1,-47722,7.7327514547,0.0016625104,2.8676223918,9997.9230469482
train1685,1784,39955,19274,-25069,-32379,-0.0022421525,-0.0011210762,9997.1969476155,9997.2001379713
train890,530,30258,20378,-25297,-31773,-0.0113207547,-0.0075471698,9990.5693100791,9990.5492936386
train2265,2155,9,31941,1,-33045,5.3461716937,0.0055684455,2.3310429953,9997.683049915
train6316,2307,36418,41337,-21838,-18740,-0.0013003901,-0.0017338535,9997.8301758414,9997.8285171588
train10261,1352,24954,32042,-43357,-34655,0.0081360947,-0.000739645,9996.2935225284,9996.2988239035
train11931,960,41061,28378,-37191,-32433,0.009375,-0.0229166667,9994.7962221242,9994.7466351859
train14160,1224,53228,7,-71599,1,0.0138888889,3.3921568627,9995.9138560523,2.0539625154
train9217,994,8072,28132,-51152,-27953,0.0130784708,-0.0181086519,9994.9851421994,9994.9662186496
train4603,660,132271,28075,-25794,-17836,0.0075757576,-0.0106060606,9992.4171983106,9992.4258215096
train1290,3824,73165,155291,-24324,-106263,0.0020920502,-0.0091527197,9998.6899948165,9998.6984967987
train599,999,72788,7799,-74308,-117885,-0.004004004,0.007007007,9994.9970639462,9994.9852333441
train6840,1466,5117,76769,-56862,-12666,-0.0129604366,0.002728513,9996.5883262353,9996.5913133808
train13495,1455,59835,1,-34108,0,-0.0054982818,0.5450171821,9996.5368846012,0.4979693297
train9777,4593,1217,32678,-492992,-45508,-0.0019595036,0.0047898977,9998.9152722915,9998.9091075987
train11682,1663,12552,126592,-26341,-319150,-0.0012026458,-0.0060132291,9996.9938375059,9996.9888963302
train1108,2120,1,34942,0,-18735,0.8485849057,-0.0014150943,0.3584530144,9997.6336441453
train10607,758,25328,8,-39650,1,0,3.8957783641,9993.4035627413,2.2036089644
train2881,1488,43690,20547,-34001,-12589,-0.0141129032,-0.0094086022,9996.6362204289,9996.641542687
train3556,4627,35187,1,-37003,0,0.0092932786,0.2325480873,9998.9170800783,0.4224564763
train10942,1609,84059,35250,-99561,-32353,0.0055935364,0.0031075202,9996.8888228327,9996.8814024988
train5179,3475,41548,29455,-16816,-49830,0.0048920863,-0.0025899281,9998.5563825742,9998.5646908502
train1698,5974,28241,27960,-71033,-86014,0.0038500167,-0.0097087379,9999.1618144949,9999.163651245
train5550,1901,1587,35604,-222530,-41502,0.0021041557,-0.0057864282,9997.3787536652,9997.3630223052
train13953,2670,34201,95848,-51701,-24357,0.0104868914,0.0018726592,9998.1231818122,9998.1295735208
train6301,1454,66408,64311,-32496,-22946,0.0041265475,0.0048143054,9996.5600187795,9996.5618962131
train1364,4151,1,9,0,1,0.924355577,6.5220428812,0.2644283349,1.2843903826
train7477,1320,77454,118009,-6036,-7000,0.0007575758,0.0083333333,9996.2086195672,9996.2085543117
train10881,797,1,32334,0,-52888,0.1681304893,-0.0150564617,0.3739821224,9993.7106774168
train11757,992,44066,1,-48348,0,-0.0120967742,0.3508064516,9994.947609043,0.4772224692
train12656,1233,13372,4,-35858,1,-0.0170316302,2.6334144363,9995.9334704354,0.8889258877
train15051,2359,1,26982,0,-31623,0.3717676982,-0.2573124205,0.4832768117,9997.8470920478
train13937,1357,6355,53840,-50248,-32328,0.0154753132,-0.0169491525,9996.3163160216,9996.3258885165
train4103,2435,67212,41265,-37077,-71625,-0.0012320329,0.0057494867,9997.9406599682,9997.947875146
train4091,1159,50580,41324,-16451,-24340,-0.0008628128,0.0060396894,9995.6874251755,9995.6759919362
train5982,5679,9335,43611,-127283,-50873,0.0154956859,-0.0056347949,9999.1172572228,9999.1216563703
train5563,627,40474,64675,-40193,-7387,-0.014354067,0.0079744817,9992.0024138024,9992.0329962756
train5575,1617,76997,13720,-17696,-17101,-0.0024737168,0.0030921459,9996.9138085575,9996.9099472845
train10222,1696,27257,27477,-30529,-53465,0.008254717,-0.0005896226,9997.0659341231,9997.0487316293
train14065,1309,44763,35521,-12299,-27153,0.012223071,-0.0160427807,9996.1810120884,9996.1831990524
train8743,921,44599,130022,-25984,-61582,0.003257329,-0.006514658,9994.5754020305,9994.564546786
train9475,3696,8464,57606,-44362,-15988,-0.0062229437,-0.0008116883,9998.648208834,9998.6414393038
train1393,763,15202,25944,-44724,-35132,0.0117955439,0.0117955439,9993.4667021636,9993.4443197566
train10181,962,46736,35648,-18749,-18402,-0.0051975052,-0.0509355509,9994.7973368942,9994.787299002
train15212,851,42346,121834,-39526,-18366,-0.0035252644,0.0152761457,9994.1261475715,9994.1125430854
train8073,1641,51629,34056,-30785,-22106,0.0103595369,-0.0042656917,9996.9503057429,9996.9553186094
train4250,6632,28275,50487,-36309,-34467,0.0027141134,0.0013570567,9999.2423246284,9999.2447643413
train3421,562,1,32371,0,-55931,0.1619217082,-0.0088967972,0.3683789742,9991.1103074722
train10303,621,41411,18635,-32987,-48997,0.0048309179,0.0193236715,9991.9493729762,9991.9337370896
train5905,5993,49185,34195,-21986,-60710,0.0031703654,0.0075087602,9999.166214689,9999.1651496053
train8434,1564,34992,42240,-35808,-20194,-0.0057544757,0.0051150895,9996.796431389,9996.8001219891
train3357,2141,1,4030,0,-343347,0.3465670248,-0.0667912191,0.4758763727,9997.6231960887
train12660,1321,3,28821,1,-12854,2.8251324754,0,0.4196224122,9996.2221449068
train5133,4243,146606,19414,-67125,-510987,0.0032995522,-0.0016497761,9998.8234801414,9998.8126651115
train6817,2327,25628,40107,-57359,-64370,-0.0034379029,-0.00601633,9997.8470920133,9997.8492718537
train12522,1107,35885,70178,-24398,-33597,0.0018066847,-0.0036133695,9995.4862441729,9995.4846224827
train8347,816,10672,65149,-26404,-20537,0.0036764706,0.0171568627,9993.8685905721,9993.8701939307
train3610,1570,49526,32382,-57991,-30902,-0.0044585987,-0.001910828,9996.8185464326,9996.8104337854
train1527,4127,69337,20,-35866,1,0.0038769082,8.3147564817,9998.7806719903,6.4368496955
train7077,826,67074,32823,-38472,-61825,0.004842615,0.0024213075,9993.9548353889,9993.9542323618
train6140,5041,53938,31854,-43514,-61242,0.0059512002,0.0003967467,9999.0110928986,9999.0107838835
train5004,671,45717,30315,-38104,-32455,-0.001490313,-0.0149031297,9992.5531852951,9992.5447467312
train3938,512,57037,85237,-19358,-39762,-0.00390625,-0.01171875,9990.2387581728,9990.2462009759
train15252,1615,20134,10052,-9943,-19528,0.0142414861,-0.3157894737,9996.9020675919,9996.8329145449
train14349,780,36794,5366,-29222,-87648,-0.0012820513,0.0051282051,9993.5582272935,9993.6026262432
train5434,2127,12626,216880,-60570,-6119,0.003761166,0.0023507287,9997.6447924188,9997.643315367
train10407,691,1,10399,0,-131179,0.8263386397,0.008683068,0.37881802,9992.7551786635
train3739,1345,34636,1,-34985,0,0.0014869888,0.4029739777,9996.2867552746,0.4904956177
train7672,1167,41339,30911,-15826,-43861,0.0119965724,0,9995.6984258012,9995.7151797879
train4639,4713,25942,35509,-52492,-10806,0.0046679397,-0.0008487163,9998.9380161525,9998.9389165886
train8891,1298,41409,80547,-54444,-60196,-0.0100154083,-0.0061633282,9996.1448172354,9996.1519126139
train1966,3411,28421,57688,-47361,-7999,0.0038111991,-0.0008795075,9998.5321716488,9998.5263522653
train6465,1114,32552,35203,-38278,-20366,-0.0233393178,-0.0035906643,9995.5072460271,9995.4916951591
train10737,4418,638850,112396,-36546,-24764,0.0081484835,0.003847895,9998.8710351596,9998.863877097
train1307,907,30557,20842,-42608,-27892,-0.0077177508,0.0110253583,9994.4742767892,9994.4715185361
train9873,5697,14110,36390,-21560,-19904,0.000351062,0.0035106196,9999.1228145025,9999.1176743622
train9270,4612,26122,35162,-15774,-23579,0.0086730269,0.001951431,9998.9182306437,9998.922435492
train1599,714,1,43475,0,-21786,0.9789915966,-0.0182072829,0.1434121695,9992.9800182592
train4564,2878,38423,73190,-24049,-7879,-0.0083391244,0.0010423905,9998.2655724129,9998.2659680201
train13538,1790,20891,92847,-47197,-6145,0.0022346369,0.0111731844,9997.2034888643,9997.1990249274
train4498,941,14250,20558,-62305,-34224,0,-0.0063761955,9994.68636531,9994.6830631277
train9632,1539,23400,24488,-66010,-19114,-0.0038986355,0.0012995452,9996.7548254232,9996.7429145339
train13052,842,66927,1,-32571,0,0.0225653207,0.5736342043,9994.0589796659,0.4945482827
train11361,3306,1,6,0,1,0.7873563218,2.9137931034,0.4091776439,1.1752683125
train9364,6246,33023,31237,-41129,-29818,-0.0022414345,0.0084854307,9999.1989573976,9999.2084344777
train13269,6925,110236,29769,-17744,-34410,0.0028880866,0.0020216606,9999.2827074872,9999.2707715194
train685,506,42680,33315,-17465,-42909,0.0118577075,-0.023715415,9990.1318999954,9990.1212993894
train15302,1303,22483,10,-33566,1,0.0023023791,5.9201841903,9996.1542614738,3.0813601909
train8538,1570,39771,21524,-20140,-63170,-0.0108280255,0.0050955414,9996.8268619361,9996.8223407279
train1032,859,26508,21967,-12818,-22833,-0.0128055879,0.0011641444,9994.1834413776,9994.1684070184
train9871,556,152970,44022,-5865,-26918,-0.0161870504,-0.0053956835,9991.0104209611,9991.0079657077
train10525,1406,29839,541,-37605,-366392,-0.0042674253,-0.0007112376,9996.4381072525,9996.4496798253
train3932,4123,15666,19,-32546,1,-0.0043657531,4.4547659471,9998.7927360503,4.4922201822
train4015,158,4,1,1,0,1.9810126582,0.5,1.0462199528,0.5
train3735,1154,5,64865,1,-10376,2.4046793761,-0.006932409,1.3579519736,9995.6649638369
train9894,2329,10994,390411,-21907,-28352,0.0064405324,-0.0038643195,9997.8523251261,9997.8548293146
train1240,688,25784,25382,-23594,-34553,-0.0101744186,0.0043604651,9992.7236794243,9992.7495178181
train5243,902,294011,29121,-731,-30478,-0.0033259424,-0.0077605322,9994.465815369,9994.4434398764
train9843,994,30456,22070,-41172,-19592,0.0080482897,-0.014084507,9994.9592285219,9994.9594222748
train11617,1559,20274,68343,-33771,-32189,-0.0044900577,-0.0121872996,9996.8055058915,9996.77503504
train15077,594,52210,19898,-33937,-21419,-0.0101010101,0.0033670034,9991.5985234481,9991.5836619658
train3940,633,1,17255,0,-9681,0.0537124803,0.0142180095,0.2254494394,9992.0960119626
train14563,590,6107,121818,-35563,-16470,-0.0118644068,0.013559322,9991.5289051562,9991.52352814
train3884,530,29661,11200,-37000,-33371,0.0094339623,0.0094339623,9990.5561624847,9990.5497573771
train865,2355,1,30558,0,-93480,0.4836518047,-0.0106157113,0.499732665,9997.8784562846
train722,907,40868,57705,-45455,-25881,0.0077177508,0,9994.4844357603,9994.4869471261
train15657,1487,1,43333,0,-29868,0.692669805,-0.0026899798,0.4613874145,9996.6419587734
train7229,2721,47998,17999,-20435,-21816,-0.0007350239,0.006615215,9998.1586841345,9998.1651041658
train14838,662,53854,1,-9014,0,0.0060422961,0.8851963746,9992.4205786742,0.3187848067
train1328,1178,22538,43216,-19815,-33975,0.0033955857,-0.0025466893,9995.7653689292,9995.7606090604
train4050,2630,34004,29300,-44126,-27006,-0.0513307985,-0.0011406844,9998.0857231284,9998.0899554382
train1516,406,24801,16216,-12083,-15795,-0.0221674877,0.0591133005,9987.6812899076,9987.7249282713
train13215,4035,17955,8,-108641,1,-0.0032218092,4.0185873606,9998.7583693484,1.7213295593
train14445,1445,1,5,0,1,0.3522491349,2.0422145329,0.4776711022,0.624984381
train2675,1016,34699,28854,-29962,-28795,0.000984252,0.0059055118,9995.0842724405,9995.0773765762
train8191,989,5627,13952,-117232,-201785,0.0212335693,0.0070778564,9994.9396189474,9994.9481508849
train278,656,9,32562,1,-50452,4.0030487805,0.0213414634,2.057109142,9992.3811840924
train10662,1145,142303,91661,-24420,-66342,0.0061135371,-0.0061135371,9995.6284184794,9995.6419234133
train6685,6621,34433,39262,-36802,-34170,0.001812415,0.0021144842,9999.2406404934,9999.243905746
train13005,5816,50315,81953,-23524,-122958,0.0063617607,-0.0049862448,9999.1060298377,9999.1329945923
train12946,3531,81356,29395,-36439,-74587,0.007646559,0.0008496177,9998.5844482501,9998.5850553907
train6321,623,29444,30260,-38062,-28425,-0.0080256822,-0.0016051364,9991.9794320767,9991.9774887874
train2879,5564,34164,26228,-54983,-23921,0.0014378145,0.0035945363,9999.0988211479,9999.1034780001
train10158,505,29534,50141,-32341,-16061,0.0138613861,0.003960396,9990.1213420814,9990.1084803664
train13752,4932,16,34274,1,-37305,8.4403892944,0.2775750203,3.490616388,9999.0310103218
train3681,5411,20673,65967,-33949,-24922,-0.0009240436,-0.1415634818,9999.0767551724,9999.0096074851
train12550,2229,66862,18654,-41354,-176971,-0.0031404217,0.0152534769,9997.7585233288,9997.767872403
train5565,1242,38178,33876,-28621,-43812,-0.0024154589,-0.0088566828,9995.9888165749,9995.9793398186
train2061,3350,27,61294,1,-15137,19.6728358209,0.011641791,6.5301465792,9998.4892841935
train14310,1104,28631,19,-31799,1,0.0027173913,10.402173913,9995.4745143591,4.9286057556
train7644,1062,13974,117816,-40084,-16122,0.0131826742,-0.0037664783,9995.282022148,9995.2858081223
train4359,933,25445,4887,-75326,-160433,0,-0.0010718114,9994.6379718647,9994.646006341
train9559,3044,21705,40370,-32827,-39677,-0.0013140604,0,9998.3540313921,9998.3553976485
train12092,5468,3,54675,1,-33050,2.4350768105,-0.00493782,0.8659147697,9999.0870234194
train1049,851,25859,10734,-32554,-48291,-0.0141010576,0.0082256169,9994.1319604343,9994.1127761333
train6506,915,10197,40530,-75716,-37030,-0.0010928962,0.0010928962,9994.5153250427,9994.5262228171
train763,1237,1,31879,0,-20580,0.4680679062,0,0.4989792996,9995.9529704875
train1560,530,68635,50966,-22487,-16722,-0.0132075472,0.0283018868,9990.5561028014,9990.5646816228
train14925,594,1,31080,0,-27046,0.803030303,-0.0033670034,0.3977092348,9991.5736107404
train4040,7885,60500,612,-59843,-477999,-0.0078630311,0.2974001268,9999.3731671233,9999.3831460445
train13584,573,1,19806,0,-34766,0.2390924956,-0.0017452007,0.4265293356,9991.2735040188
train5363,1589,17523,29659,-138065,-63361,-0.0094398993,0.0062932662,9996.845164807,9996.853749358
train14600,679,4,36514,1,-53904,3.0029455081,-0.0073637703,1.0138903545,9992.6225047669
train10703,1174,71822,7435,-23021,-77761,0.0059625213,0.1729131175,9995.734941612,9995.7329305727
train9092,7686,24373,59171,-14087,-37798,0.0035128806,-0.0048139474,9999.3495774873,9999.3442900741
train9244,7442,22559,56144,-32515,-44776,-0.0017468422,0.0004031174,9999.3278574097,9999.3318059948
train10087,1018,27473,134220,-23535,-8284,-0.0019646365,0,9995.0800640728,9995.0873788676
train9142,4192,32019,19092,-27048,-32272,-0.0054866412,0.0028625954,9998.806758781,9998.81825744
train6748,5731,26700,4695,-75336,-99968,0.0055836678,-0.0008724481,9999.1319475609,9999.1247268929
train738,4059,49074,23585,-36163,-9573,0.0041882237,0.0894308943,9998.7697832952,9998.7628624315
train9760,3176,25103,66382,-48952,-30354,-0.0018891688,0.0097607053,9998.431231671,9998.4277267867
train8070,1265,45748,27042,-25042,-39358,-0.0023715415,0.0118577075,9996.0434851649,9996.0544000635
train11614,1192,13,1,1,0,7.4958053691,0.5016778523,3.6462699322,0.4999971848
train15650,1887,44052,29005,-18517,-174857,-0.0084790673,-0.0021197668,9997.3441776395,9997.3340845491
train3671,1730,18,60722,1,-32836,8.5716763006,-0.0092485549,5.7451468405,9997.1123805929
train6406,6667,88103,22750,-127009,-13443,-0.00779961,0.0040497975,9999.2537173278,9999.2421893819
train5095,6142,31979,9871,-23071,-82335,-0.0024422012,-0.0094431781,9999.1968867586,9999.1855304061
train7251,1228,22057,39149,-44101,-11445,-0.006514658,0.0024429967,9995.9357027368,9995.9368718212
train13153,4441,42555,6,-28099,1,-0.0022517451,2.6518802072,9998.8752361821,1.1237148881
train16078,392,32613,29666,-15190,-18509,0.0025510204,0.0306122449,9987.2902548788,9987.24754906
train4178,556,31143,46586,-29977,-7065,0.0125899281,-0.0035971223,9991.0111097149,9991.0052109829
train8565,540,23174,123693,-33169,-19959,0.0037037037,-0.0296296296,9990.7237065924,9990.7259499262
train7712,746,46134,80699,-27873,-3090,-0.0040214477,0.0013404826,9993.289256271,9993.3076101266
train10411,2396,25749,45949,-76497,-29669,0.0012520868,0.0008347245,9997.9067835307,9997.9121706962
train12485,832,13976,53701,-37260,-22363,-0.0036057692,0.0228365385,9993.9856017467,9993.9908734001
train8585,1135,29301,43473,-12171,-33154,-0.0070484581,0,9995.5936944193,9995.5847436015
train8001,2872,90887,67338,-44766,-37196,0.0031337047,-0.0020891365,9998.2536879266,9998.2576451805
train10568,1468,55839,12767,-32242,-18038,0.0122615804,-0.0081743869,9996.5885833632,9996.6008298401
train15809,5541,1,10,0,1,0.5091138784,5.5511640498,0.4999169303,2.9422261365
train12317,2059,7,20446,1,-47051,2.4390480816,0.1019912579,1.1680339546,9997.5769606592
train11955,6424,32517,225510,-32241,-38545,-0.1193960149,-0.0042029888,9999.1727086142,9999.2266950135
train13043,623,34217,25911,-20933,-30662,-0.0192616372,-0.0016051364,9991.967976398,9991.9684534448
train1983,6025,23,26861,1,-73927,9.8021576763,-0.0044813278,6.4995904365,9999.1660112221
train7623,2327,34050,79617,-40365,-10861,-0.0047271165,-0.0047271165,9997.8536028021,9997.8444663719
train10952,786,32198,9648,-24067,-33127,-0.179389313,-0.0674300254,9993.7257707422,9993.5586418209
train2287,530,25266,25578,-32147,-24504,-0.0132075472,-0.020754717,9990.5507781488,9990.5616686093
train1189,1146,29903,5,-36621,1,0.0034904014,2.9205933682,9995.6192588666,0.4497177673
train15944,702,25869,47924,-70678,-19180,0.0113960114,-0.0028490028,9992.8753377364,9992.8613391552
train7226,2722,25625,32819,-26156,-27840,-0.0077149155,0.0029390154,9998.1699834123,9998.1491120314
train9792,1016,265136,16772,-1144,-86659,-0.0088582677,0.0246062992,9995.0912480089,9995.0753174137
train1442,656,1,30015,0,-34121,0.3033536585,-0.0198170732,0.4597066634,9992.3614566223
train2109,4810,46372,4,-47543,1,0.0016632017,2.4613305613,9998.9655678487,1.422371558
train15769,1153,44983,35961,-23179,-19783,-0.0017346054,0.0381613183,9995.667304232,9995.6755479705
train9282,6745,57907,76291,-13989,-47019,-0.0040029652,0.004744255,9999.2610447721,9999.2572329771
train12266,2908,43229,33611,-29732,-32260,-0.0041265475,0.0020632737,9998.2904218855,9998.2941303943
train12170,4787,11,1977,1,-348949,1.7551702528,0.1094631293,1.7470653143,9998.9813001142
train7843,1501,25292,38694,-37832,-26512,-0.0019986676,0.0053297801,9996.6732845894,9996.6705916533
