SampleID,A->B,B->A,A-B or A|B
train120,0.704435,0.226810,0.068755
train121,0.072652,0.390464,0.536884
train122,0.205493,0.240858,0.553650
train123,0.400157,0.221361,0.378482
train124,0.528173,0.430707,0.041119
train125,0.168380,0.146730,0.684890
train126,0.464269,0.030596,0.505135
train127,0.557868,0.020239,0.421893
train128,0.049535,0.389996,0.560469
train129,0.452394,0.476759,0.070846
train130,0.890135,0.068274,0.041591
train131,0.561478,0.014657,0.423865
train132,0.159643,0.710088,0.130269
train133,0.543790,0.173811,0.282399
train134,0.550412,0.317489,0.132099
train135,0.638018,0.015058,0.346924
train136,0.057258,0.656863,0.285878
train137,0.535988,0.167587,0.296425
train138,0.090300,0.840062,0.069638
train139,0.075159,0.784973,0.139867
train140,0.409755,0.517031,0.073215
train141,0.478430,0.497325,0.024245
train142,0.482093,0.063751,0.454157
train143,0.013998,0.138969,0.847033
train144,0.259138,0.349753,0.391109
train145,0.069555,0.572336,0.358108
train146,0.508710,0.296751,0.194539
train147,0.611681,0.095945,0.292375
train148,0.522770,0.027639,0.449591
train149,0.304251,0.642384,0.053366
train150,0.043355,0.876000,0.080645
train151,0.095331,0.220696,0.683973
train152,0.319724,0.650628,0.029648
train153,0.093564,0.157631,0.748805
train154,0.804794,0.110450,0.084755
train155,0.014057,0.622463,0.363480
train156,0.443518,0.215037,0.341445
train157,0.130953,0.490274,0.378773
train158,0.209948,0.154344,0.635708
train159,0.289808,0.318395,0.391797
train160,0.352751,0.110861,0.536389
train161,0.374073,0.338713,0.287214
train162,0.017070,0.557571,0.425358
train163,0.162803,0.745575,0.091622
train164,0.729557,0.158151,0.112293
train165,0.366603,0.566417,0.066980
train166,0.835842,0.154489,0.009669
train167,0.540260,0.414409,0.045331
train168,0.078575,0.244179,0.677246
train169,0.321190,0.036927,0.641883
train170,0.380764,0.148601,0.470636
train171,0.435432,0.367531,0.197037
train172,0.109159,0.502059,0.388782
train173,0.225317,0.755943,0.018740
train174,0.143480,0.484402,0.372118
train175,0.351598,0.226493,0.421910
train176,0.133170,0.242939,0.623890
train177,0.315440,0.679779,0.004781
train178,0.397054,0.602936,0.000010
train179,0.119843,0.610405,0.269752
train180,0.270735,0.594033,0.135232
train181,0.024253,0.441540,0.534207
train182,0.007085,0.795492,0.197422
train183,0.587774,0.399816,0.012410
train184,0.560636,0.032868,0.406495
train185,0.443058,0.360047,0.196895
train186,0.385183,0.254752,0.360065
train187,0.039046,0.872230,0.088724
train188,0.110744,0.042424,0.846833
train189,0.312566,0.236016,0.451418
train190,0.850023,0.020839,0.129138
train191,0.414826,0.229447,0.355727
train192,0.407195,0.449408,0.143397
train193,0.307650,0.530306,0.162044
train194,0.528762,0.171097,0.300141
train195,0.543115,0.136344,0.320541
train196,0.625955,0.312669,0.061376
train197,0.755129,0.052388,0.192483
train198,0.701021,0.123738,0.175241
train199,0.222039,0.120119,0.657843
train200,0.715869,0.136094,0.148037
train201,0.292420,0.652475,0.055106
train202,0.754436,0.190001,0.055563
train203,0.676928,0.125623,0.197449
train204,0.101566,0.187171,0.711263
train205,0.464660,0.071970,0.463370
train206,0.287986,0.599133,0.112881
train207,0.054033,0.122349,0.823618
train208,0.147445,0.845245,0.007310
train209,0.520416,0.179743,0.299841
train210,0.363738,0.484040,0.152222
train211,0.681256,0.031147,0.287598
train212,0.085133,0.364248,0.550619
train213,0.136435,0.319260,0.544305
train214,0.067891,0.303696,0.628412
train215,0.471787,0.503727,0.024486
train216,0.076709,0.814834,0.108458
train217,0.149791,0.776940,0.073270
train218,0.336180,0.331916,0.331905
train219,0.145915,0.834681,0.019404
train220,0.421205,0.198506,0.380289
train221,0.354416,0.043740,0.601844
train222,0.228302,0.252579,0.519118
train223,0.219517,0.540969,0.239514
train224,0.195453,0.749451,0.055096
train225,0.223062,0.445647,0.331291
train226,0.339772,0.466543,0.193686
train227,0.251449,0.616880,0.131672
train228,0.033014,0.879104,0.087882
train229,0.123801,0.732718,0.143480
train230,0.193305,0.389743,0.416953
train231,0.315605,0.641137,0.043258
train232,0.060374,0.725952,0.213674
train233,0.154383,0.026430,0.819187
train234,0.029579,0.950685,0.019736
train235,0.004855,0.986124,0.009020
train236,0.054528,0.929307,0.016165
train237,0.105233,0.731305,0.163462
train238,0.097750,0.565939,0.336312
train239,0.038390,0.512989,0.448621
train240,0.341971,0.578787,0.079242
train241,0.319800,0.352641,0.327559
train242,0.063455,0.439178,0.497367
train243,0.162024,0.768798,0.069178
train244,0.613599,0.123332,0.263069
train245,0.098651,0.892757,0.008592
train246,0.557935,0.029476,0.412589
train247,0.099650,0.510263,0.390087
train248,0.059666,0.093802,0.846532
train249,0.028562,0.453392,0.518046
train250,0.436770,0.322270,0.240960
train251,0.305708,0.346451,0.347841
train252,0.223324,0.034004,0.742672
train253,0.211957,0.499315,0.288728
train254,0.136081,0.562559,0.301359
train255,0.304038,0.349987,0.345975
train256,0.253734,0.051927,0.694338
train257,0.093230,0.495509,0.411261
train258,0.043411,0.031162,0.925427
train259,0.125358,0.824547,0.050095
train260,0.094683,0.064399,0.840918
train261,0.120842,0.840886,0.038272
train262,0.032481,0.574601,0.392918
train263,0.139431,0.657868,0.202701
train264,0.254786,0.487279,0.257935
train265,0.163562,0.369578,0.466859
train266,0.008974,0.457658,0.533369
train267,0.023034,0.371104,0.605862
train268,0.870931,0.072903,0.056166
train269,0.708885,0.237706,0.053409
train270,0.586558,0.082527,0.330915
train271,0.609343,0.289921,0.100735
train272,0.411499,0.237269,0.351232
train273,0.350864,0.194261,0.454875
train274,0.186704,0.575748,0.237548
train275,0.298931,0.061463,0.639606
train276,0.038788,0.777994,0.183218
train277,0.008041,0.683035,0.308924
train278,0.340647,0.553790,0.105563
train279,0.488119,0.075683,0.436198
train280,0.016290,0.851562,0.132148
train281,0.080443,0.720671,0.198886
train282,0.565229,0.320549,0.114222
train283,0.651365,0.315435,0.033200
train284,0.923187,0.069650,0.007163
train285,0.073410,0.450682,0.475908
train286,0.669179,0.222739,0.108082
train287,0.105159,0.058998,0.835843
train288,0.226031,0.209154,0.564815
train289,0.356398,0.244292,0.399310
train290,0.581279,0.033996,0.384725
train291,0.127876,0.023814,0.848310
train292,0.533322,0.018108,0.448570
train293,0.711499,0.042538,0.245963
train294,0.332416,0.012313,0.655271
train295,0.492356,0.232327,0.275317
train296,0.149991,0.714377,0.135632
train297,0.770633,0.160548,0.068819
train298,0.231591,0.717569,0.050840
train299,0.489475,0.225765,0.284759
train300,0.883431,0.012302,0.104267
train301,0.077042,0.525036,0.397922
train302,0.042519,0.697247,0.260235
train303,0.253279,0.680701,0.066020
train304,0.246606,0.622610,0.130784
train305,0.001524,0.778622,0.219854
train306,0.540666,0.191300,0.268035
train307,0.058446,0.009415,0.932138
train308,0.319760,0.640965,0.039275
train309,0.735339,0.078229,0.186432
train310,0.076600,0.758371,0.165028
train311,0.457281,0.306869,0.235850
train312,0.429494,0.218361,0.352144
train313,0.628830,0.314147,0.057024
train314,0.379647,0.484037,0.136316
train315,0.184357,0.740266,0.075378
train316,0.568560,0.146815,0.284625
train317,0.734800,0.149445,0.115755
train318,0.000262,0.002834,0.996904
train319,0.324477,0.494395,0.181128
train320,0.328130,0.644808,0.027062
train321,0.247990,0.746936,0.005075
train322,0.020860,0.720824,0.258317
train323,0.664045,0.129722,0.206234
train324,0.174503,0.056456,0.769041
train325,0.298128,0.021148,0.680724
train326,0.041405,0.178049,0.780546
train327,0.367868,0.254120,0.378011
train328,0.184911,0.477612,0.337476
train329,0.644527,0.105133,0.250340
train330,0.468317,0.087478,0.444205
train331,0.420308,0.303736,0.275956
train332,0.051802,0.308401,0.639797
train333,0.123427,0.413140,0.463433
train334,0.203848,0.715819,0.080333
train335,0.244677,0.432501,0.322822
train336,0.492781,0.481139,0.026079
train337,0.346553,0.093208,0.560240
train338,0.653097,0.198239,0.148664
train339,0.133848,0.226370,0.639782
train340,0.239620,0.695414,0.064966
train341,0.319941,0.409447,0.270612
train342,0.309082,0.470148,0.220770
train343,0.150604,0.073709,0.775688
train344,0.215621,0.519276,0.265103
train345,0.282627,0.345944,0.371429
train346,0.741701,0.196902,0.061397
train347,0.734710,0.147882,0.117407
train348,0.161310,0.125557,0.713133
train349,0.353246,0.606748,0.040006
train350,0.242064,0.575721,0.182215
train351,0.330770,0.070959,0.598271
train352,0.456683,0.320346,0.222972
train353,0.301776,0.490203,0.208021
train354,0.070024,0.673646,0.256329
train355,0.210108,0.587275,0.202618
train356,0.759350,0.198829,0.041821
train357,0.233780,0.399994,0.366226
train358,0.073596,0.552405,0.373999
train359,0.107958,0.140792,0.751250
train360,0.830510,0.100835,0.068655
train361,0.380783,0.237954,0.381263
train362,0.213658,0.084725,0.701618
train363,0.312470,0.411603,0.275927
train364,0.495192,0.093134,0.411673
train365,0.377015,0.436060,0.186924
train366,0.615178,0.341186,0.043636
train367,0.342220,0.328486,0.329294
train368,0.065309,0.531246,0.403445
train369,0.355963,0.505647,0.138390
train370,0.445037,0.427673,0.127290
train371,0.370382,0.034451,0.595167
train372,0.021575,0.279593,0.698832
train373,0.219325,0.262172,0.518503
train374,0.216050,0.423907,0.360043
train375,0.314255,0.270424,0.415321
train376,0.089157,0.127617,0.783225
train377,0.560175,0.299804,0.140021
train378,0.598038,0.378403,0.023559
train379,0.624330,0.262994,0.112677
train380,0.500563,0.399155,0.100282
train381,0.398183,0.306600,0.295217
train382,0.170518,0.021896,0.807586
train383,0.500577,0.183330,0.316093
train384,0.425697,0.133714,0.440589
train385,0.172108,0.142247,0.685645
train386,0.570494,0.248157,0.181348
train387,0.008150,0.500166,0.491683
train388,0.165120,0.081741,0.753139
train389,0.046577,0.353923,0.599500
train390,0.242666,0.506994,0.250339
train391,0.502780,0.016689,0.480531
train392,0.348971,0.093038,0.557991
train393,0.079094,0.271853,0.649054
train394,0.546212,0.407329,0.046459
train395,0.112964,0.649488,0.237548
train396,0.179219,0.134317,0.686464
train397,0.481387,0.346476,0.172137
train398,0.431753,0.542330,0.025917
train399,0.343029,0.620431,0.036540
train400,0.246012,0.381351,0.372637
train401,0.931767,0.039152,0.029081
train402,0.339303,0.300772,0.359924
train403,0.207352,0.108872,0.683777
train404,0.175762,0.451770,0.372468
train405,0.480332,0.421243,0.098425
train406,0.378993,0.357938,0.263069
train407,0.472009,0.493028,0.034964
train408,0.453941,0.182708,0.363351
train409,0.144153,0.246836,0.609010
train410,0.428345,0.136837,0.434817
train411,0.676713,0.317900,0.005387
train412,0.517799,0.456866,0.025335
train413,0.112345,0.397672,0.489983
train414,0.260441,0.153965,0.585595
train415,0.163031,0.083771,0.753198
train416,0.630220,0.189710,0.180069
train417,0.320397,0.182421,0.497182
train418,0.507676,0.250742,0.241582
train419,0.647018,0.203916,0.149066
train420,0.587453,0.130554,0.281993
train421,0.287658,0.410352,0.301990
train422,0.211524,0.380766,0.407711
train423,0.218640,0.100455,0.680905
train424,0.626337,0.157675,0.215988
train425,0.287466,0.517273,0.195261
train426,0.136500,0.351573,0.511927
train427,0.404718,0.191148,0.404133
train428,0.108010,0.664857,0.227133
train429,0.066619,0.515515,0.417866
train430,0.186096,0.580977,0.232927
train431,0.532241,0.328330,0.139429
train432,0.093837,0.189655,0.716508
train433,0.661186,0.131194,0.207620
train434,0.218784,0.004001,0.777215
train435,0.064768,0.234914,0.700317
train436,0.318409,0.203874,0.477717
train437,0.346466,0.508338,0.145196
train438,0.479435,0.369303,0.151263
train439,0.425071,0.490475,0.084454
train440,0.282161,0.452079,0.265761
train441,0.260102,0.376194,0.363704
train442,0.331506,0.020855,0.647639
train443,0.680170,0.169177,0.150653
train444,0.761968,0.042477,0.195555
train445,0.167856,0.753528,0.078616
train446,0.300508,0.642701,0.056791
train447,0.054119,0.088370,0.857511
train448,0.594583,0.056173,0.349244
train449,0.060906,0.436663,0.502432
train450,0.394537,0.180758,0.424706
train451,0.815660,0.058755,0.125586
train452,0.643394,0.208779,0.147827
train453,0.556789,0.277379,0.165832
train454,0.673279,0.196135,0.130586
train455,0.623489,0.346844,0.029666
train456,0.688828,0.030945,0.280227
train457,0.649447,0.163327,0.187226
train458,0.524687,0.247319,0.227994
train459,0.624081,0.126132,0.249787
train460,0.272222,0.697959,0.029819
train461,0.147802,0.456049,0.396149
train462,0.518723,0.461013,0.020264
train463,0.362134,0.282068,0.355799
train464,0.274351,0.257891,0.467758
train465,0.003429,0.604843,0.391728
train466,0.295363,0.039667,0.664970
train467,0.898637,0.040552,0.060811
train468,0.166432,0.385860,0.447708
train469,0.217428,0.277421,0.505151
train470,0.596684,0.114272,0.289045
train471,0.069062,0.552913,0.378025
train472,0.001358,0.883660,0.114982
train473,0.472175,0.209456,0.318369
train474,0.110111,0.497660,0.392229
train475,0.390424,0.541793,0.067783
train476,0.430783,0.152082,0.417134
train477,0.669131,0.047446,0.283423
train478,0.284675,0.109185,0.606140
train479,0.467769,0.427888,0.104343
train480,0.125967,0.249141,0.624892
train481,0.209379,0.017693,0.772929
train482,0.223186,0.370772,0.406042
train483,0.009403,0.013366,0.977231
train484,0.262474,0.213717,0.523810
train485,0.473621,0.025235,0.501143
train486,0.016943,0.016088,0.966969
train487,0.569038,0.341055,0.089907
train488,0.475943,0.203970,0.320087
train489,0.542571,0.231283,0.226146
train490,0.318544,0.503126,0.178330
train491,0.295179,0.086932,0.617888
train492,0.101977,0.812405,0.085618
train493,0.057370,0.184192,0.758437
train494,0.136761,0.258370,0.604869
train495,0.491608,0.438349,0.070043
train496,0.488234,0.397868,0.113898
train497,0.423280,0.126801,0.449919
train498,0.328750,0.287710,0.383540
train499,0.403335,0.335691,0.260974
train500,0.148495,0.016773,0.834733
train501,0.209352,0.514535,0.276114
train502,0.550535,0.228569,0.220895
train503,0.685388,0.023013,0.291599
train504,0.066965,0.819614,0.113421
train505,0.497229,0.377866,0.124904
train506,0.811500,0.072731,0.115769
train507,0.311409,0.626962,0.061628
train508,0.576534,0.021256,0.402210
train509,0.047611,0.383143,0.569245
train510,0.019441,0.972202,0.008356
train511,0.570346,0.074115,0.355539
train512,0.232103,0.585040,0.182857
train513,0.002566,0.741098,0.256336
train514,0.538349,0.281904,0.179747
train515,0.592326,0.128040,0.279634
train516,0.099887,0.568965,0.331147
train517,0.781302,0.179426,0.039272
train518,0.200861,0.448642,0.350497
train519,0.656042,0.169018,0.174941
train520,0.326410,0.076798,0.596792
train521,0.341613,0.201448,0.456939
train522,0.063292,0.033582,0.903125
train523,0.301790,0.318054,0.380156
train524,0.044068,0.635948,0.319985
train525,0.234879,0.206574,0.558547
train526,0.197599,0.399543,0.402858
train527,0.648814,0.160759,0.190427
train528,0.275850,0.689321,0.034829
train529,0.520842,0.008776,0.470382
train530,0.526445,0.446517,0.027037
train531,0.592159,0.388178,0.019663
train532,0.033899,0.595888,0.370213
train533,0.334739,0.418210,0.247051
train534,0.218517,0.323524,0.457959
train535,0.453090,0.284882,0.262028
train536,0.187897,0.585308,0.226796
train537,0.561476,0.262581,0.175943
train538,0.554825,0.149049,0.296126
train539,0.249249,0.609639,0.141111
train540,0.319391,0.622939,0.057670
train541,0.397298,0.348606,0.254096
train542,0.074632,0.446367,0.479001
train543,0.384249,0.313313,0.302439
train544,0.477356,0.448768,0.073877
train545,0.343575,0.456839,0.199586
train546,0.104704,0.016297,0.878998
train547,0.202771,0.198471,0.598758
train548,0.153230,0.484481,0.362289
train549,0.849901,0.137572,0.012526
train550,0.129875,0.405982,0.464143
train551,0.363271,0.239521,0.397208
train552,0.256569,0.619072,0.124360
train553,0.102960,0.246479,0.650561
train554,0.743538,0.041524,0.214937
train555,0.286898,0.328849,0.384253
train556,0.092879,0.187874,0.719247
train557,0.559141,0.326445,0.114414
train558,0.888828,0.024725,0.086448
train559,0.050287,0.778912,0.170801
train560,0.326964,0.290433,0.382603
train561,0.306895,0.071817,0.621289
train562,0.148174,0.699761,0.152064
train563,0.044720,0.895272,0.060008
train564,0.241567,0.290874,0.467559
train565,0.195423,0.554791,0.249786
train566,0.196700,0.115867,0.687434
train567,0.402767,0.464719,0.132514
train568,0.542828,0.315627,0.141545
train569,0.565342,0.321350,0.113308
train570,0.449077,0.470718,0.080204
train571,0.059231,0.576743,0.364027
train572,0.296455,0.083575,0.619970
train573,0.152033,0.100555,0.747412
train574,0.330097,0.487867,0.182036
train575,0.542839,0.424992,0.032170
train576,0.376035,0.250528,0.373437
train577,0.281062,0.223403,0.495535
train578,0.251458,0.143489,0.605053
train579,0.143421,0.602570,0.254009
train580,0.300133,0.299300,0.400567
train581,0.256904,0.257400,0.485696
train582,0.337920,0.046136,0.615944
train583,0.073619,0.349170,0.577210
train584,0.029539,0.276364,0.694097
train585,0.236781,0.168306,0.594913
train586,0.193451,0.776137,0.030412
train587,0.546957,0.258980,0.194062
train588,0.172577,0.767572,0.059851
train589,0.148765,0.755227,0.096008
train590,0.056024,0.107322,0.836654
train591,0.815600,0.108317,0.076083
train592,0.416462,0.218856,0.364682
train593,0.260131,0.526413,0.213456
train594,0.193119,0.665769,0.141112
train595,0.593922,0.339285,0.066793
train596,0.114079,0.354976,0.530945
train597,0.259320,0.091174,0.649506
train598,0.327336,0.656239,0.016425
train599,0.479342,0.368751,0.151906
train600,0.347930,0.630868,0.021202
train601,0.047889,0.693943,0.258168
train602,0.480192,0.424948,0.094860
train603,0.039790,0.826396,0.133815
train604,0.359955,0.019663,0.620381
train605,0.604239,0.288540,0.107221
train606,0.725595,0.226248,0.048157
train607,0.894399,0.026477,0.079125
train608,0.055452,0.055921,0.888627
train609,0.501286,0.303322,0.195392
train610,0.126450,0.097510,0.776040
train611,0.299226,0.515207,0.185567
train612,0.099446,0.269782,0.630772
train613,0.241193,0.217513,0.541295
train614,0.696599,0.069902,0.233499
train615,0.367598,0.429673,0.202728
train616,0.234876,0.572523,0.192601
train617,0.724703,0.072263,0.203035
train618,0.292743,0.474414,0.232843
train619,0.661374,0.036250,0.302376
train620,0.377841,0.582124,0.040035
train621,0.545419,0.201895,0.252686
train622,0.231163,0.618540,0.150298
train623,0.487392,0.288096,0.224512
train624,0.327725,0.031442,0.640833
train625,0.423628,0.237911,0.338461
train626,0.203815,0.064018,0.732167
train627,0.626653,0.309666,0.063680
train628,0.702464,0.275855,0.021681
train629,0.389056,0.305287,0.305656
train630,0.052106,0.896782,0.051112
train631,0.016795,0.616428,0.366777
train632,0.344372,0.247352,0.408276
train633,0.410018,0.461000,0.128983
train634,0.230515,0.047427,0.722058
train635,0.526485,0.240086,0.233430
train636,0.100053,0.151321,0.748626
train637,0.009412,0.795162,0.195426
train638,0.066420,0.402316,0.531264
train639,0.734571,0.002855,0.262574
train640,0.634943,0.017707,0.347350
train641,0.437219,0.285001,0.277780
train642,0.050821,0.650045,0.299134
train643,0.067042,0.845813,0.087145
train644,0.528755,0.422938,0.048307
train645,0.448398,0.053764,0.497838
train646,0.407672,0.227563,0.364765
train647,0.553729,0.054491,0.391780
train648,0.117383,0.230836,0.651781
train649,0.158442,0.118838,0.722720
train650,0.046617,0.878282,0.075101
train651,0.439437,0.295139,0.265425
train652,0.145733,0.663279,0.190987
train653,0.428751,0.054347,0.516902
train654,0.018302,0.586235,0.395463
train655,0.816624,0.171988,0.011387
train656,0.246361,0.269753,0.483886
train657,0.496810,0.365953,0.137237
train658,0.243425,0.642942,0.113633
train659,0.335617,0.049781,0.614601
train660,0.239918,0.413073,0.347009
train661,0.335967,0.051120,0.612913
train662,0.167702,0.144602,0.687696
train663,0.045453,0.223894,0.730653
train664,0.159507,0.624756,0.215737
train665,0.093416,0.504751,0.401834
train666,0.644143,0.101850,0.254007
train667,0.420466,0.338321,0.241214
train668,0.516633,0.182154,0.301213
train669,0.104644,0.830759,0.064597
train670,0.192014,0.627404,0.180582
train671,0.389907,0.318662,0.291431
train672,0.061193,0.451692,0.487115
train673,0.499846,0.457639,0.042515
train674,0.528839,0.466423,0.004739
train675,0.334156,0.453994,0.211850
train676,0.029689,0.549415,0.420896
train677,0.023729,0.047122,0.929149
train678,0.048568,0.563217,0.388215
train679,0.385135,0.030109,0.584755
train680,0.220472,0.702803,0.076725
train681,0.138099,0.675224,0.186678
train682,0.432878,0.494061,0.073061
train683,0.056782,0.584444,0.358774
train684,0.215027,0.275763,0.509210
train685,0.033095,0.930467,0.036438
train686,0.108153,0.785343,0.106504
train687,0.128762,0.286768,0.584470
train688,0.414701,0.493971,0.091328
train689,0.807954,0.049457,0.142589
train690,0.335795,0.090125,0.574080
train691,0.314462,0.680581,0.004957
train692,0.183076,0.131960,0.684965
train693,0.295291,0.702540,0.002169
train694,0.224612,0.081156,0.694233
train695,0.144815,0.749381,0.105803
train696,0.458274,0.406393,0.135333
train697,0.237648,0.503503,0.258849
train698,0.587126,0.104283,0.308592
train699,0.630338,0.092197,0.277466
train700,0.008337,0.973775,0.017888
train701,0.047168,0.197032,0.755801
train702,0.696247,0.207187,0.096566
train703,0.102921,0.725492,0.171588
train704,0.048795,0.286802,0.664403
train705,0.374437,0.339624,0.285939
train706,0.342201,0.156062,0.501736
train707,0.093562,0.280173,0.626266
train708,0.169257,0.459977,0.370766
train709,0.084070,0.703960,0.211970
train710,0.337340,0.584096,0.078564
train711,0.645554,0.195116,0.159331
train712,0.224402,0.393070,0.382528
train713,0.425578,0.249017,0.325406
train714,0.619899,0.032601,0.347500
train715,0.870133,0.086396,0.043471
train716,0.527348,0.256505,0.216146
train717,0.647746,0.189149,0.163104
train718,0.278790,0.567153,0.154057
train719,0.533022,0.441900,0.025077
train720,0.473341,0.350761,0.175898
train721,0.078472,0.552336,0.369191
train722,0.310258,0.013741,0.676001
train723,0.451475,0.323722,0.224804
train724,0.325421,0.204703,0.469875
train725,0.443993,0.503257,0.052750
train726,0.238699,0.255217,0.506084
train727,0.553414,0.014398,0.432188
train728,0.126732,0.311647,0.561620
train729,0.571287,0.162125,0.266588
train730,0.551357,0.107101,0.341542
train731,0.346618,0.182822,0.470559
train732,0.150730,0.117697,0.731573
train733,0.036556,0.826040,0.137403
train734,0.080445,0.182836,0.736719
train735,0.333755,0.319755,0.346490
train736,0.741659,0.078413,0.179928
train737,0.082921,0.711996,0.205084
train738,0.235446,0.731052,0.033502
train739,0.477575,0.127160,0.395264
train740,0.371000,0.145205,0.483795
train741,0.451975,0.502402,0.045623
train742,0.436965,0.052206,0.510828
train743,0.301400,0.691455,0.007146
train744,0.371309,0.103619,0.525072
train745,0.278705,0.048884,0.672411
train746,0.653977,0.059433,0.286589
train747,0.034525,0.712048,0.253427
train748,0.216801,0.061018,0.722181
train749,0.002805,0.888293,0.108902
train750,0.368213,0.581143,0.050644
train751,0.271095,0.165971,0.562933
train752,0.678483,0.274422,0.047095
train753,0.092811,0.102270,0.804920
train754,0.000072,0.599413,0.400515
train755,0.225704,0.422692,0.351604
train756,0.102168,0.287427,0.610405
train757,0.708734,0.100965,0.190301
train758,0.438077,0.433708,0.128214
train759,0.371737,0.544584,0.083678
train760,0.355186,0.277656,0.367158
train761,0.003784,0.527424,0.468792
train762,0.779480,0.124149,0.096371
train763,0.775618,0.080448,0.143935
train764,0.139170,0.840988,0.019841
train765,0.290662,0.140517,0.568820
train766,0.440619,0.447468,0.111914
train767,0.056401,0.063271,0.880328
train768,0.600603,0.215848,0.183549
train769,0.640909,0.102476,0.256615
train770,0.620430,0.159159,0.220412
train771,0.032875,0.434283,0.532842
train772,0.147781,0.447474,0.404745
train773,0.423785,0.539390,0.036825
train774,0.075721,0.097271,0.827009
train775,0.192224,0.007021,0.800755
