SampleID,A->B,B->A,A-B,A|B
train62,0.442840,0.010523,0.080264,0.466372
train63,0.016205,0.353712,0.376984,0.253098
train64,0.795713,0.034146,0.094492,0.075648
train65,0.029152,0.307672,0.539458,0.123718
train66,0.506454,0.292843,0.194052,0.006651
train67,0.539741,0.113760,0.168615,0.177884
train68,0.174487,0.099509,0.063241,0.662762
train69,0.035209,0.046110,0.042044,0.876637
train70,0.730314,0.016643,0.087864,0.165180
train71,0.134660,0.047758,0.310364,0.507219
train72,0.171749,0.339432,0.172710,0.316109
train73,0.363094,0.245103,0.262218,0.129584
train74,0.486825,0.262917,0.125088,0.125170
train75,0.082199,0.147347,0.526941,0.243513
train76,0.145306,0.479031,0.225323,0.150339
train77,0.132656,0.371378,0.200817,0.295149
train78,0.287058,0.249882,0.458701,0.004359
train79,0.619088,0.150265,0.051581,0.179066
train80,0.427019,0.292703,0.110455,0.169823
train81,0.042008,0.224926,0.483252,0.249815
train82,0.038449,0.592324,0.362372,0.006855
train83,0.055842,0.208221,0.136509,0.599428
train84,0.064759,0.057539,0.231905,0.645797
train85,0.133178,0.222570,0.264627,0.379624
train86,0.406220,0.300709,0.059808,0.233262
train87,0.216319,0.350739,0.196600,0.236342
train88,0.179676,0.274233,0.068251,0.477841
train89,0.261658,0.065712,0.460094,0.212536
train90,0.118204,0.277736,0.274351,0.329709
train91,0.440571,0.397142,0.040576,0.121710
train92,0.446112,0.028085,0.302894,0.222909
train93,0.070609,0.078496,0.500289,0.350606
train94,0.039327,0.490721,0.455227,0.014726
train95,0.010967,0.102966,0.518887,0.367180
train96,0.010391,0.274331,0.076760,0.638518
train97,0.085873,0.165683,0.115589,0.632855
train98,0.054093,0.603782,0.175993,0.166132
train99,0.003123,0.754585,0.068013,0.174279
train100,0.090599,0.126014,0.449779,0.333608
train101,0.230232,0.498343,0.152853,0.118572
train102,0.057973,0.046424,0.285675,0.609927
train103,0.470293,0.389532,0.016510,0.123665
train104,0.790640,0.045274,0.132590,0.031495
train105,0.022866,0.168690,0.657727,0.150717
train106,0.488712,0.250968,0.220680,0.039640
train107,0.253310,0.112352,0.313690,0.320649
train108,0.274467,0.354518,0.078551,0.292464
train109,0.463777,0.015339,0.410218,0.110666
train110,0.492917,0.150412,0.209797,0.146875
train111,0.019717,0.426790,0.142812,0.410681
train112,0.234591,0.372741,0.130646,0.262022
train113,0.174050,0.213302,0.589923,0.022725
train114,0.040040,0.166696,0.273299,0.519965
train115,0.386000,0.164443,0.024837,0.424720
train116,0.135732,0.339435,0.500668,0.024165
train117,0.163805,0.242870,0.496718,0.096606
train118,0.323333,0.166573,0.068549,0.441545
train119,0.049742,0.206721,0.613334,0.130203
train120,0.097901,0.001326,0.292549,0.608224
train121,0.134320,0.021563,0.564832,0.279285
train122,0.041590,0.073274,0.239056,0.646079
train123,0.026682,0.859373,0.090824,0.023122
train124,0.073657,0.263218,0.398239,0.264886
train125,0.087302,0.508999,0.036109,0.367590
train126,0.018779,0.265037,0.053836,0.662348
train127,0.010398,0.072710,0.786952,0.129939
train128,0.532506,0.411526,0.008858,0.047110
train129,0.182905,0.006376,0.678348,0.132370
train130,0.456838,0.063605,0.229873,0.249684
train131,0.062182,0.006739,0.377293,0.553785
train132,0.534815,0.262955,0.122201,0.080029
train133,0.186922,0.500357,0.240232,0.072488
train134,0.623599,0.129780,0.085988,0.160634
train135,0.085111,0.284518,0.302181,0.328189
train136,0.092144,0.497600,0.099173,0.311083
train137,0.327275,0.311296,0.251871,0.109558
train138,0.092035,0.506060,0.129549,0.272357
train139,0.163632,0.453666,0.102099,0.280603
train140,0.140776,0.312216,0.268228,0.278780
train141,0.143697,0.021502,0.250018,0.584783
train142,0.425841,0.165208,0.003875,0.405076
train143,0.292253,0.222617,0.463114,0.022017
train144,0.399064,0.059156,0.020035,0.521744
train145,0.016981,0.538597,0.243417,0.201005
train146,0.192017,0.253797,0.342615,0.211571
train147,0.026917,0.140320,0.162698,0.670065
train148,0.149514,0.230330,0.042665,0.577491
train149,0.156521,0.044275,0.089719,0.709485
train150,0.672428,0.093068,0.001026,0.233479
train151,0.015289,0.432106,0.307910,0.244695
train152,0.774721,0.083525,0.138146,0.003608
train153,0.237435,0.127571,0.445338,0.189657
train154,0.122064,0.693972,0.155784,0.028180
train155,0.445829,0.007640,0.534147,0.012383
train156,0.477218,0.375688,0.023812,0.123282
train157,0.141550,0.362779,0.303809,0.191862
train158,0.446352,0.179857,0.200323,0.173469
train159,0.448615,0.167479,0.228313,0.155593
train160,0.146143,0.518388,0.005776,0.329692
train161,0.480839,0.303808,0.001063,0.214289
train162,0.253126,0.727741,0.011204,0.007928
train163,0.039957,0.077963,0.653129,0.228951
train164,0.284686,0.009150,0.425860,0.280305
train165,0.191419,0.179613,0.149332,0.479636
train166,0.120257,0.383998,0.369879,0.125865
train167,0.156240,0.406947,0.044097,0.392716
train168,0.209013,0.172927,0.605840,0.012220
train169,0.294427,0.288971,0.351213,0.065389
train170,0.436965,0.282099,0.197333,0.083602
train171,0.323085,0.521039,0.100115,0.055761
train172,0.306968,0.217946,0.101190,0.373896
train173,0.494564,0.121441,0.296889,0.087106
train174,0.631441,0.255426,0.085116,0.028017
train175,0.020557,0.466761,0.138680,0.374002
train176,0.247345,0.537579,0.141258,0.073818
train177,0.114124,0.434159,0.321348,0.130369
train178,0.292834,0.205979,0.387314,0.113873
train179,0.204642,0.274696,0.452607,0.068056
train180,0.528681,0.282944,0.146736,0.041639
train181,0.185618,0.428405,0.209152,0.176825
train182,0.280569,0.541319,0.071278,0.106834
train183,0.717397,0.144152,0.003158,0.135292
train184,0.114074,0.000174,0.815398,0.070355
train185,0.052622,0.632132,0.210891,0.104356
train186,0.256164,0.257714,0.353323,0.132799
train187,0.098888,0.253571,0.222252,0.425289
train188,0.080938,0.180604,0.690159,0.048299
train189,0.051713,0.070120,0.720058,0.158109
train190,0.181098,0.617566,0.048708,0.152628
train191,0.332002,0.037866,0.479492,0.150640
train192,0.062268,0.637121,0.251164,0.049448
train193,0.034645,0.005854,0.585829,0.373672
train194,0.073133,0.554391,0.116842,0.255634
train195,0.258297,0.443125,0.032727,0.265852
train196,0.463089,0.224141,0.067114,0.245655
train197,0.555754,0.231180,0.116460,0.096605
train198,0.088318,0.007070,0.730646,0.173967
train199,0.087394,0.681885,0.088678,0.142043
train200,0.350957,0.216041,0.171213,0.261789
train201,0.604204,0.049181,0.303232,0.043384
train202,0.653027,0.301654,0.025474,0.019845
train203,0.193328,0.303980,0.023659,0.479033
train204,0.079484,0.591772,0.196331,0.132413
train205,0.001250,0.021222,0.249669,0.727858
train206,0.093632,0.459936,0.039157,0.407276
train207,0.257394,0.062714,0.651854,0.028037
train208,0.125691,0.796904,0.016119,0.061286
train209,0.361089,0.186099,0.012120,0.440692
train210,0.044316,0.516367,0.369327,0.069990
train211,0.117714,0.304302,0.538926,0.039059
train212,0.313661,0.436156,0.146565,0.103617
train213,0.304860,0.404925,0.097720,0.192495
train214,0.162686,0.252826,0.090679,0.493810
train215,0.176205,0.087786,0.660204,0.075805
train216,0.265288,0.006588,0.202867,0.525257
train217,0.179897,0.056428,0.374867,0.388809
train218,0.006532,0.287295,0.570885,0.135288
train219,0.069719,0.672909,0.250547,0.006825
train220,0.558832,0.015192,0.370974,0.055002
train221,0.336596,0.307970,0.225359,0.130074
train222,0.423505,0.344743,0.181478,0.050273
train223,0.033261,0.193531,0.565605,0.207603
train224,0.485339,0.060877,0.268021,0.185762
train225,0.203574,0.370712,0.059198,0.366515
train226,0.803773,0.078325,0.100791,0.017111
train227,0.261501,0.126434,0.317047,0.295018
train228,0.219849,0.075874,0.666516,0.037761
train229,0.566296,0.140147,0.136984,0.156573
train230,0.253254,0.501841,0.188265,0.056639
train231,0.336351,0.142778,0.194590,0.326281
train232,0.115022,0.015507,0.385953,0.483518
train233,0.005103,0.171121,0.428553,0.395223
train234,0.272843,0.390147,0.311056,0.025954
train235,0.517877,0.285351,0.035775,0.160997
train236,0.061627,0.267812,0.101476,0.569084
train237,0.382770,0.041425,0.333431,0.242375
train238,0.334804,0.458106,0.103382,0.103709
train239,0.035099,0.497349,0.157506,0.310045
train240,0.633415,0.208607,0.071724,0.086254
train241,0.371520,0.077442,0.404467,0.146570
train242,0.635976,0.066777,0.181242,0.116005
train243,0.409326,0.149728,0.349273,0.091673
train244,0.062252,0.566609,0.026522,0.344616
train245,0.470677,0.220622,0.231070,0.077631
train246,0.499688,0.031021,0.212331,0.256960
train247,0.148187,0.012475,0.777232,0.062106
train248,0.087440,0.367983,0.303382,0.241195
train249,0.794744,0.154713,0.039197,0.011345
train250,0.175497,0.012623,0.793306,0.018574
train251,0.048928,0.440486,0.150351,0.360235
train252,0.238173,0.346947,0.102308,0.312571
train253,0.197990,0.253708,0.199014,0.349289
train254,0.112950,0.179732,0.302383,0.404936
train255,0.380257,0.496437,0.011116,0.112190
train256,0.099671,0.054992,0.833661,0.011676
train257,0.046602,0.656137,0.274388,0.022873
train258,0.097402,0.195881,0.300892,0.405824
train259,0.192614,0.266642,0.494705,0.046040
train260,0.198243,0.181689,0.067839,0.552229
train261,0.590312,0.066366,0.306423,0.036899
train262,0.067198,0.295366,0.120968,0.516468
train263,0.024405,0.274780,0.139473,0.561342
train264,0.764810,0.035258,0.011245,0.188687
train265,0.124533,0.163249,0.552512,0.159705
train266,0.298623,0.006653,0.047726,0.646998
train267,0.028546,0.019649,0.385129,0.566676
train268,0.076496,0.091313,0.322685,0.509506
train269,0.141180,0.406183,0.159833,0.292804
train270,0.461026,0.307777,0.102969,0.128228
train271,0.003859,0.052100,0.648425,0.295616
train272,0.323381,0.212575,0.341573,0.122472
train273,0.167482,0.041748,0.368907,0.421863
train274,0.009295,0.098476,0.218567,0.673662
train275,0.308790,0.040990,0.001119,0.649101
train276,0.128800,0.696676,0.098066,0.076457
train277,0.107136,0.273013,0.273657,0.346195
train278,0.175572,0.381896,0.197788,0.244743
train279,0.099077,0.596962,0.250793,0.053167
train280,0.085265,0.301736,0.589993,0.023006
train281,0.117213,0.433885,0.075427,0.373474
train282,0.055140,0.249213,0.142687,0.552959
train283,0.266127,0.065085,0.110759,0.558030
train284,0.017512,0.107173,0.298726,0.576588
train285,0.403268,0.176490,0.275555,0.144687
train286,0.695365,0.036569,0.040614,0.227453
train287,0.053459,0.311821,0.192085,0.442635
train288,0.150091,0.195318,0.100903,0.553688
train289,0.329255,0.216347,0.159436,0.294962
train290,0.101102,0.685790,0.066898,0.146211
train291,0.148067,0.305768,0.532624,0.013541
train292,0.279072,0.507420,0.148641,0.064867
train293,0.148378,0.512239,0.004651,0.334732
train294,0.457063,0.433872,0.047081,0.061984
train295,0.224901,0.226316,0.338520,0.210262
train296,0.204989,0.264051,0.148109,0.382851
train297,0.138484,0.333376,0.480502,0.047638
train298,0.040933,0.338318,0.322700,0.298048
train299,0.157785,0.087777,0.126238,0.628200
train300,0.055590,0.674280,0.176425,0.093705
train301,0.053759,0.388392,0.526259,0.031590
train302,0.015779,0.066668,0.916717,0.000836
train303,0.557206,0.118113,0.016269,0.308412
train304,0.048566,0.210218,0.542177,0.199039
train305,0.108057,0.071190,0.755111,0.065642
train306,0.711088,0.132989,0.142033,0.013890
train307,0.305216,0.100806,0.202988,0.390990
train308,0.308331,0.235455,0.101032,0.355182
train309,0.576930,0.299410,0.053450,0.070210
train310,0.219385,0.022838,0.542447,0.215329
train311,0.241300,0.300769,0.198223,0.259708
train312,0.493118,0.021160,0.174666,0.311056
train313,0.008695,0.479461,0.454552,0.057292
train314,0.548203,0.210369,0.149915,0.091513
train315,0.249458,0.100024,0.300089,0.350430
train316,0.001383,0.392691,0.590469,0.015458
train317,0.150725,0.119361,0.224047,0.505867
train318,0.083308,0.423117,0.285960,0.207615
train319,0.300619,0.017029,0.245545,0.436807
train320,0.392947,0.073614,0.332545,0.200894
train321,0.248873,0.186239,0.439746,0.125142
train322,0.356951,0.098106,0.147494,0.397449
train323,0.373900,0.154786,0.362624,0.108690
train324,0.454461,0.046077,0.420350,0.079112
train325,0.227259,0.385130,0.289880,0.097731
train326,0.332719,0.162180,0.325548,0.179553
train327,0.284805,0.177776,0.311322,0.226096
train328,0.048446,0.201102,0.320022,0.430430
train329,0.018063,0.377029,0.314188,0.290720
train330,0.044216,0.418960,0.432889,0.103935
train331,0.336814,0.331629,0.088942,0.242615
train332,0.039644,0.220854,0.510518,0.228984
train333,0.200981,0.354975,0.152712,0.291332
train334,0.322830,0.341937,0.105594,0.229638
train335,0.241762,0.238782,0.283717,0.235739
train336,0.222535,0.060629,0.023838,0.692998
train337,0.284964,0.588235,0.005587,0.121213
train338,0.517180,0.279623,0.078247,0.124949
train339,0.023447,0.593306,0.232516,0.150732
train340,0.082539,0.287466,0.130748,0.499247
train341,0.324080,0.325413,0.010609,0.339898
train342,0.129535,0.382603,0.408640,0.079221
train343,0.123859,0.484075,0.292736,0.099330
train344,0.262844,0.106360,0.285203,0.345593
train345,0.068545,0.049286,0.858183,0.023986
train346,0.393678,0.453300,0.143957,0.009065
train347,0.449782,0.204311,0.044700,0.301207
train348,0.369884,0.281478,0.260079,0.088558
train349,0.264452,0.152141,0.130588,0.452819
train350,0.099060,0.149365,0.189884,0.561692
train351,0.088377,0.104819,0.058857,0.747947
train352,0.060406,0.256986,0.661120,0.021488
train353,0.171302,0.037480,0.024220,0.766998
train354,0.149390,0.461696,0.158568,0.230346
train355,0.200475,0.444740,0.002195,0.352590
train356,0.125120,0.767276,0.062828,0.044776
train357,0.430679,0.044698,0.078630,0.445992
train358,0.010203,0.361381,0.567937,0.060479
train359,0.156321,0.477268,0.022249,0.344162
train360,0.314995,0.177330,0.320025,0.187649
train361,0.148580,0.061905,0.491570,0.297945
train362,0.012260,0.553176,0.136723,0.297842
train363,0.265209,0.300245,0.278688,0.155858
train364,0.471432,0.203035,0.282838,0.042695
train365,0.450364,0.143941,0.404316,0.001379
train366,0.356607,0.292781,0.230024,0.120588
train367,0.064051,0.280258,0.427515,0.228177
train368,0.258475,0.064208,0.279561,0.397756
train369,0.096205,0.245176,0.382393,0.276227
train370,0.412411,0.012397,0.270314,0.304878
train371,0.105751,0.207200,0.063379,0.623671
train372,0.372606,0.065304,0.454231,0.107858
train373,0.050398,0.047692,0.070286,0.831623
train374,0.102248,0.284828,0.588156,0.024768
train375,0.418850,0.056679,0.288358,0.236113
train376,0.497823,0.317566,0.002548,0.182064
train377,0.459475,0.362225,0.031736,0.146564
train378,0.173810,0.133486,0.332076,0.360627
train379,0.039293,0.151627,0.715678,0.093402
train380,0.070422,0.029571,0.616553,0.283455
train381,0.605917,0.083247,0.079611,0.231225
train382,0.456291,0.221734,0.280038,0.041936
train383,0.586450,0.034021,0.329691,0.049838
train384,0.232447,0.362631,0.339318,0.065603
train385,0.093388,0.477627,0.195194,0.233791
train386,0.598244,0.057997,0.257897,0.085863
train387,0.262231,0.192304,0.335756,0.209708
train388,0.064345,0.040108,0.306502,0.589045
train389,0.287453,0.377320,0.010203,0.325024
train390,0.100735,0.194893,0.607982,0.096390
train391,0.442034,0.055348,0.181567,0.321051
train392,0.004935,0.261222,0.057670,0.676173
train393,0.147861,0.116289,0.199074,0.536776
train394,0.569385,0.262525,0.081073,0.087017
train395,0.132273,0.327334,0.117784,0.422608
train396,0.323250,0.034179,0.093860,0.548711
train397,0.012527,0.046469,0.781846,0.159157
train398,0.314833,0.390630,0.174624,0.119913
train399,0.403308,0.455726,0.051558,0.089408
train400,0.250270,0.636510,0.100026,0.013193
train401,0.296253,0.152399,0.279009,0.272339
train402,0.179139,0.282327,0.094951,0.443583
train403,0.587977,0.029636,0.029490,0.352897
train404,0.200954,0.091865,0.460030,0.247151
train405,0.063468,0.308819,0.284215,0.343498
train406,0.100554,0.102164,0.273620,0.523661
train407,0.403445,0.570210,0.010093,0.016253
train408,0.366020,0.581066,0.015961,0.036954
train409,0.177440,0.137761,0.597534,0.087266
train410,0.063400,0.480492,0.123037,0.333071
train411,0.143910,0.073057,0.272471,0.510562
train412,0.176280,0.052281,0.178513,0.592926
train413,0.824568,0.019542,0.009573,0.146318
train414,0.520000,0.009596,0.442150,0.028254
train415,0.356570,0.266032,0.224672,0.152727
train416,0.007395,0.078539,0.011659,0.902407
train417,0.070783,0.811920,0.054927,0.062370
train418,0.197324,0.388370,0.034892,0.379414
train419,0.339515,0.611722,0.012703,0.036060
train420,0.493142,0.102657,0.009047,0.395153
train421,0.053827,0.476233,0.457001,0.012938
train422,0.442104,0.041501,0.163138,0.353256
train423,0.411899,0.063363,0.486475,0.038262
train424,0.227798,0.168800,0.236213,0.367189
train425,0.006919,0.488221,0.034852,0.470008
train426,0.390693,0.242586,0.276302,0.090419
train427,0.247391,0.319145,0.204812,0.228652
train428,0.549417,0.170482,0.217623,0.062477
train429,0.027705,0.641726,0.297873,0.032695
train430,0.425567,0.090350,0.260333,0.223750
train431,0.029185,0.681924,0.131903,0.156987
train432,0.173764,0.255134,0.264574,0.306528
train433,0.174941,0.224921,0.426317,0.173821
train434,0.294981,0.130835,0.568197,0.005987
train435,0.018543,0.211577,0.310443,0.459437
train436,0.047344,0.451253,0.095584,0.405820
train437,0.230706,0.580452,0.001243,0.187599
train438,0.264997,0.186161,0.227058,0.321783
train439,0.058871,0.110351,0.174866,0.655913
train440,0.244470,0.114614,0.126507,0.514409
train441,0.213565,0.487584,0.006112,0.292739
train442,0.403492,0.350659,0.028258,0.217591
train443,0.683138,0.077095,0.050005,0.189762
train444,0.071685,0.361753,0.407305,0.159257
train445,0.364009,0.294261,0.193646,0.148084
train446,0.010574,0.643287,0.022565,0.323574
train447,0.205565,0.593774,0.016635,0.184027
train448,0.195559,0.094225,0.662064,0.048151
train449,0.035817,0.142434,0.721624,0.100125
train450,0.371847,0.310339,0.133789,0.184024
train451,0.066657,0.245270,0.420267,0.267806
train452,0.106218,0.126120,0.402136,0.365525
train453,0.480959,0.001078,0.377731,0.140233
train454,0.095867,0.114674,0.372201,0.417258
train455,0.076466,0.471635,0.301344,0.150555
train456,0.194361,0.141312,0.599120,0.065207
train457,0.004111,0.952265,0.006455,0.037169
train458,0.089081,0.208614,0.492367,0.209939
train459,0.006704,0.132348,0.357210,0.503738
train460,0.060567,0.119430,0.639973,0.180030
train461,0.022605,0.378110,0.272888,0.326398
train462,0.242513,0.488260,0.195041,0.074186
train463,0.224160,0.533747,0.003563,0.238530
train464,0.025208,0.083502,0.878516,0.012774
train465,0.343557,0.297653,0.244273,0.114517
train466,0.025920,0.145690,0.054928,0.773462
train467,0.023466,0.545779,0.204302,0.226453
train468,0.161904,0.048579,0.094941,0.694576
train469,0.506979,0.261341,0.022897,0.208783
train470,0.289170,0.412556,0.206142,0.092131
train471,0.001405,0.156306,0.576829,0.265460
train472,0.091461,0.091909,0.784659,0.031971
train473,0.099161,0.049878,0.616346,0.234616
train474,0.139152,0.121174,0.478780,0.260894
train475,0.449218,0.035174,0.169859,0.345749
train476,0.073927,0.737813,0.168695,0.019565
train477,0.256534,0.136796,0.200700,0.405970
train478,0.153660,0.465218,0.222367,0.158755
train479,0.900255,0.077970,0.018164,0.003611
train480,0.473727,0.115025,0.000214,0.411034
train481,0.153452,0.364385,0.175649,0.306513
train482,0.033112,0.818921,0.125792,0.022175
train483,0.048688,0.318027,0.030258,0.603027
train484,0.404354,0.241522,0.229951,0.124173
train485,0.281706,0.261915,0.011290,0.445089
train486,0.087141,0.144024,0.088703,0.680132
train487,0.049021,0.638661,0.266130,0.046188
train488,0.090605,0.424700,0.134172,0.350524
train489,0.004539,0.589342,0.219043,0.187076
train490,0.687591,0.267762,0.010724,0.033924
train491,0.400005,0.018933,0.577180,0.003882
train492,0.015409,0.093206,0.749671,0.141713
train493,0.108496,0.235191,0.215608,0.440705
train494,0.277469,0.087830,0.065946,0.568756
train495,0.278128,0.059500,0.629971,0.032400
train496,0.563127,0.048027,0.223257,0.165589
train497,0.691080,0.155950,0.108866,0.044104
train498,0.289803,0.137626,0.132715,0.439857
train499,0.130170,0.424554,0.401333,0.043943
train500,0.118009,0.568241,0.264306,0.049444
train501,0.078575,0.262145,0.229657,0.429623
train502,0.156504,0.617207,0.013084,0.213206
train503,0.520039,0.018963,0.253260,0.207739
train504,0.422644,0.308942,0.222556,0.045858
train505,0.069855,0.658413,0.231938,0.039794
train506,0.009736,0.345630,0.395204,0.249430
train507,0.268379,0.216959,0.090444,0.424219
train508,0.283198,0.197019,0.518849,0.000934
train509,0.344832,0.485628,0.008025,0.161515
train510,0.498409,0.031073,0.029405,0.441112
train511,0.717440,0.039274,0.101610,0.141676
train512,0.566724,0.102876,0.179679,0.150721
train513,0.113660,0.515875,0.090635,0.279831
train514,0.772061,0.084787,0.017527,0.125624
train515,0.639285,0.099492,0.067725,0.193497
train516,0.256450,0.025015,0.358490,0.360045
train517,0.059029,0.669465,0.221655,0.049851
train518,0.494199,0.280057,0.204794,0.020950
train519,0.677223,0.098960,0.203959,0.019859
train520,0.022495,0.117302,0.599469,0.260734
train521,0.408287,0.340804,0.048728,0.202181
train522,0.020780,0.383625,0.249534,0.346061
train523,0.358605,0.000616,0.016349,0.624429
train524,0.426733,0.177248,0.151582,0.244436
train525,0.445646,0.269591,0.158182,0.126581
train526,0.323675,0.312774,0.159398,0.204153
train527,0.095780,0.765912,0.011691,0.126617
train528,0.039392,0.289719,0.569304,0.101584
train529,0.431307,0.329435,0.060446,0.178812
train530,0.112015,0.245007,0.565303,0.077675
train531,0.075025,0.272875,0.014566,0.637534
train532,0.124607,0.337834,0.430553,0.107006
train533,0.083754,0.625402,0.257389,0.033455
train534,0.222189,0.095622,0.402900,0.279289
train535,0.139288,0.387028,0.074566,0.399118
train536,0.428836,0.487684,0.040137,0.043343
train537,0.087876,0.576527,0.151132,0.184465
train538,0.243824,0.456386,0.228729,0.071062
train539,0.415382,0.164628,0.239619,0.180371
train540,0.019882,0.347685,0.002679,0.629754
train541,0.034179,0.299287,0.588965,0.077569
train542,0.037270,0.722250,0.194704,0.045776
train543,0.499419,0.355085,0.121044,0.024452
train544,0.005025,0.110727,0.619103,0.265145
train545,0.544529,0.119317,0.035886,0.300269
train546,0.681403,0.088180,0.123014,0.107404
train547,0.465089,0.336910,0.074027,0.123974
train548,0.217464,0.246561,0.320657,0.215318
train549,0.450994,0.003781,0.391980,0.153244
train550,0.642265,0.103343,0.020494,0.233898
train551,0.220533,0.239931,0.442090,0.097446
train552,0.230771,0.169010,0.192992,0.407226
train553,0.100979,0.029147,0.168676,0.701198
train554,0.770022,0.005293,0.050234,0.174450
train555,0.620452,0.243434,0.046628,0.089486
train556,0.168775,0.218668,0.555355,0.057201
train557,0.228987,0.615862,0.113116,0.042035
train558,0.395464,0.133815,0.467630,0.003091
train559,0.012799,0.130943,0.502002,0.354256
train560,0.044216,0.247318,0.627387,0.081079
train561,0.155825,0.320017,0.523037,0.001121
train562,0.248345,0.065480,0.552837,0.133339
train563,0.819598,0.045387,0.047014,0.088001
train564,0.162154,0.584784,0.092158,0.160904
train565,0.030295,0.110638,0.036789,0.822277
train566,0.245158,0.551276,0.021453,0.182113
train567,0.201452,0.251719,0.005848,0.540982
train568,0.739413,0.021085,0.074665,0.164837
train569,0.240863,0.190827,0.074707,0.493603
train570,0.029186,0.713984,0.155309,0.101521
train571,0.511162,0.053413,0.339805,0.095619
train572,0.242159,0.183636,0.411938,0.162268
train573,0.136839,0.302529,0.037534,0.523098
train574,0.141145,0.046275,0.101096,0.711483
train575,0.289333,0.064406,0.125269,0.520992
train576,0.455034,0.054656,0.327189,0.163122
train577,0.077543,0.351769,0.488284,0.082405
train578,0.427766,0.454235,0.071624,0.046375
train579,0.301591,0.463992,0.191772,0.042645
train580,0.027137,0.054204,0.450224,0.468436
train581,0.154157,0.692766,0.039326,0.113750
train582,0.291507,0.287547,0.338364,0.082583
train583,0.096557,0.089751,0.795365,0.018328
train584,0.810846,0.088698,0.049693,0.050763
train585,0.518139,0.143329,0.118458,0.220074
train586,0.063882,0.287824,0.410334,0.237960
train587,0.535032,0.257913,0.140034,0.067021
train588,0.310130,0.196032,0.274031,0.219807
train589,0.084474,0.000228,0.597656,0.317642
train590,0.271179,0.165206,0.128227,0.435388
train591,0.022719,0.763203,0.168828,0.045250
train592,0.204006,0.385995,0.396321,0.013678
train593,0.163448,0.233381,0.115481,0.487690
train594,0.030369,0.447699,0.007926,0.514006
train595,0.196094,0.067131,0.147193,0.589583
train596,0.344326,0.334352,0.206453,0.114869
train597,0.069122,0.342365,0.562689,0.025824
train598,0.142395,0.105744,0.499926,0.251935
train599,0.289361,0.162019,0.123552,0.425067
train600,0.078059,0.002197,0.674355,0.245389
train601,0.192680,0.324287,0.096756,0.386277
train602,0.286138,0.154273,0.453695,0.105893
train603,0.514072,0.189777,0.252887,0.043264
train604,0.175335,0.184981,0.250910,0.388773
train605,0.171763,0.615612,0.077705,0.134919
train606,0.401775,0.145139,0.132317,0.320768
