SampleID,Target [1 for A->B; -1 otherwise],Details [1 for A->B; 2 for A<-B; 3 for A-B; 4 for A|B]
train741,0,4
train742,0,3
train743,0,3
train744,1,1
train745,0,4
train746,0,3
train747,0,3
train748,1,1
train749,-1,2
train750,1,1
train751,0,3
train752,1,1
train753,0,3
train754,0,3
train755,-1,2
train756,0,3
train757,0,3
train758,-1,2
train759,0,4
train760,0,3
train761,0,4
train762,1,1
train763,0,4
train764,0,4
train765,1,1
train766,-1,2
train767,-1,2
train768,-1,2
train769,1,1
train770,0,4
train771,-1,2
train772,0,4
train773,0,4
train774,-1,2
train775,0,3
train776,0,4
train777,1,1
train778,1,1
train779,-1,2
train780,0,4
train781,0,4
train782,0,3
train783,0,4
train784,-1,2
train785,1,1
train786,0,3
train787,1,1
train788,-1,2
train789,0,3
train790,0,4
train791,0,3
train792,-1,2
train793,-1,2
train794,-1,2
train795,-1,2
train796,0,3
train797,0,3
train798,-1,2
train799,0,4
train800,-1,2
train801,1,1
train802,0,3
train803,1,1
train804,1,1
train805,0,3
train806,-1,2
train807,-1,2
train808,0,3
train809,1,1
train810,-1,2
train811,0,4
train812,0,3
train813,0,3
train814,-1,2
train815,0,4
train816,0,3
train817,0,4
train818,-1,2
train819,-1,2
train820,1,1
train821,0,4
train822,0,3
train823,0,4
train824,1,1
train825,0,3
train826,1,1
train827,1,1
train828,-1,2
train829,0,4
train830,1,1
train831,0,3
train832,0,4
train833,0,4
train834,0,4
train835,1,1
train836,1,1
train837,-1,2
train838,0,4
train839,0,4
train840,-1,2
train841,0,3
train842,-1,2
train843,1,1
train844,0,4
train845,0,3
train846,-1,2
train847,1,1
train848,0,3
train849,0,4
train850,1,1
train851,1,1
train852,0,4
train853,0,4
train854,0,3
train855,0,3
train856,-1,2
train857,-1,2
train858,0,4
train859,1,1
train860,-1,2
train861,0,4
train862,0,3
train863,0,3
train864,1,1
train865,0,3
train866,0,4
train867,0,4
train868,0,4
train869,-1,2
train870,0,3
train871,0,3
train872,0,3
train873,1,1
train874,1,1
train875,1,1
train876,1,1
train877,0,4
train878,1,1
train879,0,4
train880,0,4
train881,0,4
train882,1,1
train883,1,1
train884,1,1
train885,0,3
train886,1,1
train887,0,3
train888,0,3
train889,-1,2
train890,0,3
train891,1,1
train892,0,3
train893,-1,2
train894,0,3
train895,1,1
train896,-1,2
train897,0,3
train898,-1,2
train899,0,4
train900,-1,2
train901,-1,2
train902,1,1
train903,0,3
train904,1,1
train905,1,1
train906,-1,2
train907,0,4
train908,0,3
train909,1,1
train910,-1,2
train911,0,3
train912,-1,2
train913,0,4
train914,1,1
train915,0,3
train916,-1,2
train917,0,4
train918,0,3
train919,-1,2
train920,0,4
train921,1,1
train922,-1,2
train923,1,1
train924,-1,2
train925,-1,2
train926,1,1
train927,1,1
train928,1,1
train929,-1,2
train930,0,3
train931,0,3
train932,1,1
train933,1,1
train934,0,3
train935,0,3
train936,0,3
train937,-1,2
train938,0,3
train939,0,4
train940,0,3
train941,0,3
train942,1,1
train943,1,1
train944,-1,2
train945,1,1
train946,1,1
train947,-1,2
train948,0,3
train949,-1,2
train950,1,1
train951,-1,2
train952,-1,2
train953,-1,2
train954,-1,2
train955,0,4
train956,0,4
train957,0,4
train958,0,3
train959,1,1
train960,1,1
train961,0,4
train962,0,3
train963,0,4
train964,-1,2
train965,0,3
train966,0,3
train967,0,4
train968,1,1
train969,0,3
train970,0,4
train971,-1,2
train972,-1,2
train973,-1,2
train974,-1,2
train975,1,1
train976,0,4
train977,0,3
train978,1,1
train979,0,4
train980,0,3
train981,1,1
train982,1,1
train983,0,4
train984,1,1
train985,0,4
train986,-1,2
train987,0,3
train988,1,1
train989,0,4
train990,-1,2
train991,0,3
train992,-1,2
train993,1,1
train994,0,4
train995,1,1
train996,-1,2
train997,0,4
train998,0,3
train999,-1,2
train1000,0,4
train1001,0,3
train1002,1,1
train1003,0,4
train1004,1,1
train1005,1,1
train1006,1,1
train1007,1,1
train1008,1,1
train1009,0,4
train1010,0,4
train1011,0,3
train1012,1,1
train1013,0,3
train1014,0,3
train1015,0,4
train1016,1,1
train1017,-1,2
train1018,-1,2
train1019,0,3
train1020,-1,2
train1021,1,1
train1022,0,3
train1023,1,1
train1024,0,4
train1025,0,3
train1026,-1,2
train1027,-1,2
train1028,0,3
train1029,0,4
train1030,0,4
train1031,0,3
train1032,1,1
train1033,0,4
train1034,-1,2
train1035,0,3
train1036,-1,2
train1037,0,4
train1038,-1,2
train1039,0,3
train1040,0,4
train1041,0,3
train1042,0,3
train1043,0,3
train1044,0,3
train1045,0,3
train1046,0,4
train1047,0,3
train1048,0,4
train1049,1,1
train1050,0,3
train1051,0,4
train1052,0,3
train1053,-1,2
train1054,-1,2
train1055,0,3
train1056,0,3
train1057,0,4
train1058,0,4
train1059,1,1
train1060,0,3
train1061,-1,2
train1062,0,4
train1063,-1,2
train1064,1,1
train1065,-1,2
train1066,0,4
train1067,0,4
train1068,0,4
train1069,-1,2
train1070,-1,2
train1071,0,3
train1072,1,1
train1073,1,1
train1074,-1,2
train1075,1,1
train1076,1,1
train1077,1,1
train1078,0,4
train1079,-1,2
train1080,0,3
train1081,-1,2
train1082,0,3
train1083,0,3
train1084,0,3
train1085,-1,2
train1086,0,4
train1087,1,1
train1088,-1,2
train1089,0,4
train1090,-1,2
train1091,0,3
train1092,0,4
train1093,0,4
train1094,-1,2
train1095,0,3
train1096,-1,2
train1097,0,3
train1098,-1,2
train1099,1,1
train1100,0,4
train1101,1,1
train1102,-1,2
train1103,0,3
train1104,-1,2
train1105,0,4
train1106,1,1
train1107,1,1
train1108,-1,2
train1109,1,1
train1110,0,4
train1111,0,4
train1112,1,1
train1113,1,1
train1114,1,1
train1115,1,1
train1116,0,3
train1117,0,3
train1118,0,3
train1119,1,1
train1120,0,4
train1121,0,4
train1122,-1,2
train1123,0,3
train1124,-1,2
train1125,1,1
train1126,-1,2
train1127,-1,2
train1128,-1,2
train1129,1,1
train1130,0,3
train1131,-1,2
train1132,0,4
train1133,1,1
train1134,1,1
train1135,-1,2
train1136,0,4
train1137,0,4
train1138,0,3
train1139,0,4
train1140,0,3
train1141,0,3
train1142,0,3
train1143,1,1
train1144,-1,2
train1145,1,1
train1146,0,4
train1147,0,4
train1148,0,4
train1149,0,3
train1150,0,3
train1151,1,1
train1152,1,1
train1153,0,3
train1154,-1,2
train1155,0,4
train1156,0,4
train1157,0,3
train1158,0,4
train1159,1,1
train1160,0,3
train1161,0,4
train1162,0,3
train1163,0,4
train1164,0,3
train1165,0,4
train1166,1,1
train1167,-1,2
train1168,1,1
train1169,-1,2
train1170,0,3
train1171,0,4
train1172,0,3
train1173,0,3
train1174,0,4
train1175,-1,2
train1176,1,1
train1177,1,1
train1178,1,1
train1179,1,1
train1180,-1,2
train1181,1,1
train1182,1,1
train1183,0,4
train1184,-1,2
train1185,-1,2
train1186,0,3
train1187,0,4
train1188,0,3
train1189,-1,2
train1190,0,3
train1191,1,1
train1192,0,3
train1193,0,3
train1194,0,4
train1195,1,1
train1196,0,3
train1197,-1,2
train1198,1,1
train1199,1,1
train1200,0,3
train1201,0,3
train1202,0,3
train1203,-1,2
train1204,1,1
train1205,0,3
train1206,0,4
train1207,-1,2
train1208,-1,2
train1209,-1,2
train1210,0,3
train1211,1,1
train1212,1,1
train1213,-1,2
train1214,1,1
train1215,0,4
train1216,1,1
train1217,0,3
train1218,0,3
train1219,0,4
train1220,0,3
train1221,1,1
train1222,0,3
train1223,0,4
train1224,0,4
train1225,0,3
train1226,-1,2
train1227,0,4
train1228,0,3
train1229,0,4
train1230,0,3
train1231,-1,2
train1232,1,1
train1233,1,1
train1234,0,3
train1235,1,1
train1236,0,4
train1237,0,3
train1238,-1,2
train1239,-1,2
train1240,0,3
train1241,0,3
train1242,1,1
train1243,1,1
train1244,1,1
train1245,0,4
train1246,0,4
train1247,0,4
train1248,0,4
train1249,1,1
train1250,1,1
train1251,1,1
train1252,0,3
train1253,-1,2
train1254,0,3
train1255,0,3
train1256,-1,2
train1257,-1,2
train1258,1,1
train1259,0,3
train1260,1,1
train1261,0,3
train1262,0,3
train1263,-1,2
train1264,-1,2
train1265,-1,2
train1266,1,1
train1267,0,4
train1268,0,4
train1269,0,3
train1270,1,1
train1271,-1,2
train1272,0,4
train1273,0,4
train1274,1,1
train1275,-1,2
train1276,0,3
train1277,-1,2
train1278,0,3
train1279,0,4
train1280,-1,2
train1281,1,1
train1282,0,3
train1283,0,4
train1284,0,3
train1285,0,3
train1286,0,3
train1287,-1,2
train1288,0,3
train1289,1,1
train1290,0,4
train1291,0,4
train1292,0,4
train1293,0,3
train1294,0,3
train1295,0,4
train1296,1,1
train1297,1,1
train1298,0,3
train1299,1,1
train1300,-1,2
train1301,0,3
train1302,0,4
train1303,1,1
train1304,-1,2
train1305,1,1
train1306,-1,2
train1307,1,1
train1308,-1,2
train1309,1,1
train1310,0,3
train1311,0,3
train1312,1,1
train1313,0,4
train1314,1,1
train1315,0,4
train1316,0,4
train1317,1,1
train1318,0,3
train1319,1,1
train1320,0,3
train1321,-1,2
train1322,-1,2
train1323,0,3
train1324,0,4
train1325,0,3
train1326,-1,2
train1327,0,4
train1328,1,1
train1329,0,3
train1330,-1,2
train1331,-1,2
train1332,-1,2
train1333,1,1
train1334,0,4
train1335,0,3
train1336,0,3
train1337,1,1
train1338,0,3
train1339,0,3
train1340,0,4
train1341,0,3
train1342,0,4
train1343,0,3
train1344,-1,2
train1345,0,3
train1346,1,1
train1347,1,1
train1348,0,3
train1349,1,1
train1350,1,1
train1351,1,1
train1352,0,4
train1353,-1,2
train1354,0,4
train1355,-1,2
train1356,0,4
train1357,0,4
train1358,0,3
train1359,0,3
train1360,1,1
train1361,0,3
train1362,-1,2
train1363,1,1
train1364,0,3
train1365,1,1
train1366,0,3
train1367,1,1
train1368,-1,2
train1369,0,4
train1370,0,3
train1371,1,1
train1372,-1,2
train1373,0,3
train1374,-1,2
train1375,-1,2
train1376,-1,2
train1377,0,3
train1378,0,4
train1379,0,3
train1380,1,1
train1381,0,4
train1382,0,3
train1383,-1,2
train1384,1,1
train1385,0,4
train1386,0,4
train1387,1,1
train1388,-1,2
train1389,-1,2
train1390,0,3
train1391,0,3
train1392,1,1
train1393,1,1
train1394,0,4
train1395,-1,2
train1396,0,3
train1397,1,1
train1398,1,1
train1399,-1,2
train1400,-1,2
train1401,0,4
train1402,0,3
train1403,0,4
train1404,1,1
train1405,1,1
train1406,0,4
train1407,0,3
train1408,0,4
train1409,0,3
train1410,1,1
train1411,0,4
train1412,-1,2
train1413,0,4
train1414,1,1
train1415,1,1
train1416,1,1
train1417,-1,2
train1418,0,3
train1419,-1,2
train1420,-1,2
train1421,0,3
train1422,-1,2
train1423,-1,2
train1424,0,4
train1425,0,4
train1426,0,4
train1427,-1,2
train1428,1,1
train1429,0,4
train1430,0,4
train1431,1,1
train1432,0,4
train1433,0,3
train1434,-1,2
train1435,0,3
train1436,1,1
train1437,0,3
train1438,1,1
train1439,0,3
train1440,-1,2
train1441,-1,2
train1442,-1,2
train1443,0,3
train1444,0,4
train1445,0,3
train1446,0,4
train1447,0,4
train1448,1,1
train1449,0,3
train1450,1,1
train1451,1,1
train1452,1,1
train1453,0,3
train1454,1,1
train1455,0,3
train1456,0,4
train1457,0,4
train1458,0,4
train1459,-1,2
train1460,-1,2
train1461,0,4
train1462,0,3
train1463,0,4
train1464,0,3
train1465,-1,2
train1466,-1,2
train1467,0,3
train1468,0,3
train1469,-1,2
train1470,1,1
train1471,1,1
train1472,1,1
train1473,0,3
train1474,-1,2
train1475,1,1
train1476,0,4
train1477,0,4
train1478,1,1
train1479,0,4
train1480,1,1
train1481,-1,2
train1482,0,3
train1483,-1,2
train1484,0,3
train1485,-1,2
train1486,0,3
train1487,-1,2
train1488,1,1
train1489,1,1
train1490,1,1
train1491,0,4
train1492,1,1
train1493,-1,2
train1494,1,1
train1495,0,4
train1496,1,1
train1497,0,4
train1498,0,3
train1499,0,4
train1500,0,4
train1501,0,3
train1502,-1,2
train1503,0,3
train1504,0,4
train1505,0,3
train1506,-1,2
train1507,1,1
train1508,-1,2
train1509,0,3
train1510,1,1
train1511,1,1
train1512,0,3
train1513,-1,2
train1514,0,4
train1515,-1,2
train1516,-1,2
train1517,0,4
train1518,0,3
train1519,0,3
train1520,0,4
train1521,0,4
train1522,0,4
train1523,-1,2
train1524,-1,2
train1525,0,4
train1526,0,3
train1527,0,4
train1528,0,3
train1529,-1,2
train1530,0,3
train1531,-1,2
train1532,1,1
train1533,0,3
train1534,0,3
train1535,0,4
train1536,-1,2
train1537,1,1
train1538,0,4
train1539,1,1
train1540,1,1
train1541,-1,2
train1542,0,3
train1543,-1,2
train1544,1,1
train1545,0,3
train1546,0,4
train1547,1,1
train1548,1,1
train1549,0,3
train1550,1,1
train1551,1,1
train1552,0,4
train1553,1,1
train1554,1,1
train1555,-1,2
train1556,0,3
train1557,0,4
train1558,1,1
train1559,1,1
train1560,0,3
train1561,0,3
train1562,1,1
train1563,-1,2
train1564,0,4
train1565,1,1
train1566,-1,2
train1567,0,4
train1568,-1,2
train1569,0,3
train1570,0,3
train1571,1,1
train1572,1,1
train1573,1,1
train1574,0,4
train1575,0,3
train1576,0,4
train1577,0,3
train1578,-1,2
train1579,0,4
train1580,0,4
train1581,0,3
train1582,1,1
train1583,0,3
train1584,0,3
train1585,0,3
train1586,0,4
train1587,-1,2
train1588,-1,2
train1589,0,3
train1590,0,4
train1591,0,4
train1592,0,3
train1593,-1,2
train1594,1,1
train1595,0,3
train1596,0,4
train1597,0,3
train1598,-1,2
train1599,0,3
train1600,1,1
train1601,0,3
train1602,0,4
train1603,1,1
train1604,0,4
train1605,1,1
train1606,1,1
train1607,0,4
train1608,-1,2
train1609,-1,2
train1610,1,1
train1611,0,3
train1612,0,3
train1613,1,1
train1614,0,3
train1615,-1,2
train1616,0,3
train1617,1,1
train1618,0,4
train1619,-1,2
train1620,-1,2
train1621,0,3
train1622,-1,2
train1623,0,4
train1624,-1,2
train1625,1,1
train1626,1,1
train1627,1,1
train1628,0,3
train1629,1,1
train1630,-1,2
train1631,-1,2
train1632,-1,2
train1633,0,3
train1634,1,1
train1635,1,1
train1636,-1,2
train1637,0,4
train1638,-1,2
train1639,-1,2
train1640,0,3
train1641,1,1
train1642,-1,2
train1643,0,4
train1644,-1,2
train1645,-1,2
train1646,0,3
train1647,1,1
train1648,-1,2
train1649,1,1
train1650,-1,2
train1651,-1,2
train1652,0,3
train1653,1,1
train1654,0,3
train1655,-1,2
train1656,0,3
train1657,1,1
train1658,-1,2
train1659,0,3
train1660,-1,2
train1661,0,4
train1662,1,1
train1663,-1,2
train1664,-1,2
train1665,0,4
train1666,-1,2
train1667,0,4
train1668,0,3
train1669,-1,2
train1670,1,1
train1671,0,3
train1672,0,4
train1673,-1,2
train1674,1,1
train1675,1,1
train1676,-1,2
train1677,1,1
train1678,0,4
train1679,0,4
train1680,0,4
train1681,0,4
train1682,-1,2
train1683,0,4
train1684,0,4
train1685,1,1
train1686,-1,2
train1687,0,4
train1688,0,3
train1689,0,3
train1690,0,4
train1691,0,4
train1692,0,4
train1693,-1,2
train1694,0,4
train1695,1,1
train1696,1,1
train1697,-1,2
train1698,0,4
train1699,0,3
train1700,-1,2
train1701,0,4
train1702,0,4
train1703,0,3
train1704,-1,2
train1705,1,1
train1706,-1,2
train1707,0,3
train1708,-1,2
train1709,0,3
train1710,1,1
train1711,-1,2
train1712,0,4
train1713,0,3
train1714,-1,2
train1715,1,1
train1716,0,3
train1717,-1,2
train1718,0,3
train1719,-1,2
train1720,-1,2
train1721,0,3
train1722,0,4
train1723,1,1
train1724,1,1
train1725,0,4
train1726,0,4
train1727,0,3
train1728,1,1
train1729,0,3
train1730,1,1
train1731,1,1
train1732,0,4
train1733,-1,2
train1734,1,1
train1735,1,1
train1736,0,3
train1737,0,4
train1738,-1,2
train1739,-1,2
train1740,1,1
train1741,0,3
train1742,0,4
train1743,1,1
train1744,0,3
train1745,0,3
train1746,1,1
train1747,1,1
train1748,1,1
train1749,0,4
train1750,1,1
train1751,1,1
train1752,0,3
train1753,1,1
train1754,-1,2
train1755,0,3
train1756,1,1
train1757,0,4
train1758,1,1
train1759,0,3
train1760,1,1
train1761,1,1
train1762,0,3
train1763,-1,2
train1764,0,3
train1765,1,1
train1766,0,4
train1767,0,4
train1768,0,3
train1769,0,3
train1770,0,4
train1771,-1,2
train1772,-1,2
train1773,0,3
train1774,0,3
train1775,0,3
train1776,0,3
train1777,0,4
train1778,0,3
train1779,1,1
train1780,1,1
train1781,0,4
train1782,0,4
train1783,0,4
train1784,0,4
train1785,-1,2
train1786,0,3
train1787,-1,2
train1788,1,1
train1789,-1,2
train1790,1,1
train1791,0,3
train1792,-1,2
train1793,-1,2
train1794,-1,2
train1795,-1,2
train1796,-1,2
train1797,0,3
train1798,-1,2
train1799,0,4
train1800,0,4
train1801,0,3
train1802,0,4
train1803,0,4
train1804,-1,2
train1805,1,1
train1806,-1,2
